Байршил,Орлогын төрөл,Он,value
  Хот,1. Мөнгөн орлого,2002,144176.0
  Хот,1. Мөнгөн орлого,2001,130402.0
  Хот,1. Мөнгөн орлого,2000,111787.0
  Хот,1. Мөнгөн орлого,1999,75546.0
  Хот,1. Мөнгөн орлого,1998,73101.0
  Хот,1. Мөнгөн орлого,1997,62522.0
  Хот,    Цалин хөлс,2024,1734613.0
  Хот,    Цалин хөлс,2023,1384788.0
  Хот,    Цалин хөлс,2022,1071168.0
  Хот,    Цалин хөлс,2021,900094.0
  Хот,    Цалин хөлс,2020,952769.0
  Хот,    Цалин хөлс,2019,860795.0
  Хот,    Цалин хөлс,2018,734211.0
  Хот,    Цалин хөлс,2017,658001.0
  Хот,    Цалин хөлс,2016,590005.0
  Хот,    Цалин хөлс,2015,659279.0
  Хот,    Цалин хөлс,2014,666051.0
  Хот,    Цалин хөлс,2013,578401.0
  Хот,    Цалин хөлс,2012,478210.0
  Хот,    Цалин хөлс,2011,366480.0
  Хот,    Цалин хөлс,2010,286554.0
  Хот,    Цалин хөлс,2009,259347.0
  Хот,    Цалин хөлс,2008,225070.0
  Хот,    Цалин хөлс,2007,136168.0
  Хот,    Цалин хөлс,2006,106218.0
  Хот,    Цалин хөлс,2005,97438.0
  Хот,    Цалин хөлс,2004,82049.0
  Хот,    Цалин хөлс,2003,69716.0
  Хот,    Цалин хөлс,2002,59274.0
  Хот,    Цалин хөлс,2001,47927.0
  Хот,    Цалин хөлс,2000,44791.0
  Хот,    Цалин хөлс,1999,35175.0
  Хот,    Цалин хөлс,1998,33356.0
  Хот,    Цалин хөлс,1997,30373.0
  Хот,"    Тэтгэвэр, тэтгэмж",2024,573502.0
  Хот,"    Тэтгэвэр, тэтгэмж",2023,495891.0
  Хот,"    Тэтгэвэр, тэтгэмж",2022,471178.0
  Хот,"    Тэтгэвэр, тэтгэмж",2021,463178.0
  Хот,"    Тэтгэвэр, тэтгэмж",2020,312359.0
  Хот,"    Тэтгэвэр, тэтгэмж",2019,240556.0
  Хот,"    Тэтгэвэр, тэтгэмж",2018,223282.0
  Хот,"    Тэтгэвэр, тэтгэмж",2017,195318.0
  Хот,"    Тэтгэвэр, тэтгэмж",2016,175287.0
  Хот,"    Тэтгэвэр, тэтгэмж",2015,174966.0
  Хот,"    Тэтгэвэр, тэтгэмж",2014,153751.0
  Хот,"    Тэтгэвэр, тэтгэмж",2013,165141.0
  Хот,"    Тэтгэвэр, тэтгэмж",2012,166909.0
  Хот,"    Тэтгэвэр, тэтгэмж",2011,120021.0
  Хот,"    Тэтгэвэр, тэтгэмж",2010,71830.0
  Хот,"    Тэтгэвэр, тэтгэмж",2009,73547.0
  Хот,"    Тэтгэвэр, тэтгэмж",2008,66825.0
  Хот,"    Тэтгэвэр, тэтгэмж",2007,40943.0
  Хот,"    Тэтгэвэр, тэтгэмж",2006,24833.0
  Хот,"    Тэтгэвэр, тэтгэмж",2005,19828.0
  Хот,"    Тэтгэвэр, тэтгэмж",2004,17306.0
  Хот,"    Тэтгэвэр, тэтгэмж",2003,13395.0
  Хот,"    Тэтгэвэр, тэтгэмж",2002,12714.0
  Хот,"    Тэтгэвэр, тэтгэмж",2001,12322.0
  Хот,"    Тэтгэвэр, тэтгэмж",2000,10402.0
  Хот,"    Тэтгэвэр, тэтгэмж",1999,7863.0
  Хот,"    Тэтгэвэр, тэтгэмж",1998,6685.0
