Малын төрөл,Бүс,Он,value
Бүгд,             Баян-Өлгий,1983,1137.9
Бүгд,             Баян-Өлгий,1982,1171.1
Бүгд,             Баян-Өлгий,1981,1135.2
Бүгд,             Баян-Өлгий,1980,1105.8
Бүгд,             Баян-Өлгий,1979,1078.7
Бүгд,             Баян-Өлгий,1978,1019.4
Бүгд,             Баян-Өлгий,1977,1025.2
Бүгд,             Баян-Өлгий,1976,1101.8
Бүгд,             Баян-Өлгий,1975,1092.5
Бүгд,             Баян-Өлгий,1974,1155.0
Бүгд,             Баян-Өлгий,1973,1178.4
Бүгд,             Баян-Өлгий,1972,1107.4
Бүгд,             Баян-Өлгий,1971,1106.4
Бүгд,             Баян-Өлгий,1970,1073.9
Бүгд,             Говь-Алтай,2024,3095.3
Бүгд,             Говь-Алтай,2023,3013.2
Бүгд,             Говь-Алтай,2022,3167.5
Бүгд,             Говь-Алтай,2021,2990.5
Бүгд,             Говь-Алтай,2020,3310.8
Бүгд,             Говь-Алтай,2019,3597.7
Бүгд,             Говь-Алтай,2018,3513.4
Бүгд,             Говь-Алтай,2017,3801.7
Бүгд,             Говь-Алтай,2016,3497.5
Бүгд,             Говь-Алтай,2015,2922.6
Бүгд,             Говь-Алтай,2014,2578.1
Бүгд,             Говь-Алтай,2013,2223.2
Бүгд,             Говь-Алтай,2012,1911.0
Бүгд,             Говь-Алтай,2011,1613.3
Бүгд,             Говь-Алтай,2010,1315.5
Бүгд,             Говь-Алтай,2009,2171.8
Бүгд,             Говь-Алтай,2008,2505.9
Бүгд,             Говь-Алтай,2007,2486.6
Бүгд,             Говь-Алтай,2006,2199.2
Бүгд,             Говь-Алтай,2005,1834.2
Бүгд,             Говь-Алтай,2004,1539.6
Бүгд,             Говь-Алтай,2003,1261.2
Бүгд,             Говь-Алтай,2002,1010.5
Бүгд,             Говь-Алтай,2001,1714.7
Бүгд,             Говь-Алтай,2000,2035.1
Бүгд,             Говь-Алтай,1999,2113.2
Бүгд,             Говь-Алтай,1998,2113.1
Бүгд,             Говь-Алтай,1997,2112.5
Бүгд,             Говь-Алтай,1996,2087.2
Бүгд,             Говь-Алтай,1995,2102.5
Бүгд,             Говь-Алтай,1994,1973.4
Бүгд,             Говь-Алтай,1993,1766.9
Бүгд,             Говь-Алтай,1992,1775.3
Бүгд,             Говь-Алтай,1991,1696.6
Бүгд,             Говь-Алтай,1990,1693.6
Бүгд,             Говь-Алтай,1989,1636.0
Бүгд,             Говь-Алтай,1988,1561.6
Бүгд,             Говь-Алтай,1987,1543.8
Бүгд,             Говь-Алтай,1986,1477.7
Бүгд,             Говь-Алтай,1985,1458.4
Бүгд,             Говь-Алтай,1984,1321.3
Бүгд,             Говь-Алтай,1983,1500.3
Бүгд,             Говь-Алтай,1982,1549.7
Бүгд,             Говь-Алтай,1981,1571.9
Бүгд,             Говь-Алтай,1980,1582.0
Бүгд,             Говь-Алтай,1979,1579.8
Бүгд,             Говь-Алтай,1978,1590.2
Бүгд,             Говь-Алтай,1977,1564.2
Бүгд,             Говь-Алтай,1976,1524.0
Бүгд,             Говь-Алтай,1975,1497.8
Бүгд,             Говь-Алтай,1974,1451.6
Бүгд,             Говь-Алтай,1973,1453.6
Бүгд,             Говь-Алтай,1972,1395.3
Бүгд,             Говь-Алтай,1971,1414.9
Бүгд,             Говь-Алтай,1970,1342.5
Бүгд,             Завхан,2024,3008.2
