date,session,scheduled_start,actual_start,timing_status,data_status,source_article_url,source_attachment_url,metric,value,unit
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Officially late,5,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,General leave,2,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Medical leave,3,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Domestic official assignments,0,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Foreign official assignments,21,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Unexplained absences,29,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Physically attended,71,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Physical attendance rate,56.3,percent
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Official on-time rate among appearances,93.0,percent
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Agenda items,1,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Sitting start delay,,minutes
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Officially on time,75,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Officially late,30,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,General leave,2,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Medical leave,4,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Domestic official assignments,0,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Foreign official assignments,14,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Unexplained absences,1,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Physically attended,105,count
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Physical attendance rate,83.3,percent
2024-12-03,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63519/,,Official on-time rate among appearances,71.4,percent
2024-12-04,Autumn regular session,11:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63536/,,Agenda items,0,count
