огноо,он,үе,төлөв,тоо,товлосон_цаг,эхэлсэн_цаг,эхлэлтийн_хоцролт_минут
2025-05-09,2025,period-2,Тайлбаргүй тасалсан,4,10:00,10:01,1
2025-05-15,2025,period-2,Цагтаа ирсэн,68,10:00,10:05,5
2025-05-15,2025,period-2,Хоцорсон,18,10:00,10:05,5
2025-05-15,2025,period-2,Зөвшөөрөгдсөн чөлөө,2,10:00,10:05,5
2025-05-15,2025,period-2,Албан томилолт,35,10:00,10:05,5
2025-05-15,2025,period-2,Тайлбаргүй тасалсан,3,10:00,10:05,5
2025-05-16,2025,period-2,Цагтаа ирсэн,66,,10:00,
2025-05-16,2025,period-2,Хоцорсон,26,,10:00,
2025-05-16,2025,period-2,Зөвшөөрөгдсөн чөлөө,6,,10:00,
2025-05-16,2025,period-2,Албан томилолт,28,,10:00,
2025-05-16,2025,period-2,Тайлбаргүй тасалсан,0,,10:00,
2025-05-22,2025,period-2,Цагтаа ирсэн,68,10:00,10:25,25
2025-05-22,2025,period-2,Хоцорсон,24,10:00,10:25,25
2025-05-22,2025,period-2,Зөвшөөрөгдсөн чөлөө,9,10:00,10:25,25
2025-05-22,2025,period-2,Албан томилолт,11,10:00,10:25,25
2025-05-22,2025,period-2,Тайлбаргүй тасалсан,14,10:00,10:25,25
2025-05-23,2025,period-2,Цагтаа ирсэн,65,,14:00,
2025-05-23,2025,period-2,Хоцорсон,32,,14:00,
2025-05-23,2025,period-2,Зөвшөөрөгдсөн чөлөө,8,,14:00,
2025-05-23,2025,period-2,Албан томилолт,11,,14:00,
2025-05-23,2025,period-2,Тайлбаргүй тасалсан,10,,14:00,
2025-05-26,2025,period-2,Цагтаа ирсэн,100,11:00,11:20,20
2025-05-26,2025,period-2,Хоцорсон,13,11:00,11:20,20
2025-05-26,2025,period-2,Зөвшөөрөгдсөн чөлөө,5,11:00,11:20,20
2025-05-26,2025,period-2,Албан томилолт,5,11:00,11:20,20
2025-05-26,2025,period-2,Тайлбаргүй тасалсан,3,11:00,11:20,20
2025-05-29,2025,period-2,Цагтаа ирсэн,71,,10:00,
2025-05-29,2025,period-2,Хоцорсон,37,,10:00,
2025-05-29,2025,period-2,Зөвшөөрөгдсөн чөлөө,8,,10:00,
2025-05-29,2025,period-2,Албан томилолт,4,,10:00,
2025-05-29,2025,period-2,Тайлбаргүй тасалсан,6,,10:00,
2025-05-30,2025,period-2,Цагтаа ирсэн,69,10:00,10:01,1
2025-05-30,2025,period-2,Хоцорсон,35,10:00,10:01,1
2025-05-30,2025,period-2,Зөвшөөрөгдсөн чөлөө,11,10:00,10:01,1
2025-05-30,2025,period-2,Албан томилолт,5,10:00,10:01,1
2025-05-30,2025,period-2,Тайлбаргүй тасалсан,6,10:00,10:01,1
2025-06-02,2025,period-2,Цагтаа ирсэн,105,14:00,17:44,224
2025-06-02,2025,period-2,Хоцорсон,15,14:00,17:44,224
2025-06-02,2025,period-2,Зөвшөөрөгдсөн чөлөө,3,14:00,17:44,224
2025-06-02,2025,period-2,Албан томилолт,2,14:00,17:44,224
2025-06-02,2025,period-2,Тайлбаргүй тасалсан,1,14:00,17:44,224
2025-06-05,2025,period-2,Цагтаа ирсэн,70,,10:00,
2025-06-05,2025,period-2,Хоцорсон,25,,10:00,
2025-06-05,2025,period-2,Зөвшөөрөгдсөн чөлөө,4,,10:00,
2025-06-05,2025,period-2,Албан томилолт,3,,10:00,
2025-06-05,2025,period-2,Тайлбаргүй тасалсан,24,,10:00,
2025-06-12,2025,period-2,Цагтаа ирсэн,67,10:00,10:04,4
2025-06-12,2025,period-2,Хоцорсон,52,10:00,10:04,4
2025-06-12,2025,period-2,Зөвшөөрөгдсөн чөлөө,3,10:00,10:04,4
2025-06-12,2025,period-2,Албан томилолт,3,10:00,10:04,4
2025-06-12,2025,period-2,Тайлбаргүй тасалсан,1,10:00,10:04,4
2025-06-13,2025,period-2,Цагтаа ирсэн,67,10:00,10:11,11
2025-06-13,2025,period-2,Хоцорсон,41,10:00,10:11,11
2025-06-13,2025,period-2,Зөвшөөрөгдсөн чөлөө,9,10:00,10:11,11
2025-06-13,2025,period-2,Албан томилолт,3,10:00,10:11,11
2025-06-13,2025,period-2,Тайлбаргүй тасалсан,6,10:00,10:11,11
2025-06-17,2025,period-2,Цагтаа ирсэн,65,17:00,17:06,6
2025-06-17,2025,period-2,Хоцорсон,36,17:00,17:06,6
2025-06-17,2025,period-2,Зөвшөөрөгдсөн чөлөө,4,17:00,17:06,6
2025-06-17,2025,period-2,Албан томилолт,5,17:00,17:06,6
2025-06-17,2025,period-2,Тайлбаргүй тасалсан,16,17:00,17:06,6
2025-06-19,2025,period-2,Цагтаа ирсэн,70,,10:00,
2025-06-19,2025,period-2,Хоцорсон,36,,10:00,
2025-06-19,2025,period-2,Зөвшөөрөгдсөн чөлөө,8,,10:00,
2025-06-19,2025,period-2,Албан томилолт,9,,10:00,
2025-06-19,2025,period-2,Тайлбаргүй тасалсан,3,,10:00,
2025-06-20,2025,period-2,Цагтаа ирсэн,65,10:00,10:10,10
2025-06-20,2025,period-2,Хоцорсон,33,10:00,10:10,10
2025-06-20,2025,period-2,Зөвшөөрөгдсөн чөлөө,12,10:00,10:10,10
2025-06-20,2025,period-2,Албан томилолт,14,10:00,10:10,10
2025-06-20,2025,period-2,Тайлбаргүй тасалсан,2,10:00,10:10,10
2025-06-23,2025,period-2,Цагтаа ирсэн,51,14:00,14:02,2
2025-06-23,2025,period-2,Хоцорсон,55,14:00,14:02,2
2025-06-23,2025,period-2,Зөвшөөрөгдсөн чөлөө,6,14:00,14:02,2
2025-06-23,2025,period-2,Албан томилолт,11,14:00,14:02,2
2025-06-23,2025,period-2,Тайлбаргүй тасалсан,3,14:00,14:02,2
2025-06-24,2025,period-2,Цагтаа ирсэн,81,14:00,15:01,61
2025-06-24,2025,period-2,Хоцорсон,5,14:00,15:01,61
2025-06-24,2025,period-2,Зөвшөөрөгдсөн чөлөө,11,14:00,15:01,61
2025-06-24,2025,period-2,Албан томилолт,10,14:00,15:01,61
