Бүс нутаг,Аяллын зорилго,Он,value
Африк,Суралцах,2025,12
Африк,Суралцах,2024,11
Африк,Суралцах,2023,11
Африк,Суралцах,2022,12
Африк,Суралцах,2021,2
Африк,Суралцах,2020,1
Африк,Суралцах,2019,7
Африк,Суралцах,2018,1
Африк,Суралцах,2017,2
Африк,Суралцах,2016,8
Африк,Суралцах,2015,7
Африк,Суралцах,2014,10
Африк,Суралцах,2013,10
Африк,Суралцах,2012,1
Африк,Суралцах,2011,9
Африк,Суралцах,2010,2
Африк,Суралцах,2009,3
Африк,Суралцах,2008,6
Африк,Суралцах,2007,6
Африк,Суралцах,2006,3
Африк,БОС,2025,347
Африк,БОС,2024,416
Африк,БОС,2023,363
Африк,БОС,2022,220
Африк,БОС,2021,33
Африк,БОС,2020,72
Африк,БОС,2019,232
Африк,БОС,2018,175
Африк,БОС,2017,158
Африк,БОС,2016,68
Африк,БОС,2015,16
Африк,БОС,2014,6
Африк,БОС,2013,7
Африк,БОС,2012,0
Африк,БОС,2011,2
Африк,БОС,2010,9
Африк,БОС,2009,12
Африк,БОС,2008,5
Африк,БОС,2007,7
Африк,БОС,2006,3
Африк,Бусад,2025,162
Африк,Бусад,2024,114
Африк,Бусад,2023,68
Африк,Бусад,2022,103
Африк,Бусад,2021,18
Африк,Бусад,2020,9
Африк,Бусад,2019,165
Африк,Бусад,2018,128
Африк,Бусад,2017,91
Африк,Бусад,2016,50
Африк,Бусад,2015,91
Африк,Бусад,2014,6
Африк,Бусад,2013,18
Африк,Бусад,2012,15
Африк,Бусад,2011,84
Африк,Бусад,2010,125
Африк,Бусад,2009,48
Африк,Бусад,2008,102
Африк,Бусад,2007,83
Африк,Бусад,2006,104
Европ,Бүгд,2025,299380
Европ,Бүгд,2024,274040
Европ,Бүгд,2023,260606
Европ,Бүгд,2022,177833
Европ,Бүгд,2021,21419
Европ,Бүгд,2020,35931
Европ,Бүгд,2019,205230
Европ,Бүгд,2018,189161
Европ,Бүгд,2017,164392
Европ,Бүгд,2016,138152
Европ,Бүгд,2015,120089
Европ,Бүгд,2014,119969
Европ,Бүгд,2013,123342
Европ,Бүгд,2012,133010
Европ,Бүгд,2011,150892
Европ,Бүгд,2010,168826
Европ,Бүгд,2009,148753
Европ,Бүгд,2008,154612
Европ,Бүгд,2007,144269
Европ,Бүгд,2006,130455
Европ,Албан ажлаар,2025,6120
Европ,Албан ажлаар,2024,11788
Европ,Албан ажлаар,2023,5293
Европ,Албан ажлаар,2022,8430
Европ,Албан ажлаар,2021,2239
Европ,Албан ажлаар,2020,9626
Европ,Албан ажлаар,2019,15258
Европ,Албан ажлаар,2018,17523
Европ,Албан ажлаар,2017,14345
Европ,Албан ажлаар,2016,21599
Европ,Албан ажлаар,2015,15623
Европ,Албан ажлаар,2014,28529
Европ,Албан ажлаар,2013,25745
Европ,Албан ажлаар,2012,28033
Европ,Албан ажлаар,2011,25428
Европ,Албан ажлаар,2010,19818
Европ,Албан ажлаар,2009,18506
Европ,Албан ажлаар,2008,15156
Европ,Албан ажлаар,2007,12804
Европ,Албан ажлаар,2006,14257
Европ,Хувийн журмаар,2025,9582
Европ,Хувийн журмаар,2024,70682
Европ,Хувийн журмаар,2023,129971
Европ,Хувийн журмаар,2022,90371
Европ,Хувийн журмаар,2021,14527
Европ,Хувийн журмаар,2020,20156
Европ,Хувийн журмаар,2019,100286
Европ,Хувийн журмаар,2018,87320
Европ,Хувийн журмаар,2017,79706
Европ,Хувийн журмаар,2016,53172
Европ,Хувийн журмаар,2015,55412
Европ,Хувийн журмаар,2014,37622
Европ,Хувийн журмаар,2013,44040
Европ,Хувийн журмаар,2012,50131
Европ,Хувийн журмаар,2011,69622
Европ,Хувийн журмаар,2010,97965
Европ,Хувийн журмаар,2009,82434
Европ,Хувийн журмаар,2008,92809
Европ,Хувийн журмаар,2007,83255
Европ,Хувийн журмаар,2006,62128
Европ,Жуулчлал,2025,99145
Европ,Жуулчлал,2024,87289
Европ,Жуулчлал,2023,102730
Европ,Жуулчлал,2022,65644
Европ,Жуулчлал,2021,290
Европ,Жуулчлал,2020,3331
Европ,Жуулчлал,2019,74143
Европ,Жуулчлал,2018,72290
Европ,Жуулчлал,2017,60592
Европ,Жуулчлал,2016,54872
Европ,Жуулчлал,2015,40248
Европ,Жуулчлал,2014,46793
Европ,Жуулчлал,2013,48165
Европ,Жуулчлал,2012,47215
Европ,Жуулчлал,2011,47295
Европ,Жуулчлал,2010,39640
Европ,Жуулчлал,2009,36308
Европ,Жуулчлал,2008,39187
Европ,Жуулчлал,2007,38602
Европ,Жуулчлал,2006,39717
Европ,Ажиллах,2025,1401
Европ,Ажиллах,2024,1165
Европ,Ажиллах,2023,1261
Европ,Ажиллах,2022,1245
Европ,Ажиллах,2021,1636
Европ,Ажиллах,2020,1100
Европ,Ажиллах,2019,2594
Европ,Ажиллах,2018,2411
Европ,Ажиллах,2017,1743
Европ,Ажиллах,2016,2142
Европ,Ажиллах,2015,1762
Европ,Ажиллах,2014,2134
Европ,Ажиллах,2013,2518
Европ,Ажиллах,2012,2897
Европ,Ажиллах,2011,1869
Европ,Ажиллах,2010,2196
Европ,Ажиллах,2009,310
Европ,Ажиллах,2008,2
Европ,Ажиллах,2007,0
Европ,Ажиллах,2006,0
Европ,Дамжин өнгөрөх,2025,16410
Европ,Дамжин өнгөрөх,2024,10926
Европ,Дамжин өнгөрөх,2023,11262
Европ,Дамжин өнгөрөх,2022,3983
Европ,Дамжин өнгөрөх,2021,48
Европ,Дамжин өнгөрөх,2020,138
Европ,Дамжин өнгөрөх,2019,3221
Европ,Дамжин өнгөрөх,2018,1023
Европ,Дамжин өнгөрөх,2017,1605
Европ,Дамжин өнгөрөх,2016,1255
Европ,Дамжин өнгөрөх,2015,537
Европ,Дамжин өнгөрөх,2014,583
Европ,Дамжин өнгөрөх,2013,724
Европ,Дамжин өнгөрөх,2012,1300
Европ,Дамжин өнгөрөх,2011,2221
Европ,Дамжин өнгөрөх,2010,3242
Европ,Дамжин өнгөрөх,2009,3035
Европ,Дамжин өнгөрөх,2008,2962
Европ,Дамжин өнгөрөх,2007,4413
Европ,Дамжин өнгөрөх,2006,6352
Европ,Суралцах,2025,869
Европ,Суралцах,2024,1143
Европ,Суралцах,2023,1655
Европ,Суралцах,2022,1025
Европ,Суралцах,2021,336
Европ,Суралцах,2020,145
Европ,Суралцах,2019,727
Европ,Суралцах,2018,517
Европ,Суралцах,2017,452
Европ,Суралцах,2016,424
Европ,Суралцах,2015,494
Европ,Суралцах,2014,571
Европ,Суралцах,2013,613
Европ,Суралцах,2012,639
Европ,Суралцах,2011,653
Европ,Суралцах,2010,694
Европ,Суралцах,2009,830
Европ,Суралцах,2008,550
Европ,Суралцах,2007,585
Европ,Суралцах,2006,852
Европ,БОС,2025,5160
Европ,БОС,2024,14188
Европ,БОС,2023,6115
Европ,БОС,2022,3020
Европ,БОС,2021,622
Европ,БОС,2020,722
Европ,БОС,2019,3853
Европ,БОС,2018,3430
Европ,БОС,2017,2900
Европ,БОС,2016,2412
Европ,БОС,2015,1672
Европ,БОС,2014,978
Европ,БОС,2013,671
Европ,БОС,2012,944
Европ,БОС,2011,824
Европ,БОС,2010,1264
Европ,БОС,2009,741
Европ,БОС,2008,697
Европ,БОС,2007,525
Европ,БОС,2006,951
Европ,Бусад,2025,160693
Европ,Бусад,2024,76859
Европ,Бусад,2023,2319
Европ,Бусад,2022,4115
Европ,Бусад,2021,1721
Европ,Бусад,2020,713
Европ,Бусад,2019,5148
Европ,Бусад,2018,4647
Европ,Бусад,2017,3049
Европ,Бусад,2016,2276
Европ,Бусад,2015,4341
Европ,Бусад,2014,2759
Европ,Бусад,2013,866
Европ,Бусад,2012,1851
Европ,Бусад,2011,2980
Европ,Бусад,2010,4007
Европ,Бусад,2009,6589
Европ,Бусад,2008,3249
Европ,Бусад,2007,4085
Европ,Бусад,2006,6198
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2025,599997
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2024,540279
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2023,350738
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2022,103374
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2021,12799
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2020,27806
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2019,390323
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2018,372876
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2017,345648
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2016,303255
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2015,320191
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2014,359397
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2013,362074
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2012,461035
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2011,432654
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2010,367161
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2009,298086
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2008,294144
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2007,291253
Зүүн Ази болон Номхон далайн орнууд,Бүгд,2006,259130
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2025,58866
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2024,43417
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2023,23884
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2022,15091
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2021,6790
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2020,9195
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2019,31482
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2018,31414
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2017,34233
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2016,51791
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2015,73834
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2014,96134
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2013,101854
