Бүс,Үзүүлэлт,Он,value
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2018,44.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2017,37.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2016,38.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2015,45.0
    Баруун бүс,Мэдрэлийн,2025,29.0
    Баруун бүс,Мэдрэлийн,2024,29.0
    Баруун бүс,Мэдрэлийн,2023,22.0
    Баруун бүс,Мэдрэлийн,2022,17.0
    Баруун бүс,Мэдрэлийн,2021,73.0
    Баруун бүс,Мэдрэлийн,2020,17.0
    Баруун бүс,Мэдрэлийн,2019,14.0
    Баруун бүс,Мэдрэлийн,2018,16.0
    Баруун бүс,Мэдрэлийн,2017,13.0
    Баруун бүс,Мэдрэлийн,2016,11.0
    Баруун бүс,Мэдрэлийн,2015,11.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2025,3.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2024,21.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2023,7.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2022,7.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2021,15.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2020,5.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2019,7.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2018,31.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2017,38.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2016,36.0
    Баруун бүс,Эх барих эмэгтэйчүүдийн,2015,30.0
    Баруун бүс,Хавдрын,2025,12.0
    Баруун бүс,Хавдрын,2024,13.0
    Баруун бүс,Хавдрын,2023,9.0
    Баруун бүс,Хавдрын,2022,9.0
    Баруун бүс,Хавдрын,2021,9.0
    Баруун бүс,Хавдрын,2020,10.0
    Баруун бүс,Хавдрын,2019,9.0
    Баруун бүс,Хавдрын,2018,10.0
    Баруун бүс,Хавдрын,2017,10.0
    Баруун бүс,Хавдрын,2016,7.0
    Баруун бүс,Хавдрын,2015,5.0
    Баруун бүс,Сэтгэцийн,2025,25.0
    Баруун бүс,Сэтгэцийн,2024,22.0
    Баруун бүс,Сэтгэцийн,2023,18.0
    Баруун бүс,Сэтгэцийн,2022,14.0
    Баруун бүс,Сэтгэцийн,2021,15.0
    Баруун бүс,Сэтгэцийн,2020,14.0
    Баруун бүс,Сэтгэцийн,2019,15.0
    Баруун бүс,Сэтгэцийн,2018,17.0
    Баруун бүс,Сэтгэцийн,2017,18.0
    Баруун бүс,Сэтгэцийн,2016,17.0
    Баруун бүс,Сэтгэцийн,2015,16.0
    Баруун бүс,Нүдний,2025,7.0
    Баруун бүс,Нүдний,2024,7.0
    Баруун бүс,Нүдний,2023,8.0
    Баруун бүс,Нүдний,2022,9.0
    Баруун бүс,Нүдний,2021,8.0
    Баруун бүс,Нүдний,2020,7.0
    Баруун бүс,Нүдний,2019,7.0
    Баруун бүс,Нүдний,2018,8.0
    Баруун бүс,Нүдний,2017,6.0
    Баруун бүс,Нүдний,2016,6.0
    Баруун бүс,Нүдний,2015,7.0
    Баруун бүс,Чих хамар хоолойн,2025,8.0
    Баруун бүс,Чих хамар хоолойн,2024,11.0
    Баруун бүс,Чих хамар хоолойн,2023,11.0
    Баруун бүс,Чих хамар хоолойн,2022,12.0
    Баруун бүс,Чих хамар хоолойн,2021,10.0
