code,zone,district_code,district,area_km2,lon,lat
13342,15-r khoroolol-3,13,Bayanzurkh,0.303,106.962583,47.920313
13343,15-r khoroolol-4,13,Bayanzurkh,0.407,106.956018,47.920807
13344,15-r khoroolol-5,13,Bayanzurkh,0.282,106.949329,47.920295
13345,15-r khoroolol-6,13,Bayanzurkh,0.257,106.944388,47.923035
13350,Dari ekh-2,13,Bayanzurkh,0.797,106.941495,47.934181
13351,Dari ekh-3,13,Bayanzurkh,1.04,106.930639,47.946966
13352,Dund dari-Ekh,13,Bayanzurkh,1.873,106.940692,47.943217
13353,Jamsran uulyn uvur,13,Bayanzurkh,0.626,106.952997,47.949237
13354,Baga dari-Ekh,13,Bayanzurkh,1.016,106.93786,47.956092
13355,Gants khudgiin am,13,Bayanzurkh,8.703,106.968014,47.966164
13360,Tsergiin khotkhon,13,Bayanzurkh,1.799,106.955331,47.933583
13361,Dari ekh 1,13,Bayanzurkh,0.644,106.945995,47.928988
13370,13-r khoroolol 2-1,13,Bayanzurkh,0.406,106.939789,47.915673
13371,13-r khoroolol 2-2,13,Bayanzurkh,0.15,106.94164,47.910268
13372,13-r khoroolol 2-3,13,Bayanzurkh,0.183,106.937832,47.909881
13373,13-r khoroolol 2-4,13,Bayanzurkh,0.277,106.932824,47.915621
13374,13-r khoroolol 2-5,13,Bayanzurkh,0.199,106.933271,47.910444
13380,12-r khoroolol-1,13,Bayanzurkh,0.388,106.936133,47.926164
13381,12-r khoroolol-2,13,Bayanzurkh,0.482,106.93683,47.921056
14010,Belkh khadat-1,14,Sukhbaatar,3.203,107.024666,48.041509
14011,Belkh khadat-2,14,Sukhbaatar,1.577,107.018329,48.044935
14012,Belkh Tsuurait,14,Sukhbaatar,1.424,107.013052,48.046496
14020,Selbe-1,14,Sukhbaatar,11.989,107.012959,48.084511
14021,Selbe-2,14,Sukhbaatar,11.858,106.99296,48.081089
14030,Tseeniin kheseg,14,Sukhbaatar,1.726,106.981208,48.020044
14040,Tsolmongiin am-1,14,Sukhbaatar,3.882,106.999101,48.006717
14041,Tsolmongiin am-2,14,Sukhbaatar,0.226,106.981428,48.010504
14050,Belkh-1,14,Sukhbaatar,3.678,107.008329,48.021472
14051,Belkh-2,14,Sukhbaatar,1.981,106.996698,48.031965
14052,Belkh Maanityn am,14,Sukhbaatar,1.23,106.986632,48.047474
14053,Belkh Davaatyn am,14,Sukhbaatar,2.901,106.9822,48.036836
14060,Dambadarjaa-1,14,Sukhbaatar,6.643,106.949562,47.996337
14061,Dambadarjaa-2,14,Sukhbaatar,11.166,106.969914,47.985136
14062,Dambadarjaa-3,14,Sukhbaatar,1.651,106.926382,47.970732
14070,Selkh-1,14,Sukhbaatar,3.682,106.971467,48.037807
14071,Selkh-2,14,Sukhbaatar,1.566,106.963085,48.012835
14072,Selkh-3,14,Sukhbaatar,2.469,106.953339,48.025753
14073,Selkh-4,14,Sukhbaatar,2.764,106.959713,48.042866
14080,Sharga morit-1,14,Sukhbaatar,2.088,106.913691,48.053044
14081,Sharga morit-2,14,Sukhbaatar,2.183,106.931852,48.062598
14082,Sharga morit-3,14,Sukhbaatar,1.075,106.909747,48.061004
14083,Sharga morit-4,14,Sukhbaatar,13.974,106.966226,48.105691
14084,Sharga morit-5,14,Sukhbaatar,1.33,106.946287,48.078734
14085,Sharga morit-6,14,Sukhbaatar,7.881,106.964406,48.074163
14090,Khandgait-1,14,Sukhbaatar,22.131,106.948267,48.138761
14091,Khandgait-2,14,Sukhbaatar,6.217,106.93987,48.113297
14092,Khandgait-3,14,Sukhbaatar,1.109,106.894428,48.109499
14093,Khandgaityn bogino-4,14,Sukhbaatar,2.214,106.913041,48.098117
14094,Khandgaityn bogino-5,14,Sukhbaatar,0.844,106.908213,48.10294
14100,Ar khustai-1,14,Sukhbaatar,3.807,106.938869,48.016109
14101,Ar khustai-2,14,Sukhbaatar,0.82,106.932234,48.007855
14105,Zuun mod-1,14,Sukhbaatar,1.648,106.927726,48.027569
14110,Bayanbulag-1,14,Sukhbaatar,1.601,106.9097,48.081809
14111,Bayanbulag-2,14,Sukhbaatar,2.156,106.917084,48.092523
14112,Bayanbulag-3,14,Sukhbaatar,0.469,106.897174,48.077207
14120,Khuurai mukhar-1,14,Sukhbaatar,3.144,106.927243,48.084233
14121,Khuurai mukhar-2,14,Sukhbaatar,1.719,106.913701,48.076849
14122,Khuurai mukhar-3,14,Sukhbaatar,0.302,106.898671,48.062347
14130,Goodoin am-1,14,Sukhbaatar,3.024,106.948544,48.052285
14131,Goodoin am-2,14,Sukhbaatar,2.446,106.9252,48.047982
14132,Goodoin am-3,14,Sukhbaatar,2.411,106.931677,48.038046
14140,Sanzai-1,14,Sukhbaatar,32.023,106.91578,48.166994
14141,Sanzai-2,14,Sukhbaatar,1.404,106.900966,48.128283
14142,Sanzai-3,14,Sukhbaatar,4.671,106.880482,48.142035
14143,Sanzai-4,14,Sukhbaatar,0.808,106.891637,48.120374
14150,Maikhan tolgoi-1-1,14,Sukhbaatar,0.664,106.892864,48.091061
14151,Maikhan tolgoi-1-2,14,Sukhbaatar,1.093,106.891597,48.100996
14160,5 buudal,14,Sukhbaatar,1.801,106.922105,47.956019
14170,100 ail-1,14,Sukhbaatar,1.004,106.920734,47.942886
14171,100 ail-2,14,Sukhbaatar,0.297,106.928578,47.934377
14180,7-r khoroolol-1,14,Sukhbaatar,0.44,106.920434,47.935467
14181,7-r khoroolol-2,14,Sukhbaatar,0.389,106.920699,47.931135
14182,7-r khoroolol-3,14,Sukhbaatar,0.744,106.910856,47.933445
14190,11-r khoroolol-1,14,Sukhbaatar,0.258,106.929394,47.926618
14191,11-r khoroolol-2,14,Sukhbaatar,0.311,106.927198,47.920685
14192,11-r khoroolol-3,14,Sukhbaatar,0.313,106.924343,47.926223
14193,11-r khoroolol-4,14,Sukhbaatar,0.098,106.919446,47.92776
14200,Baga toiruu-1,14,Sukhbaatar,0.303,106.920702,47.921564
14201,Baga toiruu-2,14,Sukhbaatar,0.295,106.916848,47.922919
14210,13-r khoroolol 1-1,14,Sukhbaatar,0.258,106.925277,47.916203
14220,13-r khoroolol 1-2,14,Sukhbaatar,0.13,106.926066,47.913487
14230,13-r khoroolol 1-3,14,Sukhbaatar,0.224,106.927779,47.910353
14240,Soyol amraltyn khureelen-1,14,Sukhbaatar,0.148,106.918207,47.915032
14241,Soyol amraltyn khureelen-2,14,Sukhbaatar,0.43,106.919265,47.910572
14250,5-r khoroolol-1,14,Sukhbaatar,0.38,106.904329,47.914887
14251,5-r khoroolol-2,14,Sukhbaatar,0.377,106.911415,47.911785
14252,5-r khoroolol-3,14,Sukhbaatar,0.368,106.903318,47.911049
14253,5-r khoroolol-4,14,Sukhbaatar,0.138,106.896674,47.910789
15010,Ar sogoot-1,15,Chingeltei,0.574,106.92789,48.002055
15011,Ar sogoot-2,15,Chingeltei,1.69,106.912044,48.002074
15020,Shadivlan-1,15,Chingeltei,0.783,106.922433,48.013069
15021,Shadivlan-2,15,Chingeltei,1.563,106.909685,48.009935
15022,Shadivlan-3,15,Chingeltei,1.275,106.903763,48.019412
15023,Shadivlan-4,15,Chingeltei,4.321,106.877963,48.020115
15024,Shadivlan-5,15,Chingeltei,0.686,106.891362,48.010914
15030,Chingeltei-3,15,Chingeltei,0.773,106.925607,47.985438
15031,Chingeltei-1,15,Chingeltei,9.498,106.895268,47.991395
15032,Chingeltei-2,15,Chingeltei,6.706,106.87819,47.986766
15040,Zuun mod-2-1,15,Chingeltei,0.316,106.915448,48.026284
15041,Zuun mod-2-2,15,Chingeltei,0.378,106.913721,48.032154
15050,Yargait-1,15,Chingeltei,2.634,106.896018,48.027653
15051,Yargait-2,15,Chingeltei,1.47,106.877694,48.034651
15052,Yargaityn bogino-2,15,Chingeltei,0.445,106.908635,48.038467
15053,Yargaityn bogino-1,15,Chingeltei,1.537,106.879685,48.038375
15054,Yargaityn bogino-3,15,Chingeltei,1.88,106.879612,48.043001
15060,Salkhit,15,Chingeltei,1.409,106.911774,47.995184
15070,Oinbulag,15,Chingeltei,6.938,106.870054,48.122915
15080,Maikhan tolgoi-2-1,15,Chingeltei,7.974,106.860874,48.095134
15081,Maikhan tolgoi-2-2,15,Chingeltei,3.528,106.864835,48.107366
15090,Gunt-1,15,Chingeltei,5.932,106.871362,48.077702
15091,Gunt-2,15,Chingeltei,5.612,106.863325,48.067477
15100,Jigjid-1,15,Chingeltei,0.511,106.899075,48.052569
15101,Jigjid-2,15,Chingeltei,0.183,106.893735,48.054753
15102,Jigjid-3,15,Chingeltei,0.591,106.895502,48.0467
15103,Jigjid-4,15,Chingeltei,0.927,106.885343,48.053653
15104,Jigjid-5,15,Chingeltei,3.515,106.870308,48.051281
15110,Khailaast-1,15,Chingeltei,3.681,106.891454,47.967441
15111,Khailaast-2,15,Chingeltei,3.656,106.880939,47.964674
15120,Denjiin myanga-1,15,Chingeltei,4.276,106.891671,47.949441
15121,Denjiin myanga-2,15,Chingeltei,1.43,106.899825,47.935877
15130,Televiz,15,Chingeltei,2.639,106.879139,47.944242
15140,6-r khoroolol-1,15,Chingeltei,0.25,106.909327,47.926903
15141,6-r khoroolol-2,15,Chingeltei,0.301,106.90617,47.923865
15150,Tasgany ovoo,15,Chingeltei,0.153,106.900126,47.924887
15160,Baga toiruu-3,15,Chingeltei,0.314,106.913562,47.920947
15170,"40, 50 myangat-1",15,Chingeltei,0.227,106.909003,47.919307
