type_of_livestock,region,year,value
Sheep,Bulgan,1984,603.79
Sheep,Bulgan,1983,616.88
Sheep,Bulgan,1982,633.8
Sheep,Bulgan,1981,604.86
Sheep,Bulgan,1980,592.46
Sheep,Bulgan,1979,572.88
Sheep,Bulgan,1978,575.56
Sheep,Bulgan,1977,538.68
Sheep,Bulgan,1976,600.52
Sheep,Bulgan,1975,655.31
Sheep,Bulgan,1974,661.48
Sheep,Bulgan,1973,645.28
Sheep,Bulgan,1972,624.34
Sheep,Bulgan,1971,612.13
Sheep,Bulgan,1970,573.68
Sheep,Orkhon,2025,59.08
Sheep,Orkhon,2024,64.12
Sheep,Orkhon,2023,68.01
Sheep,Orkhon,2022,66.3
Sheep,Orkhon,2021,59.65
Sheep,Orkhon,2020,51.25
Sheep,Orkhon,2019,50.56
Sheep,Orkhon,2018,47.49
Sheep,Orkhon,2017,47.66
Sheep,Orkhon,2016,52.65
Sheep,Orkhon,2015,48.11
Sheep,Orkhon,2014,51.23
Sheep,Orkhon,2013,79.86
Sheep,Orkhon,2012,80.2
Sheep,Orkhon,2011,68.64
Sheep,Orkhon,2010,73.09
Sheep,Orkhon,2009,111.78
Sheep,Orkhon,2008,110.99
Sheep,Orkhon,2007,87.59
Sheep,Orkhon,2006,71.8
Sheep,Orkhon,2005,55.79
Sheep,Orkhon,2004,45.16
Sheep,Orkhon,2003,42.8
Sheep,Orkhon,2002,73.74
Sheep,Orkhon,2001,79.08
Sheep,Orkhon,2000,80.41
Sheep,Orkhon,1999,78.62
Sheep,Orkhon,1998,63.42
Sheep,Orkhon,1997,59.25
Sheep,Orkhon,1996,62.24
Sheep,Orkhon,1995,69.58
Sheep,Orkhon,1994,64.37
Sheep,Orkhon,1993,63.59
Sheep,Orkhon,1992,56.53
Sheep,Orkhon,1991,45.35
Sheep,Orkhon,1990,32.64
Sheep,Orkhon,1989,26.29
Sheep,Orkhon,1988,21.55
Sheep,Orkhon,1987,17.34
Sheep,Orkhon,1986,14.71
Sheep,Orkhon,1985,14.71
Sheep,Orkhon,1984,13.28
Sheep,Orkhon,1983,11.93
Sheep,Orkhon,1982,10.37
Sheep,Orkhon,1981,6.75
Sheep,Orkhon,1980,3.21
Sheep,Orkhon,1979,0.5
Sheep,Orkhon,1978,2.7
Sheep,Orkhon,1977,2.9
Sheep,Orkhon,1976,0.7
Sheep,Orkhon,1975,
Sheep,Orkhon,1974,
Sheep,Orkhon,1973,
Sheep,Orkhon,1972,
Sheep,Orkhon,1971,
Sheep,Orkhon,1970,
Sheep,Khuvsgul,2025,2258.26
Sheep,Khuvsgul,2024,2262.08
Sheep,Khuvsgul,2023,2653.96
Sheep,Khuvsgul,2022,3034.28
Sheep,Khuvsgul,2021,2883.23
Sheep,Khuvsgul,2020,2622.81
Sheep,Khuvsgul,2019,2935.06
Sheep,Khuvsgul,2018,2766.19
Sheep,Khuvsgul,2017,2597.46
Sheep,Khuvsgul,2016,2489.3
Sheep,Khuvsgul,2015,2123.74
Sheep,Khuvsgul,2014,1997.12
Sheep,Khuvsgul,2013,1722.75
Sheep,Khuvsgul,2012,1673.09
Sheep,Khuvsgul,2011,1457.49
Sheep,Khuvsgul,2010,1363.93
Sheep,Khuvsgul,2009,1732.68
Sheep,Khuvsgul,2008,1618.0
Sheep,Khuvsgul,2007,1441.93
Sheep,Khuvsgul,2006,1248.95
Sheep,Khuvsgul,2005,1040.17
Sheep,Khuvsgul,2004,931.98
Sheep,Khuvsgul,2003,816.37
Sheep,Khuvsgul,2002,769.09
Sheep,Khuvsgul,2001,747.35
Sheep,Khuvsgul,2000,944.89
Sheep,Khuvsgul,1999,1000.1
Sheep,Khuvsgul,1998,934.03
Sheep,Khuvsgul,1997,881.59
Sheep,Khuvsgul,1996,827.41
Sheep,Khuvsgul,1995,812.22
Sheep,Khuvsgul,1994,846.02
Sheep,Khuvsgul,1993,850.17
Sheep,Khuvsgul,1992,941.6
Sheep,Khuvsgul,1991,1007.29
Sheep,Khuvsgul,1990,1093.21
Sheep,Khuvsgul,1989,1061.72
Sheep,Khuvsgul,1988,1036.46
Sheep,Khuvsgul,1987,1038.19
Sheep,Khuvsgul,1986,1054.3
Sheep,Khuvsgul,1985,1096.77
Sheep,Khuvsgul,1984,1119.1
Sheep,Khuvsgul,1983,1131.57
Sheep,Khuvsgul,1982,1119.07
Sheep,Khuvsgul,1981,1078.13
Sheep,Khuvsgul,1980,1020.11
Sheep,Khuvsgul,1979,1018.28
Sheep,Khuvsgul,1978,989.82
Sheep,Khuvsgul,1977,914.7
Sheep,Khuvsgul,1976,923.82
Sheep,Khuvsgul,1975,1016.65
Sheep,Khuvsgul,1974,1055.13
Sheep,Khuvsgul,1973,977.62
Sheep,Khuvsgul,1972,974.18
Sheep,Khuvsgul,1971,989.58
Sheep,Khuvsgul,1970,990.87
Sheep,Central region,2025,2516.25
Sheep,Central region,2024,2854.37
Sheep,Central region,2023,3542.8
Sheep,Central region,2022,3725.42
Sheep,Central region,2021,3549.05
Sheep,Central region,2020,3485.54
Sheep,Central region,2019,3526.78
Sheep,Central region,2018,3302.19
Sheep,Central region,2017,3311.26
Sheep,Central region,2016,3353.9
Sheep,Central region,2015,3101.7
Sheep,Central region,2014,2992.23
Sheep,Central region,2013,2585.03
Sheep,Central region,2012,2381.84
Sheep,Central region,2011,2168.93
Sheep,Central region,2010,2098.5
Sheep,Central region,2009,2623.07
Sheep,Central region,2008,2264.49
Sheep,Central region,2007,1804.95
Sheep,Central region,2006,1463.4
Sheep,Central region,2005,1198.61
Sheep,Central region,2004,1055.48
Sheep,Central region,2003,1046.84
Sheep,Central region,2002,1200.61
Sheep,Central region,2001,1293.67
Sheep,Central region,2000,1531.22
Sheep,Central region,1999,1593.05
Sheep,Central region,1998,1559.42
Sheep,Central region,1997,1455.89
Sheep,Central region,1996,1375.75
Sheep,Central region,1995,1373.3
Sheep,Central region,1994,1368.62
Sheep,Central region,1993,1380.43
Sheep,Central region,1992,1489.28
Sheep,Central region,1991,1485.3
Sheep,Central region,1990,1540.45
Sheep,Central region,1989,1408.84
Sheep,Central region,1988,1307.5
Sheep,Central region,1987,1250.92
Sheep,Central region,1986,1230.11
Sheep,Central region,1985,1218.39
Sheep,Central region,1984,1243.91
Sheep,Central region,1983,1284.46
Sheep,Central region,1982,1261.8
Sheep,Central region,1981,1198.01
Sheep,Central region,1980,1137.88
Sheep,Central region,1979,1149.31
Sheep,Central region,1978,1124.08
Sheep,Central region,1977,1022.83
Sheep,Central region,1976,1121.98
Sheep,Central region,1975,1284.31
Sheep,Central region,1974,1297.52
Sheep,Central region,1973,1180.66
Sheep,Central region,1972,1117.85
Sheep,Central region,1971,1055.86
Sheep,Central region,1970,1061.54
Sheep,Darkhan-Uul,2025,54.74
Sheep,Darkhan-Uul,2024,100.63
Sheep,Darkhan-Uul,2023,112.19
Sheep,Darkhan-Uul,2022,140.57
Sheep,Darkhan-Uul,2021,163.83
Sheep,Darkhan-Uul,2020,161.8
Sheep,Darkhan-Uul,2019,162.3
Sheep,Darkhan-Uul,2018,147.06
Sheep,Darkhan-Uul,2017,150.84
Sheep,Darkhan-Uul,2016,162.18
Sheep,Darkhan-Uul,2015,143.6
Sheep,Darkhan-Uul,2014,167.62
Sheep,Darkhan-Uul,2013,144.92
Sheep,Darkhan-Uul,2012,135.97
Sheep,Darkhan-Uul,2011,124.99
Sheep,Darkhan-Uul,2010,127.61
Sheep,Darkhan-Uul,2009,176.53
Sheep,Darkhan-Uul,2008,163.01
Sheep,Darkhan-Uul,2007,102.17
Sheep,Darkhan-Uul,2006,82.67
Sheep,Darkhan-Uul,2005,65.39
Sheep,Darkhan-Uul,2004,57.09
Sheep,Darkhan-Uul,2003,55.84
Sheep,Darkhan-Uul,2002,77.12
Sheep,Darkhan-Uul,2001,84.7
Sheep,Darkhan-Uul,2000,96.48
Sheep,Darkhan-Uul,1999,90.04
Sheep,Darkhan-Uul,1998,84.31
Sheep,Darkhan-Uul,1997,72.31
Sheep,Darkhan-Uul,1996,70.99
Sheep,Darkhan-Uul,1995,73.99
Sheep,Darkhan-Uul,1994,80.96
Sheep,Darkhan-Uul,1993,78.54
Sheep,Darkhan-Uul,1992,90.33
Sheep,Darkhan-Uul,1991,89.85
Sheep,Darkhan-Uul,1990,72.82
Sheep,Darkhan-Uul,1989,50.76
Sheep,Darkhan-Uul,1988,42.69
Sheep,Darkhan-Uul,1987,36.18
Sheep,Darkhan-Uul,1986,40.88
Sheep,Darkhan-Uul,1985,40.88
Sheep,Darkhan-Uul,1984,40.98
Sheep,Darkhan-Uul,1983,38.23
Sheep,Darkhan-Uul,1982,33.0
Sheep,Darkhan-Uul,1981,14.04
Sheep,Darkhan-Uul,1980,12.21
Sheep,Darkhan-Uul,1979,0.9
Sheep,Darkhan-Uul,1978,8.6
Sheep,Darkhan-Uul,1977,7.2
Sheep,Darkhan-Uul,1976,5.9
Sheep,Darkhan-Uul,1975,5.6
Sheep,Darkhan-Uul,1974,5.3
Sheep,Darkhan-Uul,1973,0.6
Sheep,Darkhan-Uul,1972,2.5
Sheep,Darkhan-Uul,1971,2.5
Sheep,Darkhan-Uul,1970,0.32
Sheep,Selenge,2025,492.99
Sheep,Selenge,2024,683.36
Sheep,Selenge,2023,787.93
Sheep,Selenge,2022,857.44
Sheep,Selenge,2021,849.74
Sheep,Selenge,2020,783.4
Sheep,Selenge,2019,744.72
Sheep,Selenge,2018,705.87
Sheep,Selenge,2017,699.3
Sheep,Selenge,2016,749.34
Sheep,Selenge,2015,686.92
Sheep,Selenge,2014,698.9
Sheep,Selenge,2013,624.2
Sheep,Selenge,2012,612.14
Sheep,Selenge,2011,581.67
Sheep,Selenge,2010,612.15
Sheep,Selenge,2009,732.07
Sheep,Selenge,2008,651.68
Sheep,Selenge,2007,453.51
Sheep,Selenge,2006,339.9
Sheep,Selenge,2005,277.57
Sheep,Selenge,2004,253.6
Sheep,Selenge,2003,266.22
Sheep,Selenge,2002,316.71
Sheep,Selenge,2001,314.41
Sheep,Selenge,2000,333.51
Sheep,Selenge,1999,327.9
Sheep,Selenge,1998,302.49
Sheep,Selenge,1997,288.83
Sheep,Selenge,1996,284.45
Sheep,Selenge,1995,295.11
Sheep,Selenge,1994,305.05
Sheep,Selenge,1993,289.99
Sheep,Selenge,1992,312.26
Sheep,Selenge,1991,333.78
Sheep,Selenge,1990,351.26
Sheep,Selenge,1989,332.26
Sheep,Selenge,1988,316.59
Sheep,Selenge,1987,301.43
Sheep,Selenge,1986,291.81
Sheep,Selenge,1985,289.84
Sheep,Selenge,1984,304.7
Sheep,Selenge,1983,306.64
Sheep,Selenge,1982,289.72
Sheep,Selenge,1981,306.67
Sheep,Selenge,1980,287.83
Sheep,Selenge,1979,322.33
Sheep,Selenge,1978,328.49
Sheep,Selenge,1977,303.41
Sheep,Selenge,1976,290.01
Sheep,Selenge,1975,321.68
Sheep,Selenge,1974,317.38
Sheep,Selenge,1973,298.02
Sheep,Selenge,1972,275.38
Sheep,Selenge,1971,252.75
Sheep,Selenge,1970,251.27
Sheep,Tuv,2025,1968.53
Sheep,Tuv,2024,2070.37
Sheep,Tuv,2023,2642.68
Sheep,Tuv,2022,2727.41
Sheep,Tuv,2021,2535.48
Sheep,Tuv,2020,2540.34
Sheep,Tuv,2019,2619.76
Sheep,Tuv,2018,2449.26
Sheep,Tuv,2017,2461.12
Sheep,Tuv,2016,2442.39
Sheep,Tuv,2015,2271.19
Sheep,Tuv,2014,2125.72
Sheep,Tuv,2013,1815.91
Sheep,Tuv,2012,1633.74
Sheep,Tuv,2011,1462.27
Sheep,Tuv,2010,1358.74
Sheep,Tuv,2009,1714.47
Sheep,Tuv,2008,1449.8
Sheep,Tuv,2007,1249.27
Sheep,Tuv,2006,1040.83
Sheep,Tuv,2005,855.65
Sheep,Tuv,2004,744.79
Sheep,Tuv,2003,724.78
Sheep,Tuv,2002,806.78
Sheep,Tuv,2001,894.56
Sheep,Tuv,2000,1101.23
Sheep,Tuv,1999,1175.11
Sheep,Tuv,1998,1172.62
Sheep,Tuv,1997,1094.75
Sheep,Tuv,1996,1020.31
Sheep,Tuv,1995,1004.2
Sheep,Tuv,1994,982.61
Sheep,Tuv,1993,1011.9
Sheep,Tuv,1992,1086.69
Sheep,Tuv,1991,1061.67
Sheep,Tuv,1990,1116.37
Sheep,Tuv,1989,1025.82
Sheep,Tuv,1988,948.22
Sheep,Tuv,1987,913.31
Sheep,Tuv,1986,897.42
Sheep,Tuv,1985,887.67
Sheep,Tuv,1984,898.23
Sheep,Tuv,1983,939.59
Sheep,Tuv,1982,939.08
Sheep,Tuv,1981,877.3
Sheep,Tuv,1980,837.84
Sheep,Tuv,1979,826.08
Sheep,Tuv,1978,786.99
Sheep,Tuv,1977,712.22
Sheep,Tuv,1976,826.07
Sheep,Tuv,1975,957.03
Sheep,Tuv,1974,974.84
Sheep,Tuv,1973,882.04
Sheep,Tuv,1972,839.97
Sheep,Tuv,1971,800.61
Sheep,Tuv,1970,809.95
Sheep,Eastern region,2025,3693.27
Sheep,Eastern region,2024,3568.45
Sheep,Eastern region,2023,5801.23
Sheep,Eastern region,2022,6636.21
Sheep,Eastern region,2021,6195.72
Sheep,Eastern region,2020,5641.71
Sheep,Eastern region,2019,5688.45
Sheep,Eastern region,2018,5423.34
Sheep,Eastern region,2017,5029.34
Sheep,Eastern region,2016,4311.7
Sheep,Eastern region,2015,3995.82
Sheep,Eastern region,2014,3653.44
Sheep,Eastern region,2013,3218.36
Sheep,Eastern region,2012,2953.36
Sheep,Eastern region,2011,2693.88
Sheep,Eastern region,2010,2580.3
Sheep,Eastern region,2009,2643.45
Sheep,Eastern region,2008,2429.96
Sheep,Eastern region,2007,2395.99
Sheep,Eastern region,2006,2158.0
Sheep,Eastern region,2005,1948.16
Sheep,Eastern region,2004,1817.72
Sheep,Eastern region,2003,1788.51
Sheep,Eastern region,2002,1773.55
Sheep,Eastern region,2001,1781.75
Sheep,Eastern region,2000,1844.41
Sheep,Eastern region,1999,1799.8
Sheep,Eastern region,1998,1617.59
Sheep,Eastern region,1997,1445.52
Sheep,Eastern region,1996,1341.12
Sheep,Eastern region,1995,1336.01
Sheep,Eastern region,1994,1527.23
Sheep,Eastern region,1993,1482.08
Sheep,Eastern region,1992,2012.33
Sheep,Eastern region,1991,2107.8
Sheep,Eastern region,1990,2214.25
Sheep,Eastern region,1989,2146.79
Sheep,Eastern region,1988,2035.0
Sheep,Eastern region,1987,1963.47
Sheep,Eastern region,1986,2033.62
Sheep,Eastern region,1985,2092.51
Sheep,Eastern region,1984,2128.4
Sheep,Eastern region,1983,2193.68
Sheep,Eastern region,1982,2416.3
Sheep,Eastern region,1981,2486.57
Sheep,Eastern region,1980,2302.37
Sheep,Eastern region,1979,2448.04
Sheep,Eastern region,1978,2369.81
Sheep,Eastern region,1977,2194.81
Sheep,Eastern region,1976,2220.24
Sheep,Eastern region,1975,2353.25
Sheep,Eastern region,1974,2359.38
Sheep,Eastern region,1973,2270.33
Sheep,Eastern region,1972,2185.74
Sheep,Eastern region,1971,2147.88
Sheep,Eastern region,1970,2201.32
Sheep,Dornod,2025,1229.82
Sheep,Dornod,2024,1230.72
Sheep,Dornod,2023,1514.53
Sheep,Dornod,2022,1615.4
Sheep,Dornod,2021,1470.18
Sheep,Dornod,2020,1303.06
Sheep,Dornod,2019,1262.35
Sheep,Dornod,2018,1147.69
Sheep,Dornod,2017,1001.57
Sheep,Dornod,2016,831.36
Sheep,Dornod,2015,745.32
Sheep,Dornod,2014,673.35
Sheep,Dornod,2013,592.99
Sheep,Dornod,2012,584.78
Sheep,Dornod,2011,555.36
Sheep,Dornod,2010,550.79
Sheep,Dornod,2009,704.09
Sheep,Dornod,2008,688.61
Sheep,Dornod,2007,611.4
Sheep,Dornod,2006,527.29
Sheep,Dornod,2005,469.88
Sheep,Dornod,2004,424.01
Sheep,Dornod,2003,406.9
Sheep,Dornod,2002,418.51
Sheep,Dornod,2001,425.73
Sheep,Dornod,2000,438.45
Sheep,Dornod,1999,432.06
Sheep,Dornod,1998,385.16
Sheep,Dornod,1997,343.64
Sheep,Dornod,1996,314.01
Sheep,Dornod,1995,319.36
Sheep,Dornod,1994,376.26
Sheep,Dornod,1993,443.25
Sheep,Dornod,1992,529.8
Sheep,Dornod,1991,617.46
Sheep,Dornod,1990,661.22
Sheep,Dornod,1989,652.94
Sheep,Dornod,1988,638.28
Sheep,Dornod,1987,631.24
Sheep,Dornod,1986,624.91
Sheep,Dornod,1985,673.86
Sheep,Dornod,1984,672.48
Sheep,Dornod,1983,729.78
Sheep,Dornod,1982,824.95
Sheep,Dornod,1981,838.5
Sheep,Dornod,1980,760.68
Sheep,Dornod,1979,801.81
Sheep,Dornod,1978,785.53
Sheep,Dornod,1977,714.46
Sheep,Dornod,1976,724.6
Sheep,Dornod,1975,780.09
Sheep,Dornod,1974,767.8
Sheep,Dornod,1973,738.09
Sheep,Dornod,1972,706.96
Sheep,Dornod,1971,737.18
Sheep,Dornod,1970,726.62
Sheep,Sukhbaatar,2025,943.83
Sheep,Sukhbaatar,2024,861.45
Sheep,Sukhbaatar,2023,2020.18
Sheep,Sukhbaatar,2022,2410.04
Sheep,Sukhbaatar,2021,2179.01
Sheep,Sukhbaatar,2020,1993.91
Sheep,Sukhbaatar,2019,1971.23
Sheep,Sukhbaatar,2018,1922.13
Sheep,Sukhbaatar,2017,1815.32
Sheep,Sukhbaatar,2016,1542.2
Sheep,Sukhbaatar,2015,1511.84
Sheep,Sukhbaatar,2014,1380.78
Sheep,Sukhbaatar,2013,1216.62
Sheep,Sukhbaatar,2012,1090.83
Sheep,Sukhbaatar,2011,991.98
Sheep,Sukhbaatar,2010,961.22
Sheep,Sukhbaatar,2009,853.67
Sheep,Sukhbaatar,2008,733.12
Sheep,Sukhbaatar,2007,776.26
Sheep,Sukhbaatar,2006,750.84
Sheep,Sukhbaatar,2005,695.99
Sheep,Sukhbaatar,2004,706.37
Sheep,Sukhbaatar,2003,722.53
Sheep,Sukhbaatar,2002,710.96
Sheep,Sukhbaatar,2001,708.02
Sheep,Sukhbaatar,2000,717.32
Sheep,Sukhbaatar,1999,689.79
Sheep,Sukhbaatar,1998,605.57
Sheep,Sukhbaatar,1997,534.21
Sheep,Sukhbaatar,1996,499.65
Sheep,Sukhbaatar,1995,496.35
Sheep,Sukhbaatar,1994,586.3
Sheep,Sukhbaatar,1993,371.24
Sheep,Sukhbaatar,1992,657.28
Sheep,Sukhbaatar,1991,624.51
Sheep,Sukhbaatar,1990,602.85
Sheep,Sukhbaatar,1989,592.01
Sheep,Sukhbaatar,1988,572.78
Sheep,Sukhbaatar,1987,542.58
Sheep,Sukhbaatar,1986,624.9
Sheep,Sukhbaatar,1985,634.84
Sheep,Sukhbaatar,1984,627.53
Sheep,Sukhbaatar,1983,592.3
Sheep,Sukhbaatar,1982,654.25
Sheep,Sukhbaatar,1981,714.49
Sheep,Sukhbaatar,1980,678.62
Sheep,Sukhbaatar,1979,733.89
Sheep,Sukhbaatar,1978,704.71
Sheep,Sukhbaatar,1977,691.82
Sheep,Sukhbaatar,1976,657.36
Sheep,Sukhbaatar,1975,678.22
Sheep,Sukhbaatar,1974,692.66
Sheep,Sukhbaatar,1973,684.01
Sheep,Sukhbaatar,1972,627.09
Sheep,Sukhbaatar,1971,565.47
Sheep,Sukhbaatar,1970,636.84
Sheep,Khentii,2025,1519.62
Sheep,Khentii,2024,1476.28
Sheep,Khentii,2023,2266.52
Sheep,Khentii,2022,2610.77
Sheep,Khentii,2021,2546.53
Sheep,Khentii,2020,2344.74
Sheep,Khentii,2019,2454.86
Sheep,Khentii,2018,2353.53
Sheep,Khentii,2017,2212.45
Sheep,Khentii,2016,1938.14
Sheep,Khentii,2015,1738.67
Sheep,Khentii,2014,1599.31
Sheep,Khentii,2013,1408.74
Sheep,Khentii,2012,1277.75
Sheep,Khentii,2011,1146.54
Sheep,Khentii,2010,1068.29
Sheep,Khentii,2009,1085.69
Sheep,Khentii,2008,1008.23
Sheep,Khentii,2007,1008.33
Sheep,Khentii,2006,879.87
Sheep,Khentii,2005,782.29
Sheep,Khentii,2004,687.34
Sheep,Khentii,2003,659.08
Sheep,Khentii,2002,644.08
Sheep,Khentii,2001,648.0
Sheep,Khentii,2000,688.64
Sheep,Khentii,1999,677.95
Sheep,Khentii,1998,626.86
Sheep,Khentii,1997,567.67
Sheep,Khentii,1996,527.46
Sheep,Khentii,1995,520.3
Sheep,Khentii,1994,564.67
Sheep,Khentii,1993,667.59
Sheep,Khentii,1992,825.25
Sheep,Khentii,1991,865.83
Sheep,Khentii,1990,950.18
Sheep,Khentii,1989,901.84
Sheep,Khentii,1988,823.94
Sheep,Khentii,1987,789.65
Sheep,Khentii,1986,783.81
Sheep,Khentii,1985,783.81
Sheep,Khentii,1984,828.39
Sheep,Khentii,1983,871.6
Sheep,Khentii,1982,937.1
Sheep,Khentii,1981,933.58
Sheep,Khentii,1980,863.07
Sheep,Khentii,1979,912.34
Sheep,Khentii,1978,879.57
Sheep,Khentii,1977,788.53
Sheep,Khentii,1976,838.28
Sheep,Khentii,1975,894.94
Sheep,Khentii,1974,898.92
Sheep,Khentii,1973,848.23
Sheep,Khentii,1972,851.69
Sheep,Khentii,1971,845.23
Sheep,Khentii,1970,837.86
Sheep,Govi region,2025,2999.93
Sheep,Govi region,2024,2839.37
Sheep,Govi region,2023,3532.73
Sheep,Govi region,2022,3881.0
Sheep,Govi region,2021,3537.98
Sheep,Govi region,2020,3761.93
Sheep,Govi region,2019,3902.09
Sheep,Govi region,2018,3596.73
Sheep,Govi region,2017,3366.89
Sheep,Govi region,2016,2902.3
Sheep,Govi region,2015,2633.72
Sheep,Govi region,2014,2355.45
Sheep,Govi region,2013,2006.03
Sheep,Govi region,2012,1706.51
Sheep,Govi region,2011,1437.23
Sheep,Govi region,2010,1229.02
Sheep,Govi region,2009,1827.83
Sheep,Govi region,2008,1687.62
Sheep,Govi region,2007,1625.91
Sheep,Govi region,2006,1470.18
Sheep,Govi region,2005,1497.71
Sheep,Govi region,2004,1448.19
Sheep,Govi region,2003,1321.99
Sheep,Govi region,2002,1286.3
Sheep,Govi region,2001,1392.08
Sheep,Govi region,2000,1574.01
Sheep,Govi region,1999,1951.97
Sheep,Govi region,1998,1905.03
Sheep,Govi region,1997,1781.01
Sheep,Govi region,1996,1680.43
Sheep,Govi region,1995,1619.67
Sheep,Govi region,1994,1547.17
Sheep,Govi region,1993,1566.35
Sheep,Govi region,1992,1684.81
Sheep,Govi region,1991,1692.88
Sheep,Govi region,1990,1623.88
Sheep,Govi region,1989,1565.35
Sheep,Govi region,1988,1425.87
Sheep,Govi region,1987,1424.98
Sheep,Govi region,1986,1478.82
Sheep,Govi region,1985,1470.73
Sheep,Govi region,1984,1500.83
Sheep,Govi region,1983,1537.04
Sheep,Govi region,1982,1592.81
Sheep,Govi region,1981,1516.4
Sheep,Govi region,1980,1492.83
Sheep,Govi region,1979,1586.95
Sheep,Govi region,1978,1592.16
Sheep,Govi region,1977,1495.85
Sheep,Govi region,1976,1593.9
Sheep,Govi region,1975,1548.22
Sheep,Govi region,1974,1544.21
Sheep,Govi region,1973,1439.51
Sheep,Govi region,1972,1425.8
Sheep,Govi region,1971,1333.28
Sheep,Govi region,1970,1415.24
Sheep,Govisumber,2025,138.48
Sheep,Govisumber,2024,131.31
Sheep,Govisumber,2023,227.76
Sheep,Govisumber,2022,236.02
Sheep,Govisumber,2021,219.42
Sheep,Govisumber,2020,218.43
Sheep,Govisumber,2019,219.53
Sheep,Govisumber,2018,208.08
Sheep,Govisumber,2017,205.23
Sheep,Govisumber,2016,185.88
Sheep,Govisumber,2015,169.09
Sheep,Govisumber,2014,152.26
Sheep,Govisumber,2013,120.95
Sheep,Govisumber,2012,99.41
Sheep,Govisumber,2011,79.02
Sheep,Govisumber,2010,65.2
Sheep,Govisumber,2009,69.68
Sheep,Govisumber,2008,66.5
Sheep,Govisumber,2007,74.17
Sheep,Govisumber,2006,68.89
Sheep,Govisumber,2005,59.15
Sheep,Govisumber,2004,48.72
Sheep,Govisumber,2003,40.04
Sheep,Govisumber,2002,32.71
Sheep,Govisumber,2001,29.14
Sheep,Govisumber,2000,51.25
Sheep,Govisumber,1999,64.05
Sheep,Govisumber,1998,66.72
Sheep,Govisumber,1997,60.03
Sheep,Govisumber,1996,59.94
Sheep,Govisumber,1995,58.6
Sheep,Govisumber,1994,61.42
Sheep,Govisumber,1993,71.77
Sheep,Govisumber,1992,70.73
Sheep,Govisumber,1991,67.84
Sheep,Govisumber,1990,
Sheep,Govisumber,1989,
Sheep,Govisumber,1988,
Sheep,Govisumber,1987,
Sheep,Govisumber,1986,
Sheep,Govisumber,1985,
Sheep,Govisumber,1984,
Sheep,Govisumber,1983,
Sheep,Govisumber,1982,
Sheep,Govisumber,1981,
Sheep,Govisumber,1980,
Sheep,Govisumber,1979,
Sheep,Govisumber,1978,
Sheep,Govisumber,1977,
Sheep,Govisumber,1976,
Sheep,Govisumber,1975,
Sheep,Govisumber,1974,
Sheep,Govisumber,1973,
Sheep,Govisumber,1972,
Sheep,Govisumber,1971,
Sheep,Govisumber,1970,
Sheep,Dornogovi,2025,593.74
Sheep,Dornogovi,2024,554.78
Sheep,Dornogovi,2023,997.72
Sheep,Dornogovi,2022,1245.05
Sheep,Dornogovi,2021,1158.46
Sheep,Dornogovi,2020,1069.69
Sheep,Dornogovi,2019,1021.64
Sheep,Dornogovi,2018,926.18
Sheep,Dornogovi,2017,861.48
Sheep,Dornogovi,2016,758.38
Sheep,Dornogovi,2015,751.39
Sheep,Dornogovi,2014,690.74
Sheep,Dornogovi,2013,611.92
Sheep,Dornogovi,2012,531.49
Sheep,Dornogovi,2011,477.28
Sheep,Dornogovi,2010,421.26
Sheep,Dornogovi,2009,408.66
Sheep,Dornogovi,2008,352.0
Sheep,Dornogovi,2007,310.91
Sheep,Dornogovi,2006,281.84
Sheep,Dornogovi,2005,372.52
Sheep,Dornogovi,2004,381.89
Sheep,Dornogovi,2003,355.12
Sheep,Dornogovi,2002,340.38
Sheep,Dornogovi,2001,365.6
Sheep,Dornogovi,2000,453.88
Sheep,Dornogovi,1999,477.42
Sheep,Dornogovi,1998,439.62
Sheep,Dornogovi,1997,415.02
Sheep,Dornogovi,1996,411.38
Sheep,Dornogovi,1995,409.12
Sheep,Dornogovi,1994,406.45
Sheep,Dornogovi,1993,430.0
Sheep,Dornogovi,1992,467.78
Sheep,Dornogovi,1991,486.65
Sheep,Dornogovi,1990,538.17
Sheep,Dornogovi,1989,525.89
Sheep,Dornogovi,1988,488.07
Sheep,Dornogovi,1987,487.97
Sheep,Dornogovi,1986,496.04
Sheep,Dornogovi,1985,492.29
Sheep,Dornogovi,1984,486.49
Sheep,Dornogovi,1983,478.16
Sheep,Dornogovi,1982,509.19
Sheep,Dornogovi,1981,480.16
Sheep,Dornogovi,1980,465.48
Sheep,Dornogovi,1979,472.44
Sheep,Dornogovi,1978,463.76
Sheep,Dornogovi,1977,441.53
Sheep,Dornogovi,1976,484.54
Sheep,Dornogovi,1975,484.96
Sheep,Dornogovi,1974,485.93
Sheep,Dornogovi,1973,451.81
Sheep,Dornogovi,1972,439.7
Sheep,Dornogovi,1971,421.47
Sheep,Dornogovi,1970,409.44
Sheep,Dundgovi,2025,1643.92
Sheep,Dundgovi,2024,1611.82
Sheep,Dundgovi,2023,1759.95
Sheep,Dundgovi,2022,1724.22
Sheep,Dundgovi,2021,1533.39
Sheep,Dundgovi,2020,1791.22
Sheep,Dundgovi,2019,1942.7
Sheep,Dundgovi,2018,1831.06
Sheep,Dundgovi,2017,1686.2
Sheep,Dundgovi,2016,1437.14
Sheep,Dundgovi,2015,1266.23
Sheep,Dundgovi,2014,1114.85
