Насжилт,Бүс,Он,value
0-3 жил,    Хөвсгөл,2013,2089
0-3 жил,    Хөвсгөл,2012,2635
0-3 жил,Төвийн бүс,2025,10530
0-3 жил,Төвийн бүс,2024,14477
0-3 жил,Төвийн бүс,2023,17128
0-3 жил,Төвийн бүс,2022,22367
0-3 жил,Төвийн бүс,2021,15782
0-3 жил,Төвийн бүс,2020,9935
0-3 жил,Төвийн бүс,2019,6253
0-3 жил,Төвийн бүс,2018,5805
0-3 жил,Төвийн бүс,2017,3187
0-3 жил,Төвийн бүс,2016,3157
0-3 жил,Төвийн бүс,2015,3898
0-3 жил,Төвийн бүс,2014,5096
0-3 жил,Төвийн бүс,2013,6624
0-3 жил,Төвийн бүс,2012,10102
0-3 жил,    Говьсүмбэр,2025,134
0-3 жил,    Говьсүмбэр,2024,134
0-3 жил,    Говьсүмбэр,2023,98
0-3 жил,    Говьсүмбэр,2022,177
0-3 жил,    Говьсүмбэр,2021,136
0-3 жил,    Говьсүмбэр,2020,180
0-3 жил,    Говьсүмбэр,2019,168
0-3 жил,    Говьсүмбэр,2018,210
0-3 жил,    Говьсүмбэр,2017,134
0-3 жил,    Говьсүмбэр,2016,135
0-3 жил,    Говьсүмбэр,2015,137
0-3 жил,    Говьсүмбэр,2014,110
0-3 жил,    Говьсүмбэр,2013,135
0-3 жил,    Говьсүмбэр,2012,164
0-3 жил,    Дархан-Уул,2025,807
0-3 жил,    Дархан-Уул,2024,563
0-3 жил,    Дархан-Уул,2023,494
0-3 жил,    Дархан-Уул,2022,557
0-3 жил,    Дархан-Уул,2021,411
0-3 жил,    Дархан-Уул,2020,352
0-3 жил,    Дархан-Уул,2019,308
0-3 жил,    Дархан-Уул,2018,326
0-3 жил,    Дархан-Уул,2017,179
0-3 жил,    Дархан-Уул,2016,223
0-3 жил,    Дархан-Уул,2015,229
0-3 жил,    Дархан-Уул,2014,332
0-3 жил,    Дархан-Уул,2013,497
0-3 жил,    Дархан-Уул,2012,508
0-3 жил,    Дорноговь,2025,1125
0-3 жил,    Дорноговь,2024,1216
0-3 жил,    Дорноговь,2023,811
0-3 жил,    Дорноговь,2022,890
0-3 жил,    Дорноговь,2021,574
0-3 жил,    Дорноговь,2020,514
0-3 жил,    Дорноговь,2019,549
0-3 жил,    Дорноговь,2018,611
0-3 жил,    Дорноговь,2017,369
0-3 жил,    Дорноговь,2016,362
0-3 жил,    Дорноговь,2015,417
0-3 жил,    Дорноговь,2014,488
0-3 жил,    Дорноговь,2013,904
0-3 жил,    Дорноговь,2012,1177
0-3 жил,    Дундговь,2025,380
0-3 жил,    Дундговь,2024,300
0-3 жил,    Дундговь,2023,317
0-3 жил,    Дундговь,2022,740
0-3 жил,    Дундговь,2021,699
0-3 жил,    Дундговь,2020,1193
0-3 жил,    Дундговь,2019,1345
0-3 жил,    Дундговь,2018,1406
0-3 жил,    Дундговь,2017,767
0-3 жил,    Дундговь,2016,849
0-3 жил,    Дундговь,2015,848
0-3 жил,    Дундговь,2014,623
0-3 жил,    Дундговь,2013,482
0-3 жил,    Дундговь,2012,918
0-3 жил,    Өмнөговь,2025,6951
0-3 жил,    Өмнөговь,2024,11339
0-3 жил,    Өмнөговь,2023,14496
0-3 жил,    Өмнөговь,2022,18859
0-3 жил,    Өмнөговь,2021,13143
0-3 жил,    Өмнөговь,2020,6577
0-3 жил,    Өмнөговь,2019,2678
0-3 жил,    Өмнөговь,2018,1783
0-3 жил,    Өмнөговь,2017,912
0-3 жил,    Өмнөговь,2016,676
0-3 жил,    Өмнөговь,2015,689
0-3 жил,    Өмнөговь,2014,961
0-3 жил,    Өмнөговь,2013,2627
0-3 жил,    Өмнөговь,2012,4928
0-3 жил,    Сэлэнгэ,2025,658
0-3 жил,    Сэлэнгэ,2024,572
0-3 жил,    Сэлэнгэ,2023,624
0-3 жил,    Сэлэнгэ,2022,658
0-3 жил,    Сэлэнгэ,2021,433
0-3 жил,    Сэлэнгэ,2020,561
0-3 жил,    Сэлэнгэ,2019,530
0-3 жил,    Сэлэнгэ,2018,633
0-3 жил,    Сэлэнгэ,2017,349
