Хүйс_code,Хүйс,Насны бүлэг_code,Насны бүлэг,Он_code,Он,value
0,Total,9,40-44,10,2014,208711
0,Total,9,40-44,11,2013,201152
0,Total,9,40-44,12,2012,197184
0,Total,9,40-44,13,2011,192568
0,Total,9,40-44,14,2010,188396
0,Total,9,40-44,15,2009,181803
0,Total,9,40-44,16,2008,178823
0,Total,9,40-44,17,2007,175188
0,Total,9,40-44,18,2006,175113
0,Total,9,40-44,19,2005,151485
0,Total,9,40-44,20,2004,149743
0,Total,9,40-44,21,2003,148161
0,Total,9,40-44,22,2002,146413
0,Total,9,40-44,23,2001,145158
0,Total,9,40-44,24,2000,139129
0,Total,9,40-44,25,1999,127220
0,Total,9,40-44,26,1998,117620
0,Total,9,40-44,27,1997,107081
0,Total,9,40-44,28,1996,100184
0,Total,9,40-44,29,1995,88980
0,Total,9,40-44,30,1994,86318
0,Total,9,40-44,31,1993,79472
0,Total,9,40-44,32,1992,76653
0,Total,9,40-44,33,1991,73655
0,Total,9,40-44,34,1990,73621
0,Total,9,40-44,35,1989,70390
0,Total,9,40-44,36,1979,64798
0,Total,9,40-44,37,1969,50297
0,Total,9,40-44,38,1963,47642
0,Total,9,40-44,39,1956,47421
0,Total,10,45-49,0,2024,218090
0,Total,10,45-49,1,2023,215653
0,Total,10,45-49,2,2022,211527
0,Total,10,45-49,3,2021,208273
0,Total,10,45-49,4,2020,202734
0,Total,10,45-49,5,2019,198122
0,Total,10,45-49,6,2018,191780
0,Total,10,45-49,7,2017,186765
0,Total,10,45-49,8,2016,181405
0,Total,10,45-49,9,2015,178411
0,Total,10,45-49,10,2014,178475
0,Total,10,45-49,11,2013,176018
0,Total,10,45-49,12,2012,171718
0,Total,10,45-49,13,2011,168908
0,Total,10,45-49,14,2010,164611
0,Total,10,45-49,15,2009,161242
0,Total,10,45-49,16,2008,155847
0,Total,10,45-49,17,2007,151765
0,Total,10,45-49,18,2006,147546
0,Total,10,45-49,19,2005,103804
0,Total,10,45-49,20,2004,102612
0,Total,10,45-49,21,2003,101524
0,Total,10,45-49,22,2002,100330
0,Total,10,45-49,23,2001,99163
0,Total,10,45-49,24,2000,90069
0,Total,10,45-49,25,1999,82888
0,Total,10,45-49,26,1998,75880
0,Total,10,45-49,27,1997,72605
0,Total,10,45-49,28,1996,67791
0,Total,10,45-49,29,1995,67051
0,Total,10,45-49,30,1994,61558
0,Total,10,45-49,31,1993,62011
0,Total,10,45-49,32,1992,60247
0,Total,10,45-49,33,1991,64063
0,Total,10,45-49,34,1990,64904
0,Total,10,45-49,35,1989,68296
0,Total,10,45-49,36,1979,58652
0,Total,10,45-49,37,1969,50791
0,Total,10,45-49,38,1963,51947
0,Total,10,45-49,39,1956,51591
0,Total,11,50-54,0,2024,190515
0,Total,11,50-54,1,2023,184239
0,Total,11,50-54,2,2022,179206
0,Total,11,50-54,3,2021,174130
0,Total,11,50-54,4,2020,171428
0,Total,11,50-54,5,2019,165647
0,Total,11,50-54,6,2018,164214
0,Total,11,50-54,7,2017,161016
0,Total,11,50-54,8,2016,159075
0,Total,11,50-54,9,2015,152601
0,Total,11,50-54,10,2014,154443
0,Total,11,50-54,11,2013,144970
0,Total,11,50-54,12,2012,137432
0,Total,11,50-54,13,2011,128834
0,Total,11,50-54,14,2010,126740
0,Total,11,50-54,15,2009,116687
0,Total,11,50-54,16,2008,111691
0,Total,11,50-54,17,2007,103642
0,Total,11,50-54,18,2006,102683
0,Total,11,50-54,19,2005,70793
0,Total,11,50-54,20,2004,69978
0,Total,11,50-54,21,2003,69239
0,Total,11,50-54,22,2002,68424
0,Total,11,50-54,23,2001,68214
0,Total,11,50-54,24,2000,66853
0,Total,11,50-54,25,1999,57835
0,Total,11,50-54,26,1998,57961
0,Total,11,50-54,27,1997,55813
0,Total,11,50-54,28,1996,57766
0,Total,11,50-54,29,1995,57870
0,Total,11,50-54,30,1994,62068
0,Total,11,50-54,31,1993,60652
0,Total,11,50-54,32,1992,61490
0,Total,11,50-54,33,1991,59787
0,Total,11,50-54,34,1990,59474
0,Total,11,50-54,35,1989,55430
0,Total,11,50-54,36,1979,45547
0,Total,11,50-54,37,1969,43264
0,Total,11,50-54,38,1963,43623
0,Total,11,50-54,39,1956,41768
0,Total,12,55-59,0,2024,156855
0,Total,12,55-59,1,2023,155235
0,Total,12,55-59,2,2022,152087
0,Total,12,55-59,3,2021,150076
0,Total,12,55-59,4,2020,144036
0,Total,12,55-59,5,2019,142399
0,Total,12,55-59,6,2018,135542
0,Total,12,55-59,7,2017,128739
0,Total,12,55-59,8,2016,119888
0,Total,12,55-59,9,2015,115125
0,Total,12,55-59,10,2014,108144
0,Total,12,55-59,11,2013,96870
0,Total,12,55-59,12,2012,89643
0,Total,12,55-59,13,2011,82449
