Бүс,Насны бүлэг,Хүйс,Он,value
Улсын дүн,50-54,Нийт,2016,72.5
Улсын дүн,50-54,Нийт,2015,72.0
Улсын дүн,50-54,Нийт,2014,71.3
Улсын дүн,50-54,Нийт,2013,72.1
Улсын дүн,50-54,Нийт,2012,71.4
Улсын дүн,50-54,Нийт,2011,71.7
Улсын дүн,50-54,Нийт,2010,72.4
Улсын дүн,50-54,Нийт,2009,71.1
Улсын дүн,50-54,Эрэгтэй,2025,82.6
Улсын дүн,50-54,Эрэгтэй,2024,83.5
Улсын дүн,50-54,Эрэгтэй,2023,77.6
Улсын дүн,50-54,Эрэгтэй,2022,79.0
Улсын дүн,50-54,Эрэгтэй,2021,76.3
Улсын дүн,50-54,Эрэгтэй,2020,74.7
Улсын дүн,50-54,Эрэгтэй,2019,78.9
Улсын дүн,50-54,Эрэгтэй,2018,79.5
Улсын дүн,50-54,Эрэгтэй,2017,80.2
Улсын дүн,50-54,Эрэгтэй,2016,79.3
Улсын дүн,50-54,Эрэгтэй,2015,79.3
Улсын дүн,50-54,Эрэгтэй,2014,77.4
Улсын дүн,50-54,Эрэгтэй,2013,77.5
Улсын дүн,50-54,Эрэгтэй,2012,77.3
Улсын дүн,50-54,Эрэгтэй,2011,79.1
Улсын дүн,50-54,Эрэгтэй,2010,79.0
Улсын дүн,50-54,Эрэгтэй,2009,77.4
Улсын дүн,50-54,Эмэгтэй,2025,76.2
Улсын дүн,50-54,Эмэгтэй,2024,75.4
Улсын дүн,50-54,Эмэгтэй,2023,71.6
Улсын дүн,50-54,Эмэгтэй,2022,73.7
Улсын дүн,50-54,Эмэгтэй,2021,70.5
Улсын дүн,50-54,Эмэгтэй,2020,73.0
Улсын дүн,50-54,Эмэгтэй,2019,70.2
Улсын дүн,50-54,Эмэгтэй,2018,67.4
Улсын дүн,50-54,Эмэгтэй,2017,67.5
Улсын дүн,50-54,Эмэгтэй,2016,66.4
Улсын дүн,50-54,Эмэгтэй,2015,65.5
Улсын дүн,50-54,Эмэгтэй,2014,65.7
Улсын дүн,50-54,Эмэгтэй,2013,67.7
Улсын дүн,50-54,Эмэгтэй,2012,66.5
Улсын дүн,50-54,Эмэгтэй,2011,64.6
Улсын дүн,50-54,Эмэгтэй,2010,66.1
Улсын дүн,50-54,Эмэгтэй,2009,65.1
Улсын дүн,55-59,Нийт,2025,58.5
Улсын дүн,55-59,Нийт,2024,53.8
Улсын дүн,55-59,Нийт,2023,53.3
Улсын дүн,55-59,Нийт,2022,47.5
Улсын дүн,55-59,Нийт,2021,46.4
Улсын дүн,55-59,Нийт,2020,48.1
Улсын дүн,55-59,Нийт,2019,50.3
Улсын дүн,55-59,Нийт,2018,48.5
Улсын дүн,55-59,Нийт,2017,48.5
Улсын дүн,55-59,Нийт,2016,46.0
Улсын дүн,55-59,Нийт,2015,45.8
Улсын дүн,55-59,Нийт,2014,44.5
Улсын дүн,55-59,Нийт,2013,48.5
Улсын дүн,55-59,Нийт,2012,49.2
Улсын дүн,55-59,Нийт,2011,51.6
Улсын дүн,55-59,Нийт,2010,51.8
Улсын дүн,55-59,Нийт,2009,47.2
Улсын дүн,55-59,Эрэгтэй,2025,69.8
Улсын дүн,55-59,Эрэгтэй,2024,70.5
Улсын дүн,55-59,Эрэгтэй,2023,67.4
