Үзүүлэлт,Эдийн засгийн салбар,Он,value
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022,236639.1
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021,219754.61
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020,218690.4
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019,182718.05
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2018,164870.02
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2017,144202.49
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2016,141550.32
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2015,114121.61
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2014,86481.1
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2013,77534.0
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2012,72529.68
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2011,44994.36
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2010,31210.6
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2009,26356.85
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2008,26014.97
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2007,16294.69
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2006,14058.4
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2005,13768.92
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2004,11968.06
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2003,9817.51
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2002,9474.09
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2001,6478.23
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2000,4511.61
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1999,5622.57
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1998,5496.35
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1997,4346.93
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1996,2505.21
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1995,2170.72
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1994,1228.93
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1993,707.98
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1992,201.65
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1991,75.23
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1990,49.56
"ДНБ, оны үнээр",Барилга,2024,2696383.17
"ДНБ, оны үнээр",Барилга,2023,2269770.11
"ДНБ, оны үнээр",Барилга,2022,1783826.56
"ДНБ, оны үнээр",Барилга,2021,1368827.87
"ДНБ, оны үнээр",Барилга,2020,1367522.8
"ДНБ, оны үнээр",Барилга,2019,1328925.99
"ДНБ, оны үнээр",Барилга,2018,985716.25
"ДНБ, оны үнээр",Барилга,2017,905587.14
"ДНБ, оны үнээр",Барилга,2016,902883.62
"ДНБ, оны үнээр",Барилга,2015,918316.62
"ДНБ, оны үнээр",Барилга,2014,988960.7
"ДНБ, оны үнээр",Барилга,2013,979689.0
"ДНБ, оны үнээр",Барилга,2012,837487.47
"ДНБ, оны үнээр",Барилга,2011,402828.29
"ДНБ, оны үнээр",Барилга,2010,250230.7
"ДНБ, оны үнээр",Барилга,2009,86238.66
"ДНБ, оны үнээр",Барилга,2008,122051.03
"ДНБ, оны үнээр",Барилга,2007,106421.12
"ДНБ, оны үнээр",Барилга,2006,86792.3
"ДНБ, оны үнээр",Барилга,2005,81408.37
"ДНБ, оны үнээр",Барилга,2004,69429.03
"ДНБ, оны үнээр",Барилга,2003,69683.82
"ДНБ, оны үнээр",Барилга,2002,42858.82
"ДНБ, оны үнээр",Барилга,2001,30738.57
"ДНБ, оны үнээр",Барилга,2000,27254.93
"ДНБ, оны үнээр",Барилга,1999,32159.55
"ДНБ, оны үнээр",Барилга,1998,28095.75
"ДНБ, оны үнээр",Барилга,1997,25687.1
"ДНБ, оны үнээр",Барилга,1996,24992.57
"ДНБ, оны үнээр",Барилга,1995,13088.55
"ДНБ, оны үнээр",Барилга,1994,8386.69
"ДНБ, оны үнээр",Барилга,1993,3821.77
"ДНБ, оны үнээр",Барилга,1992,1285.15
"ДНБ, оны үнээр",Барилга,1991,1072.22
"ДНБ, оны үнээр",Барилга,1990,735.57
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2024,8793230.75
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2023,7316253.17
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2022,5677897.87
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2021,4069619.4
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2020,3436809.1
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2019,3644111.22
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2018,3090221.77
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2017,2867791.27
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2016,2621290.71
"ДНБ, оны үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2015,2664772.42
