Үзүүлэлт,Бүс,Он,value
Гэрлэлт,Дэлгэр,2008,32
Гэрлэлт,Дэлгэр,2007,17
Гэрлэлт,Дэлгэр,2006,30
Гэрлэлт,Жаргалан,2025,2
Гэрлэлт,Жаргалан,2024,3
Гэрлэлт,Жаргалан,2023,4
Гэрлэлт,Жаргалан,2022,3
Гэрлэлт,Жаргалан,2021,9
Гэрлэлт,Жаргалан,2020,1
Гэрлэлт,Жаргалан,2019,8
Гэрлэлт,Жаргалан,2018,9
Гэрлэлт,Жаргалан,2017,18
Гэрлэлт,Жаргалан,2016,11
Гэрлэлт,Жаргалан,2015,2
Гэрлэлт,Жаргалан,2014,2
Гэрлэлт,Жаргалан,2013,3
Гэрлэлт,Жаргалан,2011,4
Гэрлэлт,Жаргалан,2010,4
Гэрлэлт,Жаргалан,2009,25
Гэрлэлт,Жаргалан,2008,23
Гэрлэлт,Жаргалан,2007,27
Гэрлэлт,Жаргалан,2006,25
Гэрлэлт,Тайшир,2025,0
Гэрлэлт,Тайшир,2024,0
Гэрлэлт,Тайшир,2023,6
Гэрлэлт,Тайшир,2022,2
Гэрлэлт,Тайшир,2021,0
Гэрлэлт,Тайшир,2020,5
Гэрлэлт,Тайшир,2019,13
Гэрлэлт,Тайшир,2018,6
Гэрлэлт,Тайшир,2017,3
Гэрлэлт,Тайшир,2016,11
Гэрлэлт,Тайшир,2015,1
Гэрлэлт,Тайшир,2014,4
Гэрлэлт,Тайшир,2013,7
Гэрлэлт,Тайшир,2011,2
Гэрлэлт,Тайшир,2010,10
Гэрлэлт,Тайшир,2009,24
Гэрлэлт,Тайшир,2008,13
Гэрлэлт,Тайшир,2007,20
Гэрлэлт,Тайшир,2006,22
Гэрлэлт,Тонхил,2025,4
Гэрлэлт,Тонхил,2024,3
Гэрлэлт,Тонхил,2023,10
Гэрлэлт,Тонхил,2022,9
Гэрлэлт,Тонхил,2021,18
Гэрлэлт,Тонхил,2020,8
Гэрлэлт,Тонхил,2019,14
Гэрлэлт,Тонхил,2018,14
Гэрлэлт,Тонхил,2017,18
Гэрлэлт,Тонхил,2016,11
Гэрлэлт,Тонхил,2015,12
Гэрлэлт,Тонхил,2014,15
Гэрлэлт,Тонхил,2013,12
Гэрлэлт,Тонхил,2011,5
Гэрлэлт,Тонхил,2010,10
Гэрлэлт,Тонхил,2009,34
Гэрлэлт,Тонхил,2008,45
Гэрлэлт,Тонхил,2007,56
Гэрлэлт,Тонхил,2006,22
Гэрлэлт,Төгрөг,2025,4
Гэрлэлт,Төгрөг,2024,6
Гэрлэлт,Төгрөг,2023,7
Гэрлэлт,Төгрөг,2022,3
Гэрлэлт,Төгрөг,2021,16
Гэрлэлт,Төгрөг,2020,15
Гэрлэлт,Төгрөг,2019,15
Гэрлэлт,Төгрөг,2018,10
Гэрлэлт,Төгрөг,2017,15
Гэрлэлт,Төгрөг,2016,8
Гэрлэлт,Төгрөг,2015,13
Гэрлэлт,Төгрөг,2014,9
Гэрлэлт,Төгрөг,2013,13
Гэрлэлт,Төгрөг,2011,5
Гэрлэлт,Төгрөг,2010,6
Гэрлэлт,Төгрөг,2009,24
Гэрлэлт,Төгрөг,2008,24
Гэрлэлт,Төгрөг,2007,21
Гэрлэлт,Төгрөг,2006,26
Гэрлэлт,Халиун,2025,1
Гэрлэлт,Халиун,2024,3
Гэрлэлт,Халиун,2023,19
Гэрлэлт,Халиун,2022,10
Гэрлэлт,Халиун,2021,13
Гэрлэлт,Халиун,2020,33
Гэрлэлт,Халиун,2019,16
Гэрлэлт,Халиун,2018,11
Гэрлэлт,Халиун,2017,11
Гэрлэлт,Халиун,2016,12
Гэрлэлт,Халиун,2015,13
Гэрлэлт,Халиун,2014,14
Гэрлэлт,Халиун,2013,7
Гэрлэлт,Халиун,2011,7
Гэрлэлт,Халиун,2010,5
Гэрлэлт,Халиун,2009,26
Гэрлэлт,Халиун,2008,25
Гэрлэлт,Халиун,2007,41
Гэрлэлт,Халиун,2006,45
Гэрлэлт,Хөхморьт,2025,3
Гэрлэлт,Хөхморьт,2024,11
Гэрлэлт,Хөхморьт,2023,18
Гэрлэлт,Хөхморьт,2022,10
Гэрлэлт,Хөхморьт,2021,9
Гэрлэлт,Хөхморьт,2020,7
Гэрлэлт,Хөхморьт,2019,12
Гэрлэлт,Хөхморьт,2018,3
Гэрлэлт,Хөхморьт,2017,11
Гэрлэлт,Хөхморьт,2016,19
Гэрлэлт,Хөхморьт,2015,17
Гэрлэлт,Хөхморьт,2014,10
Гэрлэлт,Хөхморьт,2013,8
Гэрлэлт,Хөхморьт,2011,4
Гэрлэлт,Хөхморьт,2010,18
Гэрлэлт,Хөхморьт,2009,19
Гэрлэлт,Хөхморьт,2008,24
Гэрлэлт,Хөхморьт,2007,36
Гэрлэлт,Хөхморьт,2006,45
Гэрлэлт,Цогт,2025,8
Гэрлэлт,Цогт,2024,9
Гэрлэлт,Цогт,2023,22
Гэрлэлт,Цогт,2022,9
Гэрлэлт,Цогт,2021,20
Гэрлэлт,Цогт,2020,20
Гэрлэлт,Цогт,2019,25
Гэрлэлт,Цогт,2018,15
Гэрлэлт,Цогт,2017,19
Гэрлэлт,Цогт,2016,16
Гэрлэлт,Цогт,2015,20
Гэрлэлт,Цогт,2014,22
Гэрлэлт,Цогт,2013,29
Гэрлэлт,Цогт,2011,15
Гэрлэлт,Цогт,2010,8
Гэрлэлт,Цогт,2009,28
Гэрлэлт,Цогт,2008,35
Гэрлэлт,Цогт,2007,81
Гэрлэлт,Цогт,2006,109
Гэрлэлт,Цээл,2025,3
Гэрлэлт,Цээл,2024,7
Гэрлэлт,Цээл,2023,11
Гэрлэлт,Цээл,2022,2
Гэрлэлт,Цээл,2021,10
Гэрлэлт,Цээл,2020,0
Гэрлэлт,Цээл,2019,3
Гэрлэлт,Цээл,2018,15
Гэрлэлт,Цээл,2017,7
Гэрлэлт,Цээл,2016,8
Гэрлэлт,Цээл,2015,9
Гэрлэлт,Цээл,2014,8
Гэрлэлт,Цээл,2013,10
Гэрлэлт,Цээл,2011,9
Гэрлэлт,Цээл,2010,15
Гэрлэлт,Цээл,2009,13
Гэрлэлт,Цээл,2008,26
Гэрлэлт,Цээл,2007,31
Гэрлэлт,Цээл,2006,35
Гэрлэлт,Чандмань,2025,4
Гэрлэлт,Чандмань,2024,12
Гэрлэлт,Чандмань,2023,10
Гэрлэлт,Чандмань,2022,4
Гэрлэлт,Чандмань,2021,20
Гэрлэлт,Чандмань,2020,15
Гэрлэлт,Чандмань,2019,17
Гэрлэлт,Чандмань,2018,16
