сар,бохирдуулагч,утга_мг_м3
2025-01,Тоосонцор РМ2.5,0.0972
2025-02,Тоосонцор РМ10,0.1154
2025-02,Тоосонцор РМ2.5,0.0673
2025-03,Тоосонцор РМ10,0.0815
2025-03,Тоосонцор РМ2.5,0.0293
2025-04,Тоосонцор РМ10,0.0978
2025-04,Тоосонцор РМ2.5,0.0201
2025-05,Тоосонцор РМ10,0.0718
2025-05,Тоосонцор РМ2.5,0.0139
2025-06,Тоосонцор РМ10,0.0658
2025-06,Тоосонцор РМ2.5,0.0157
2025-07,Тоосонцор РМ10,0.0482
2025-07,Тоосонцор РМ2.5,0.0105
2025-08,Тоосонцор РМ10,0.0482
2025-08,Тоосонцор РМ2.5,0.0095
2025-09,Тоосонцор РМ10,0.0851
2025-09,Тоосонцор РМ2.5,0.0138
2025-10,Тоосонцор РМ10,0.0932
2025-10,Тоосонцор РМ2.5,0.0263
2025-11,Тоосонцор РМ10,0.1021
2025-11,Тоосонцор РМ2.5,0.0486
2025-12,Тоосонцор РМ10,0.0998
2025-12,Тоосонцор РМ2.5,0.0735
2026-01,Тоосонцор РМ10,0.087
2026-01,Тоосонцор РМ2.5,0.0677
2026-02,Тоосонцор РМ10,0.0811
2026-02,Тоосонцор РМ2.5,0.0469
