region,month,births
Ulaanbaatar,2019-02,3066
Umnugovi,2019-02,116
Uvs,2019-02,134
Uvurkhangai,2019-02,180
Zavkhan,2019-02,97
Arkhangai,2019-03,139
Bayan-Ulgii,2019-03,265
Bayankhongor,2019-03,177
Bulgan,2019-03,61
Darkhan-Uul,2019-03,206
Dornod,2019-03,179
Dornogovi,2019-03,97
Dundgovi,2019-03,65
Govi-Altai,2019-03,105
Govisumber,2019-03,42
Khentii,2019-03,127
Khovd,2019-03,193
Khuvsgul,2019-03,267
Orkhon,2019-03,234
Selenge,2019-03,160
Sukhbaatar,2019-03,89
Tuv,2019-03,70
Ulaanbaatar,2019-03,3452
Umnugovi,2019-03,131
Uvs,2019-03,157
Uvurkhangai,2019-03,192
Zavkhan,2019-03,119
Arkhangai,2019-04,151
Bayan-Ulgii,2019-04,246
Bayankhongor,2019-04,166
Bulgan,2019-04,70
Darkhan-Uul,2019-04,207
Dornod,2019-04,154
Dornogovi,2019-04,109
Dundgovi,2019-04,73
Govi-Altai,2019-04,125
Govisumber,2019-04,19
Khentii,2019-04,144
Khovd,2019-04,200
Khuvsgul,2019-04,251
Orkhon,2019-04,238
Selenge,2019-04,172
Sukhbaatar,2019-04,131
Tuv,2019-04,94
Ulaanbaatar,2019-04,3500
Umnugovi,2019-04,149
Uvs,2019-04,190
Uvurkhangai,2019-04,216
Zavkhan,2019-04,118
Arkhangai,2019-05,144
Bayan-Ulgii,2019-05,263
Bayankhongor,2019-05,205
Bulgan,2019-05,57
Darkhan-Uul,2019-05,200
Dornod,2019-05,168
Dornogovi,2019-05,99
Dundgovi,2019-05,84
Govi-Altai,2019-05,117
Govisumber,2019-05,40
Khentii,2019-05,139
Khovd,2019-05,200
Khuvsgul,2019-05,223
Orkhon,2019-05,232
Selenge,2019-05,147
Sukhbaatar,2019-05,118
Tuv,2019-05,106
Ulaanbaatar,2019-05,3737
Umnugovi,2019-05,134
Uvs,2019-05,160
Uvurkhangai,2019-05,197
Zavkhan,2019-05,129
Arkhangai,2019-06,119
Bayan-Ulgii,2019-06,245
Bayankhongor,2019-06,202
Bulgan,2019-06,54
Darkhan-Uul,2019-06,200
Dornod,2019-06,153
Dornogovi,2019-06,103
Dundgovi,2019-06,69
Govi-Altai,2019-06,102
Govisumber,2019-06,42
Khentii,2019-06,133
Khovd,2019-06,172
Khuvsgul,2019-06,279
Orkhon,2019-06,181
Selenge,2019-06,134
Sukhbaatar,2019-06,119
Tuv,2019-06,78
Ulaanbaatar,2019-06,3375
Umnugovi,2019-06,139
Uvs,2019-06,162
Uvurkhangai,2019-06,224
Zavkhan,2019-06,102
Arkhangai,2019-07,150
Bayan-Ulgii,2019-07,292
Bayankhongor,2019-07,189
Bulgan,2019-07,85
Darkhan-Uul,2019-07,212
Dornod,2019-07,180
Dornogovi,2019-07,125
Dundgovi,2019-07,83
Govi-Altai,2019-07,129
Govisumber,2019-07,45
Khentii,2019-07,133
Khovd,2019-07,200
Khuvsgul,2019-07,257
Orkhon,2019-07,226
Selenge,2019-07,137
Sukhbaatar,2019-07,136
Tuv,2019-07,107
Ulaanbaatar,2019-07,3586
Umnugovi,2019-07,133
Uvs,2019-07,160
Uvurkhangai,2019-07,246
Zavkhan,2019-07,136
Arkhangai,2019-08,163
Bayan-Ulgii,2019-08,275
Bayankhongor,2019-08,169
Bulgan,2019-08,66
Darkhan-Uul,2019-08,215
Dornod,2019-08,158
Dornogovi,2019-08,100
Dundgovi,2019-08,79
Govi-Altai,2019-08,127
Govisumber,2019-08,43
Khentii,2019-08,109
Khovd,2019-08,183
Khuvsgul,2019-08,226
Orkhon,2019-08,223
Selenge,2019-08,148
Sukhbaatar,2019-08,106
Tuv,2019-08,101
Ulaanbaatar,2019-08,3441
Umnugovi,2019-08,137
Uvs,2019-08,161
Uvurkhangai,2019-08,266
Zavkhan,2019-08,124
Arkhangai,2019-09,135
Bayan-Ulgii,2019-09,211
Bayankhongor,2019-09,153
Bulgan,2019-09,64
Darkhan-Uul,2019-09,202
Dornod,2019-09,166
Dornogovi,2019-09,125
Dundgovi,2019-09,92
Govi-Altai,2019-09,119
Govisumber,2019-09,41
Khentii,2019-09,135
Khovd,2019-09,199
Khuvsgul,2019-09,222
Orkhon,2019-09,234
Selenge,2019-09,153
Sukhbaatar,2019-09,104
Tuv,2019-09,85
Ulaanbaatar,2019-09,3490
Umnugovi,2019-09,154
Uvs,2019-09,186
