сар,аймаг_үзүүлэлт,утга
2021-03,Дорноговь — Нийт зөвшөөрөгдсөн талбай (мян.га),1042.2
2021-03,Дорноговь — Нийт зөвшөөрөл (тоо),328.0
2021-03,Дорноговь — Хайгуулын зөвшөөрөл (тоо),131.0
2021-03,Дорноговь — Хайгуулын талбай (мян.га),790.9
2021-03,Дорнод — Ашиглалтын зөвшөөрөл (тоо),73.0
2021-03,Дорнод — Ашиглалтын талбай (мян.га),63.7
2021-03,Дорнод — Нийт зөвшөөрөгдсөн талбай (мян.га),528.5
2021-03,Дорнод — Нийт зөвшөөрөл (тоо),149.0
2021-03,Дорнод — Хайгуулын зөвшөөрөл (тоо),76.0
2021-03,Дорнод — Хайгуулын талбай (мян.га),464.8
2021-03,Дундговь — Ашиглалтын зөвшөөрөл (тоо),112.0
2021-03,Дундговь — Ашиглалтын талбай (мян.га),175.5
2021-03,Дундговь — Нийт зөвшөөрөгдсөн талбай (мян.га),598.7
2021-03,Дундговь — Нийт зөвшөөрөл (тоо),194.0
2021-03,Дундговь — Хайгуулын зөвшөөрөл (тоо),82.0
2021-03,Дундговь — Хайгуулын талбай (мян.га),423.3
2021-03,Завхан — Ашиглалтын зөвшөөрөл (тоо),10.0
2021-03,Завхан — Ашиглалтын талбай (мян.га),17.0
2021-03,Завхан — Нийт зөвшөөрөгдсөн талбай (мян.га),221.6
2021-03,Завхан — Нийт зөвшөөрөл (тоо),47.0
2021-03,Завхан — Хайгуулын зөвшөөрөл (тоо),37.0
2021-03,Завхан — Хайгуулын талбай (мян.га),204.6
2021-03,Орхон — Ашиглалтын зөвшөөрөл (тоо),8.0
2021-03,Орхон — Ашиглалтын талбай (мян.га),11.0
2021-03,Орхон — Нийт зөвшөөрөгдсөн талбай (мян.га),11.0
2021-03,Орхон — Нийт зөвшөөрөл (тоо),8.0
2021-03,Орхон — Хайгуулын зөвшөөрөл (тоо),0.0
2021-03,Орхон — Хайгуулын талбай (мян.га),0.0
