бүс,сар,нас_баралт
Улаанбаатар,2018-09,723
Ховд,2018-09,32
Хэнтий,2018-09,24
Хөвсгөл,2018-09,55
Өвөрхангай,2018-09,58
Өмнөговь,2018-09,27
Архангай,2018-10,43
Баян-Өлгий,2018-10,41
Баянхонгор,2018-10,37
Булган,2018-10,33
Говь-Алтай,2018-10,21
Говьсүмбэр,2018-10,9
Дархан-Уул,2018-10,45
Дорноговь,2018-10,32
Дорнод,2018-10,32
Дундговь,2018-10,18
Завхан,2018-10,28
Орхон,2018-10,50
Сэлэнгэ,2018-10,51
Сүхбаатар,2018-10,28
Төв,2018-10,32
Увс,2018-10,42
Улаанбаатар,2018-10,705
Ховд,2018-10,41
Хэнтий,2018-10,35
Хөвсгөл,2018-10,66
Өвөрхангай,2018-10,47
Өмнөговь,2018-10,25
Архангай,2018-11,40
Баян-Өлгий,2018-11,40
Баянхонгор,2018-11,41
Булган,2018-11,19
Говь-Алтай,2018-11,35
Говьсүмбэр,2018-11,4
Дархан-Уул,2018-11,41
Дорноговь,2018-11,37
Дорнод,2018-11,37
Дундговь,2018-11,18
Завхан,2018-11,37
Орхон,2018-11,52
Сэлэнгэ,2018-11,49
Сүхбаатар,2018-11,24
Төв,2018-11,27
Увс,2018-11,22
Улаанбаатар,2018-11,661
Ховд,2018-11,20
Хэнтий,2018-11,19
Хөвсгөл,2018-11,67
Өвөрхангай,2018-11,49
Өмнөговь,2018-11,22
Архангай,2018-12,36
Баян-Өлгий,2018-12,48
Баянхонгор,2018-12,41
Булган,2018-12,32
Говь-Алтай,2018-12,34
Говьсүмбэр,2018-12,6
Дархан-Уул,2018-12,46
Дорноговь,2018-12,35
Дорнод,2018-12,36
Дундговь,2018-12,18
Завхан,2018-12,32
Орхон,2018-12,41
Сэлэнгэ,2018-12,49
Сүхбаатар,2018-12,31
Төв,2018-12,42
Увс,2018-12,42
Улаанбаатар,2018-12,810
Ховд,2018-12,38
Хэнтий,2018-12,32
Хөвсгөл,2018-12,68
Өвөрхангай,2018-12,58
Өмнөговь,2018-12,34
Архангай,2019-01,42
Баян-Өлгий,2019-01,55
Баянхонгор,2019-01,42
Булган,2019-01,30
Говь-Алтай,2019-01,29
Говьсүмбэр,2019-01,3
Дархан-Уул,2019-01,48
Дорноговь,2019-01,41
Дорнод,2019-01,32
Дундговь,2019-01,20
Завхан,2019-01,32
Орхон,2019-01,54
Сэлэнгэ,2019-01,41
Сүхбаатар,2019-01,30
Төв,2019-01,39
Увс,2019-01,41
Улаанбаатар,2019-01,779
Ховд,2019-01,28
Хэнтий,2019-01,37
Хөвсгөл,2019-01,64
Өвөрхангай,2019-01,54
Өмнөговь,2019-01,32
Архангай,2019-02,52
Баян-Өлгий,2019-02,43
Баянхонгор,2019-02,32
Булган,2019-02,28
Говь-Алтай,2019-02,25
Говьсүмбэр,2019-02,3
Дархан-Уул,2019-02,46
Дорноговь,2019-02,29
Дорнод,2019-02,33
Дундговь,2019-02,16
Завхан,2019-02,23
Орхон,2019-02,43
Сэлэнгэ,2019-02,44
Сүхбаатар,2019-02,36
Төв,2019-02,42
Увс,2019-02,47
Улаанбаатар,2019-02,591
Ховд,2019-02,34
Хэнтий,2019-02,35
Хөвсгөл,2019-02,84
Өвөрхангай,2019-02,56
Өмнөговь,2019-02,16
Архангай,2019-03,44
Баян-Өлгий,2019-03,56
Баянхонгор,2019-03,43
Булган,2019-03,27
Говь-Алтай,2019-03,27
Говьсүмбэр,2019-03,8
Дархан-Уул,2019-03,56
Дорноговь,2019-03,33
Дорнод,2019-03,40
Дундговь,2019-03,24
Завхан,2019-03,34
Орхон,2019-03,46
Сэлэнгэ,2019-03,33
Сүхбаатар,2019-03,21
Төв,2019-03,46
Увс,2019-03,39
Улаанбаатар,2019-03,641
Ховд,2019-03,28
Хэнтий,2019-03,21
Хөвсгөл,2019-03,53
Өвөрхангай,2019-03,31
Өмнөговь,2019-03,22
Архангай,2019-04,43
Баян-Өлгий,2019-04,55
Баянхонгор,2019-04,30
Булган,2019-04,27
Говь-Алтай,2019-04,28
Говьсүмбэр,2019-04,3
Дархан-Уул,2019-04,40
Дорноговь,2019-04,34
Дорнод,2019-04,35
Дундговь,2019-04,25
Завхан,2019-04,37
Орхон,2019-04,41
Сэлэнгэ,2019-04,45
Сүхбаатар,2019-04,33
Төв,2019-04,36
Увс,2019-04,40
Улаанбаатар,2019-04,697
Ховд,2019-04,30
Хэнтий,2019-04,27
Хөвсгөл,2019-04,54
Өвөрхангай,2019-04,44
Өмнөговь,2019-04,27
Архангай,2019-05,40
Баян-Өлгий,2019-05,51
Баянхонгор,2019-05,60
Булган,2019-05,17
Говь-Алтай,2019-05,32
Говьсүмбэр,2019-05,7
Дархан-Уул,2019-05,36
Дорноговь,2019-05,30
Дорнод,2019-05,35
Дундговь,2019-05,18
Завхан,2019-05,42
Орхон,2019-05,32
Сэлэнгэ,2019-05,32
Сүхбаатар,2019-05,45
Төв,2019-05,37
Увс,2019-05,38
Улаанбаатар,2019-05,709
Ховд,2019-05,27
Хэнтий,2019-05,35
Хөвсгөл,2019-05,82
Өвөрхангай,2019-05,63
Өмнөговь,2019-05,40
Архангай,2019-06,47
Баян-Өлгий,2019-06,41
Баянхонгор,2019-06,35
Булган,2019-06,21
Говь-Алтай,2019-06,19
Говьсүмбэр,2019-06,2
Дархан-Уул,2019-06,42
Дорноговь,2019-06,21
Дорнод,2019-06,30
Дундговь,2019-06,18
Завхан,2019-06,28
Орхон,2019-06,39
Сэлэнгэ,2019-06,41
Сүхбаатар,2019-06,24
Төв,2019-06,41
Увс,2019-06,33
