улс,он,экспорт_сая_ам_дол
Камбож,2013,0.0
Канад,2013,135514.3
Катар,2013,19.1
Кени,2013,0.0
Кипр,2013,0.0
Киргиз,2013,282.4
Колумби,2013,34.4
Кот д Ивуар,2013,0.0
Куба,2013,0.0
Кувейт,2013,0.0
Лаос,2013,0.0
Латви,2013,56.3
Ливан,2013,337.1
Литва,2013,0.0
Лихтенштейн Вант улс,2013,6.4
Люксембург,2013,0.0
Малайз,2013,770.4
Мальта,2013,0.0
Марокко,2013,0.0
Мексик,2013,1692.0
Молдав,2013,0.0
Монако,2013,0.0
Мьянмар,2013,0.0
Нигери,2013,0.0
Нидерланд,2013,718.1
Норвеги,2013,505.0
ОХУ,2013,61772.7
Пакистан,2013,0.0
Панам,2013,0.0
Папуа Шинэ Гвиней,2013,0.0
Перу,2013,0.0
Польш,2013,67.1
Португаль,2013,0.0
Пуэрто-Рико,2013,0.0
Румын,2013,1.7
Саудын Араб,2013,0.0
Свазиленд,2013,0.0
Серби,2013,0.0
Сингапур,2013,8161.6
Сири,2013,0.0
Словак,2013,0.0
Словени,2013,0.0
Соломоновын арал,2013,0.0
Судан,2013,0.0
Суринам,2013,0.0
Тажикстан,2013,0.1
Тайвань,2013,766.0
Тайланд,2013,89.8
Танзани,2013,0.0
Турк,2013,437.3
Туркменистан,2013,46.2
Уганда,2013,0.0
Узбикистан,2013,489.3
Украйн,2013,5198.0
Унгар,2013,0.0
Уругвай,2013,0.0
Фижи,2013,0.0
Филиппин,2013,2493.2
Финлянд,2013,1.7
Франц,2013,8528.7
ХБНГУ,2013,18415.5
Хорват,2013,0.0
Чад,2013,0.0
Чехийн БНУ,2013,140.5
Чили,2013,0.0
Швед,2013,3881.0
Швейцарь,2013,3073.9
Шинэ Зеланд,2013,12.9
Шри Ланк,2013,0.0
