product,date,price
"Дизелийн түлш, л",2023-05-01,3490.0
"Аи-80 автобензин, л",2023-04-24,2345.0
"Аи-92 автобензин, л",2023-04-24,2390.0
"Дизелийн түлш, л",2023-04-24,3700.0
"Дизелийн түлш, л",2023-04-17,3700.0
"Аи-92 автобензин, л",2023-04-17,2390.0
"Аи-80 автобензин, л",2023-04-17,2345.0
"Аи-92 автобензин, л",2023-04-10,2390.0
"Аи-80 автобензин, л",2023-04-10,2345.0
"Дизелийн түлш, л",2023-04-10,3700.0
"Дизелийн түлш, л",2023-04-03,3700.0
"Аи-80 автобензин, л",2023-04-03,2345.0
"Аи-92 автобензин, л",2023-04-03,2390.0
"Аи-92 автобензин, л",2023-03-27,2390.0
"Аи-80 автобензин, л",2023-03-27,2347.0
"Дизелийн түлш, л",2023-03-27,3850.0
"Аи-80 автобензин, л",2023-03-20,2347.0
"Дизелийн түлш, л",2023-03-20,3850.0
"Аи-92 автобензин, л",2023-03-20,2390.0
"Аи-80 автобензин, л",2023-03-13,2347.0
"Аи-92 автобензин, л",2023-03-13,2390.0
"Дизелийн түлш, л",2023-03-13,3850.0
"Аи-92 автобензин, л",2023-03-06,2390.0
"Дизелийн түлш, л",2023-03-06,3850.0
"Аи-80 автобензин, л",2023-03-06,2347.0
"Аи-80 автобензин, л",2023-02-27,2347.0
"Аи-92 автобензин, л",2023-02-27,2390.0
"Дизелийн түлш, л",2023-02-27,3850.0
"Аи-92 автобензин, л",2023-02-13,2390.0
"Аи-80 автобензин, л",2023-02-13,2347.0
"Дизелийн түлш, л",2023-02-13,3850.0
"Аи-80 автобензин, л",2023-02-06,2347.0
"Дизелийн түлш, л",2023-02-06,3850.0
"Аи-92 автобензин, л",2023-02-06,2390.0
"Аи-80 автобензин, л",2023-01-30,2347.0
"Аи-92 автобензин, л",2023-01-30,2390.0
"Дизелийн түлш, л",2023-01-30,3850.0
"Аи-92 автобензин, л",2023-01-23,2390.0
"Дизелийн түлш, л",2023-01-23,3850.0
"Аи-80 автобензин, л",2023-01-23,2347.0
"Аи-92 автобензин, л",2023-01-16,2390.0
"Дизелийн түлш, л",2023-01-16,3850.0
"Аи-80 автобензин, л",2023-01-16,2347.0
"Аи-92 автобензин, л",2023-01-09,2390.0
"Аи-80 автобензин, л",2023-01-09,2347.0
"Дизелийн түлш, л",2023-01-09,3850.0
"Аи-80 автобензин, л",2023-01-05,2345.0
"Аи-92 автобензин, л",2023-01-05,2390.0
"Дизелийн түлш, л",2023-01-05,3490.0
"Аи-80 автобензин, л",2023-01-02,2347.0
"Дизелийн түлш, л",2023-01-02,3850.0
"Аи-92 автобензин, л",2023-01-02,2390.0
"Аи-92 автобензин, л",2022-12-26,2390.0
"Дизелийн түлш, л",2022-12-26,3882.0
"Аи-80 автобензин, л",2022-12-26,2347.0
"Дизелийн түлш, л",2022-12-19,3882.0
"Аи-92 автобензин, л",2022-12-19,2390.0
"Аи-80 автобензин, л",2022-12-19,2347.0
"Аи-92 автобензин, л",2022-12-12,2390.0
"Аи-80 автобензин, л",2022-12-12,2347.0
"Дизелийн түлш, л",2022-12-12,3882.0
"Аи-92 автобензин, л",2022-12-05,2390.0
"Дизелийн түлш, л",2022-12-05,3850.0
"Аи-80 автобензин, л",2022-12-05,2347.0
"Аи-80 автобензин, л",2022-11-28,2347.0
"Аи-92 автобензин, л",2022-11-28,2390.0
"Дизелийн түлш, л",2022-11-28,3850.0
"Дизелийн түлш, л",2022-11-21,3760.0
"Аи-80 автобензин, л",2022-11-21,2347.0
"Аи-92 автобензин, л",2022-11-21,2390.0
"Аи-80 автобензин, л",2022-11-14,2347.0
"Аи-92 автобензин, л",2022-11-14,2390.0
"Дизелийн түлш, л",2022-11-14,3760.0
"Дизелийн түлш, л",2022-11-07,3760.0
"Аи-80 автобензин, л",2022-11-07,2347.0
"Аи-92 автобензин, л",2022-11-07,2390.0
"Аи-80 автобензин, л",2022-10-31,2347.0
"Дизелийн түлш, л",2022-10-31,3760.0
"Аи-92 автобензин, л",2022-10-31,2390.0
"Аи-80 автобензин, л",2022-10-24,2347.0
"Дизелийн түлш, л",2022-10-24,3669.0
"Аи-92 автобензин, л",2022-10-24,2390.0
"Аи-80 автобензин, л",2022-10-17,2347.0
"Аи-92 автобензин, л",2022-10-17,2390.0
"Дизелийн түлш, л",2022-10-17,3580.0
"Дизелийн түлш, л",2022-10-10,3580.0
"Аи-92 автобензин, л",2022-10-10,2390.0
"Аи-80 автобензин, л",2022-10-10,2347.0
"Аи-92 автобензин, л",2022-10-03,2390.0
"Аи-80 автобензин, л",2022-10-03,2370.0
"Дизелийн түлш, л",2022-10-03,3580.0
"Аи-92 автобензин, л",2022-09-26,2390.0
"Аи-80 автобензин, л",2022-09-26,2370.0
"Дизелийн түлш, л",2022-09-26,3580.0
"Аи-80 автобензин, л",2022-09-19,2370.0
"Дизелийн түлш, л",2022-09-19,3730.0
"Аи-92 автобензин, л",2022-09-19,2390.0
"Аи-92 автобензин, л",2022-09-12,2390.0
"Дизелийн түлш, л",2022-09-12,3730.0
"Аи-80 автобензин, л",2022-09-12,2370.0
"Аи-80 автобензин, л",2022-09-05,2370.0
"Дизелийн түлш, л",2022-09-05,3730.0
"Аи-92 автобензин, л",2022-09-05,2390.0
"Аи-92 автобензин, л",2022-08-29,2390.0
"Аи-80 автобензин, л",2022-08-29,2370.0
"Дизелийн түлш, л",2022-08-29,3730.0
"Аи-80 автобензин, л",2022-08-22,2370.0
"Дизелийн түлш, л",2022-08-22,3730.0
"Аи-92 автобензин, л",2022-08-22,2390.0
"Аи-80 автобензин, л",2022-08-15,2370.0
"Аи-92 автобензин, л",2022-08-15,2390.0
"Дизелийн түлш, л",2022-08-15,4030.0
"Аи-80 автобензин, л",2022-08-08,2370.0
"Дизелийн түлш, л",2022-08-08,4030.0
"Аи-92 автобензин, л",2022-08-08,2390.0
"Аи-80 автобензин, л",2022-08-01,2370.0
"Аи-92 автобензин, л",2022-08-01,2390.0
"Дизелийн түлш, л",2022-08-01,4030.0
"Аи-92 автобензин, л",2022-07-25,2390.0
"Дизелийн түлш, л",2022-07-25,4030.0
"Аи-80 автобензин, л",2022-07-25,2370.0
"Дизелийн түлш, л",2022-07-18,4030.0
"Аи-92 автобензин, л",2022-07-18,2389.0
"Аи-80 автобензин, л",2022-07-18,2370.0
"Аи-80 автобензин, л",2022-07-04,2370.0
"Дизелийн түлш, л",2022-07-04,3730.0
"Аи-92 автобензин, л",2022-07-04,2389.0
"Аи-92 автобензин, л",2022-06-27,2389.0
"Аи-80 автобензин, л",2022-06-27,2370.0
"Дизелийн түлш, л",2022-06-27,3730.0
"Аи-80 автобензин, л",2022-06-20,2370.0
"Дизелийн түлш, л",2022-06-20,3730.0
"Аи-92 автобензин, л",2022-06-20,2389.0
"Дизелийн түлш, л",2022-06-13,3455.0
"Аи-92 автобензин, л",2022-06-13,2389.0
"Аи-80 автобензин, л",2022-06-13,2370.0
"Дизелийн түлш, л",2022-06-06,3455.0
"Аи-80 автобензин, л",2022-06-06,2370.0
"Аи-92 автобензин, л",2022-06-06,2389.0
"Аи-92 автобензин, л",2022-05-30,2389.0
"Дизелийн түлш, л",2022-05-30,3430.0
"Аи-80 автобензин, л",2022-05-30,2370.0
"Аи-92 автобензин, л",2022-05-23,2390.0
"Аи-80 автобензин, л",2022-05-23,2370.0
"Дизелийн түлш, л",2022-05-23,3430.0
"Аи-92 автобензин, л",2022-05-16,2389.0
"Дизелийн түлш, л",2022-05-16,3380.0
"Аи-80 автобензин, л",2022-05-16,2370.0
"Дизелийн түлш, л",2022-05-11,3380.0
