month,metric,value
2023-02,Tender revenue | % of plan,44.0
2023-02,Tender revenue | Actual to date,11000.0
2023-02,Tender revenue | Annual plan,25000.0
2023-02,Total | % of plan,14.0
2023-02,Total | Actual to date,68154.8
2023-02,Total | Annual plan,485780.9
2023-03,Mineral licence fees | % of plan,20.1
2023-03,Mineral licence fees | Actual to date,5988.5
2023-03,Mineral licence fees | Annual plan,29720.9
2023-03,Other revenue | % of plan,77.7
2023-03,Other revenue | Actual to date,2427.6
2023-03,Other revenue | Annual plan,3126.2
2023-03,Petroleum exports | % of plan,12.2
2023-03,Petroleum exports | Actual to date,51835.2
2023-03,Petroleum exports | Annual plan,424971.2
2023-03,Reimbursement for state-funded exploration | % of plan,11.0
2023-03,Reimbursement for state-funded exploration | Actual to date,326.7
2023-03,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-03,Tender revenue | % of plan,44.0
2023-03,Tender revenue | Actual to date,11000.0
2023-03,Tender revenue | Annual plan,25000.0
2023-03,Total | % of plan,14.7
2023-03,Total | Actual to date,71578.0
2023-03,Total | Annual plan,485780.9
2023-04,Mineral licence fees | % of plan,28.4
2023-04,Mineral licence fees | Actual to date,8442.7
2023-04,Mineral licence fees | Annual plan,29720.9
2023-04,Other revenue | % of plan,85.9
2023-04,Other revenue | Actual to date,2686.4
2023-04,Other revenue | Annual plan,3126.2
2023-04,Petroleum exports | % of plan,12.5
2023-04,Petroleum exports | Actual to date,53165.8
2023-04,Petroleum exports | Annual plan,424971.2
2023-04,Reimbursement for state-funded exploration | % of plan,15.5
2023-04,Reimbursement for state-funded exploration | Actual to date,459.1
2023-04,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-04,Tender revenue | % of plan,60.0
2023-04,Tender revenue | Actual to date,15000.0
2023-04,Tender revenue | Annual plan,25000.0
2023-04,Total | % of plan,16.4
2023-04,Total | Actual to date,79754.0
2023-04,Total | Annual plan,485780.9
2023-05,Mineral licence fees | % of plan,42.2
2023-05,Mineral licence fees | Actual to date,12542.3
2023-05,Mineral licence fees | Annual plan,29720.9
2023-05,Other revenue | % of plan,99.7
2023-05,Other revenue | Actual to date,3116.8
2023-05,Other revenue | Annual plan,3126.2
