date,metric,value
2020-01-01,Total Liabilities,31365.309
2020-01-01,Capital,3715.538
2020-02-01,Total Assets,35007.582
2020-02-01,Total Liabilities,31297.002
2020-02-01,Capital,3710.579
2020-03-01,Total Assets,34853.715
2020-03-01,Total Liabilities,31209.828
2020-03-01,Capital,3643.887
2020-04-01,Total Assets,34573.438
2020-04-01,Total Liabilities,30948.792
2020-04-01,Capital,3624.646
2020-05-01,Total Assets,33276.848
2020-05-01,Total Liabilities,29606.504
2020-05-01,Capital,3670.345
2020-06-01,Total Assets,34203.081
2020-06-01,Total Liabilities,30454.487
2020-06-01,Capital,3748.594
2020-07-01,Total Assets,34315.574
2020-07-01,Total Liabilities,30535.492
2020-07-01,Capital,3780.082
2020-08-01,Total Assets,34384.31
2020-08-01,Total Liabilities,30595.476
2020-08-01,Capital,3788.834
2020-09-01,Total Assets,35262.79
2020-09-01,Total Liabilities,31583.506
2020-09-01,Capital,3679.284
2020-10-01,Total Assets,34920.345
2020-10-01,Total Liabilities,31237.882
2020-10-01,Capital,3682.463
2020-11-01,Total Assets,35810.451
2020-11-01,Total Liabilities,32065.193
2020-11-01,Capital,3745.258
2020-12-01,Total Assets,36587.143
2020-12-01,Total Liabilities,32837.74
2020-12-01,Capital,3749.402
2021-01-01,Total Assets,36386.914
2021-01-01,Total Liabilities,32616.631
2021-01-01,Capital,3770.283
2021-02-01,Total Assets,37102.462
2021-02-01,Total Liabilities,33300.909
2021-02-01,Capital,3801.554
2021-03-01,Total Assets,37237.767
2021-03-01,Total Liabilities,33396.668
2021-03-01,Capital,3841.099
2021-04-01,Total Assets,38643.413
2021-04-01,Total Liabilities,34788.396
2021-04-01,Capital,3855.017
2021-05-01,Total Assets,39063.452
2021-05-01,Total Liabilities,35148.272
2021-05-01,Capital,3915.181
2021-06-01,Total Assets,39986.402
2021-06-01,Total Liabilities,36157.946
2021-06-01,Capital,3828.456
2021-07-01,Total Assets,39649.724
2021-07-01,Total Liabilities,35849.312
2021-07-01,Capital,3800.412
2021-08-01,Total Assets,39802.171
2021-08-01,Total Liabilities,35973.223
2021-08-01,Capital,3828.949
2021-09-01,Total Assets,39604.229
2021-09-01,Total Liabilities,35723.082
2021-09-01,Capital,3881.147
2021-10-01,Total Assets,39801.546
2021-10-01,Total Liabilities,35964.437
2021-10-01,Capital,3837.108
2021-11-01,Total Assets,40032.107
2021-11-01,Total Liabilities,36170.55
2021-11-01,Capital,3861.557
2021-12-01,Total Assets,40935.606
2021-12-01,Total Liabilities,36922.914
2021-12-01,Capital,4012.693
2022-01-01,Total Assets,39947.538
2022-01-01,Total Liabilities,35943.141
2022-01-01,Capital,4004.397
2022-02-01,Total Assets,44123.519
2022-02-01,Total Liabilities,39229.287
2022-02-01,Capital,4894.232
2022-03-01,Total Assets,40012.379
2022-03-01,Total Liabilities,35696.092
2022-03-01,Capital,4316.287
2022-04-01,Total Assets,41293.336
2022-04-01,Total Liabilities,36898.303
2022-04-01,Capital,4395.033
2022-05-01,Total Assets,41797.074
2022-05-01,Total Liabilities,37293.283
2022-05-01,Capital,4503.791
2022-06-01,Total Assets,42108.061
2022-06-01,Total Liabilities,37452.981
2022-06-01,Capital,4655.079
2022-07-01,Total Assets,41310.116
2022-07-01,Total Liabilities,36843.222
2022-07-01,Capital,4466.895
2022-08-01,Total Assets,40194.69
2022-08-01,Total Liabilities,35787.064
2022-08-01,Capital,4407.627
2022-09-01,Total Assets,41406.591
2022-09-01,Total Liabilities,36887.694
2022-09-01,Capital,4518.897
2022-10-01,Total Assets,41769.785
2022-10-01,Total Liabilities,37211.837
2022-10-01,Capital,4557.948
2022-11-01,Total Assets,41766.33
2022-11-01,Total Liabilities,37107.673
2022-11-01,Capital,4658.657
2022-12-01,Total Assets,45955.646
2022-12-01,Total Liabilities,40976.596
2022-12-01,Capital,4979.05
2023-01-01,Total Assets,45398.376
2023-01-01,Total Liabilities,40282.168
2023-01-01,Capital,5116.207
2023-02-01,Total Assets,45189.528
2023-02-01,Total Liabilities,40014.588
2023-02-01,Capital,5174.94
2023-03-01,Total Assets,46402.517
2023-03-01,Total Liabilities,41373.824
2023-03-01,Capital,5028.693
2023-04-01,Total Assets,46173.887
2023-04-01,Total Liabilities,40994.054
2023-04-01,Capital,5179.834
2023-05-01,Total Assets,46713.994
2023-05-01,Total Liabilities,41590.866
2023-05-01,Capital,5123.128
2023-06-01,Total Assets,47997.948
2023-06-01,Total Liabilities,42470.161
2023-06-01,Capital,5527.787
2023-07-01,Total Assets,48001.574
2023-07-01,Total Liabilities,42386.251
2023-07-01,Capital,5615.323
2023-08-01,Total Assets,48911.183
2023-08-01,Total Liabilities,43245.045
2023-08-01,Capital,5666.138
2023-09-01,Total Assets,49551.861
2023-09-01,Total Liabilities,43747.525
2023-09-01,Capital,5804.336
2023-10-01,Total Assets,49877.147
2023-10-01,Total Liabilities,43998.988
2023-10-01,Capital,5878.159
2023-11-01,Total Assets,52290.293
2023-11-01,Total Liabilities,46297.863
2023-11-01,Capital,5992.43
2023-12-01,Total Assets,57069.692
2023-12-01,Total Liabilities,50887.379
2023-12-01,Capital,6182.314
2024-01-01,Total Assets,54201.928
2024-01-01,Total Liabilities,47896.471
2024-01-01,Capital,6305.457
2024-02-01,Total Assets,54295.895
2024-02-01,Total Liabilities,47932.908
2024-02-01,Capital,6362.987
2024-03-01,Total Assets,54981.789
2024-03-01,Total Liabilities,48515.198
2024-03-01,Capital,6466.591
2024-04-01,Total Assets,55008.464
2024-04-01,Total Liabilities,48902.813
2024-04-01,Capital,6105.65
2024-05-01,Total Assets,57565.936
2024-05-01,Total Liabilities,51185.228
2024-05-01,Capital,6380.708
2024-06-01,Total Assets,62184.86
2024-06-01,Total Liabilities,55661.398
2024-06-01,Capital,6523.462
2024-07-01,Total Assets,61135.613
2024-07-01,Total Liabilities,54484.114
2024-07-01,Capital,6651.499
2024-08-01,Total Assets,61433.45
2024-08-01,Total Liabilities,54564.164
2024-08-01,Capital,6869.286
2024-09-01,Total Assets,62687.276
2024-09-01,Total Liabilities,55728.468
2024-09-01,Capital,6958.808
2024-10-01,Total Assets,62889.773
2024-10-01,Total Liabilities,55872.176
2024-10-01,Capital,7017.597
2024-11-01,Total Assets,62490.329
2024-11-01,Total Liabilities,55393.386
2024-11-01,Capital,7096.943
2024-12-01,Total Assets,71238.146
2024-12-01,Total Liabilities,63899.262
2024-12-01,Capital,7338.884
2025-01-01,Total Assets,65895.936
2025-01-01,Total Liabilities,58435.994
2025-01-01,Capital,7459.942
2025-02-01,Total Assets,66241.998
