огноо,чуулган,товлосон_цаг,эхэлсэн_цаг,цагийн_мэдээллийн_төлөв,өгөгдлийн_төлөв,эх_сурвалжийн_нийтлэл,эх_файлын_холбоос,үзүүлэлт,утга,нэгж
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Хуралдаан эхэлсэн хоцролт,6,минут
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Албан ёсоор цагтаа ирсэн,70,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Албан ёсоор хоцорсон,20,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Чөлөөтэй,4,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Эмнэлгийн чөлөө,3,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Орон нутгийн томилолт,2,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Гадаад томилолт,17,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Тайлбаргүй тасалсан,10,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Биеэр оролцсон,90,тоо
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Биеэр оролцсон хувь,71.4,хувь
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,77.8,хувь
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Хэлэлцэх асуудал,0,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Албан ёсоор цагтаа ирсэн,49,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Албан ёсоор хоцорсон,36,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Чөлөөтэй,1,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Эмнэлгийн чөлөө,2,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Орон нутгийн томилолт,4,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Гадаад томилолт,32,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Тайлбаргүй тасалсан,2,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Биеэр оролцсон,85,тоо
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Биеэр оролцсон хувь,67.5,хувь
2024-11-28,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63471/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,57.6,хувь
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Хэлэлцэх асуудал,0,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Хуралдаан эхэлсэн хоцролт,6,минут
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Албан ёсоор цагтаа ирсэн,68,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Албан ёсоор хоцорсон,19,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Чөлөөтэй,2,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Эмнэлгийн чөлөө,2,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Орон нутгийн томилолт,1,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Гадаад томилолт,30,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Тайлбаргүй тасалсан,4,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Биеэр оролцсон,87,тоо
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Биеэр оролцсон хувь,69.0,хувь
2024-11-29,Намрын ээлжит чуулган,10:00,10:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63485/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,78.2,хувь
2024-12-02,Намрын ээлжит чуулган,14:00,14:17,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63509/,,Хэлэлцэх асуудал,1,тоо
2024-12-02,Намрын ээлжит чуулган,14:00,14:17,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63509/,,Хуралдаан эхэлсэн хоцролт,17,минут
2024-12-02,Намрын ээлжит чуулган,14:00,14:17,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63509/,,Албан ёсоор цагтаа ирсэн,66,тоо
2024-12-02,Намрын ээлжит чуулган,14:00,14:17,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63509/,,Албан ёсоор хоцорсон,5,тоо
2024-12-02,Намрын ээлжит чуулган,14:00,14:17,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63509/,,Чөлөөтэй,2,тоо
