region,month,deaths
Uvurkhangai,2018-12,58
Zavkhan,2018-12,32
Arkhangai,2019-01,42
Bayan-Ulgii,2019-01,55
Bayankhongor,2019-01,42
Bulgan,2019-01,30
Darkhan-Uul,2019-01,48
Dornod,2019-01,32
Dornogovi,2019-01,41
Dundgovi,2019-01,20
Govi-Altai,2019-01,29
Govisumber,2019-01,3
Khentii,2019-01,37
Khovd,2019-01,28
Khuvsgul,2019-01,64
Orkhon,2019-01,54
Selenge,2019-01,41
Sukhbaatar,2019-01,30
Tuv,2019-01,39
Ulaanbaatar,2019-01,779
Umnugovi,2019-01,32
Uvs,2019-01,41
Uvurkhangai,2019-01,54
Zavkhan,2019-01,32
Arkhangai,2019-02,52
Bayan-Ulgii,2019-02,43
Bayankhongor,2019-02,32
Bulgan,2019-02,28
Darkhan-Uul,2019-02,46
Dornod,2019-02,33
Dornogovi,2019-02,29
Dundgovi,2019-02,16
Govi-Altai,2019-02,25
Govisumber,2019-02,3
Khentii,2019-02,35
Khovd,2019-02,34
Khuvsgul,2019-02,84
Orkhon,2019-02,43
Selenge,2019-02,44
Sukhbaatar,2019-02,36
Tuv,2019-02,42
Ulaanbaatar,2019-02,591
Umnugovi,2019-02,16
Uvs,2019-02,47
Uvurkhangai,2019-02,56
Zavkhan,2019-02,23
Arkhangai,2019-03,44
Bayan-Ulgii,2019-03,56
Bayankhongor,2019-03,43
Bulgan,2019-03,27
Darkhan-Uul,2019-03,56
Dornod,2019-03,40
Dornogovi,2019-03,33
Dundgovi,2019-03,24
Govi-Altai,2019-03,27
Govisumber,2019-03,8
Khentii,2019-03,21
Khovd,2019-03,28
Khuvsgul,2019-03,53
Orkhon,2019-03,46
Selenge,2019-03,33
Sukhbaatar,2019-03,21
Tuv,2019-03,46
Ulaanbaatar,2019-03,641
Umnugovi,2019-03,22
Uvs,2019-03,39
Uvurkhangai,2019-03,31
Zavkhan,2019-03,34
Arkhangai,2019-04,43
Bayan-Ulgii,2019-04,55
Bayankhongor,2019-04,30
Bulgan,2019-04,27
Darkhan-Uul,2019-04,40
Dornod,2019-04,35
Dornogovi,2019-04,34
Dundgovi,2019-04,25
Govi-Altai,2019-04,28
Govisumber,2019-04,3
Khentii,2019-04,27
Khovd,2019-04,30
Khuvsgul,2019-04,54
Orkhon,2019-04,41
Selenge,2019-04,45
Sukhbaatar,2019-04,33
Tuv,2019-04,36
Ulaanbaatar,2019-04,697
Umnugovi,2019-04,27
Uvs,2019-04,40
Uvurkhangai,2019-04,44
Zavkhan,2019-04,37
Arkhangai,2019-05,40
Bayan-Ulgii,2019-05,51
Bayankhongor,2019-05,60
Bulgan,2019-05,17
Darkhan-Uul,2019-05,36
