id,сургууль,хаяг,дүүргийн_код,дүүрэг,хорооны_код,хороо,lon,lat
5160,Шинэ зууны удирдагч сургууль,"СБД 11-р хороо, Глобал удирдагч их сургуулийн 5-н давхар",14,Сүхбаатар,1411,11-р хороо,106.918583,47.932466
5166,131-р сургууль,"СБД 11 хороо, Хангай хотхон",14,Сүхбаатар,1411,11-р хороо,106.920911,47.934945
5000,35-р сургууль,"СБД 14-р хороо 6, 7-р буудлын хооронд",14,Сүхбаатар,1414,14-р хороо,106.918726,47.965394
5183,Ажилчин залуучуудын ээлжийн сургууль,"СБД 14-р хороо, 35-р сургуулийн хашаанд",14,Сүхбаатар,1414,14-р хороо,106.918466,47.965871
5260,35-р сургууль,"СБД 14-р хороо, Санзайн зам С35/3",14,Сүхбаатар,1414,14-р хороо,106.918319,47.964934
5050,Эрдмийн хөтөч ЦС /58-р сургууль/,СБД 15-р хороо Дарь эхийн шинэ эцэст.,14,Сүхбаатар,1415,15-р хороо,106.934325,47.978123
5261,Эрдмийн хөтөч ЦС /58-р сургууль/,"СБД 15-р хороо, Дамбадаржаагийн гудамж С58",14,Сүхбаатар,1415,15-р хороо,106.934449,47.977794
5242,Эрдмийн хөтөч ЦС /58 сургууль/,"СБД 17-р хороо, Дамбадаржаагийн гудамж",14,Сүхбаатар,1417,17-р хороо,106.938692,47.989303
5139,71-р сургууль,"СБД 18-р хороо, Бэлхийн эцэст",14,Сүхбаатар,1418,18-р хороо,106.970584,47.997593
4992,23-р сургууль,"ЧД 1-р хороо, Худалдаачны гудамж 12-2-р байр",15,Чингэлтэй,1501,1-р хороо,106.90917,47.919131
5272,23-р сургууль,"ЧД 1-р хороо, Ноён Хутагт Данзанравжаагийн гудамж С23",15,Чингэлтэй,1501,1-р хороо,106.909176,47.918939
5070,Бэтүб шашны сургууль,"ЧД 2-р хороо, Бөмбөгөрийн  хойно",15,Чингэлтэй,1502,2-р хороо,106.900539,47.920469
5014,24-р сургууль,ЧД 3-хороо Их дэлгүүрийн баруун хойно,15,Чингэлтэй,1503,3-р хороо,106.901793,47.917841
5178,Олонлог сургууль,ЧД 3-р хороо жуулчны гудамж - 53,15,Чингэлтэй,1503,3-р хороо,106.902596,47.917925
4994,5-р сургууль,"ЧД 4-р хороо Бага тойруу, Анкарагийн гудамжинд",15,Чингэлтэй,1504,4-р хороо,106.911163,47.925122
5069,Чинхур сургууль,"ЧД 4-р хороо, Ж.Санбуугийн гудамж Шонхор төв",15,Чингэлтэй,1504,4-р хороо,106.909143,47.921605
5153,Бадмаараг ахлах сургууль,"ЧД 4-р хороо, Л.Лааганы гудамж 18/3",15,Чингэлтэй,1504,4-р хороо,106.908421,47.92391
5176,Тоолол сургууль,ЧД 4-р хороо Ж.Самбуугийн гудамж Улаанбаатар эрдэм сургуулийн байр,15,Чингэлтэй,1504,4-р хороо,106.907788,47.92414
5170,112-р сургууль,"ЧД 5 хороо, Гэсэр сүмийн хашаанд",15,Чингэлтэй,1505,5-р хороо,106.900538,47.922299
5177,Тусгал сургууль,ЧД 5-р хороо 6-р хороолол Их тойруу 59,15,Чингэлтэй,1505,5-р хороо,106.904732,47.925034
5179,Оюут сургууль,ЧД 5-р хороо 6-р хороолол ХНХДС-ийн байр,15,Чингэлтэй,1505,5-р хороо,106.903506,47.923744
5180,Олонлог эгзэ сургууль,"ЧД 5-р хороо төмөрчний гудамж, 7/1 байр",15,Чингэлтэй,1505,5-р хороо,106.903614,47.920761
4995,50-р сургууль,ЧД 6-р хороо,15,Чингэлтэй,1506,6-р хороо,106.906451,47.926392
5143,Атланта сургууль,"ЧД 6-р хороо,СУИС-ийн баруун хойш 50 метрт Монинжбар ХК-ны ард талд",15,Чингэлтэй,1506,6-р хороо,106.912471,47.926751
5060,39-р сургууль,ЧД 10-р хороо Дэнжийн-1000.,15,Чингэлтэй,1510,10-р хороо,106.907052,47.935829
5275,39-р сургууль,"ЧД 10-р хороо, Э.Галданбошготын гудамж С39",15,Чингэлтэй,1510,10-р хороо,106.906838,47.936109
5003,57-р сургууль,ЧД 11-р хороо 32-ын тойргоос дэнжийн 1000-руу салсан замын урд,15,Чингэлтэй,1511,11-р хороо,106.910142,47.941458
5175,61-р сургууль,ЧД 12-р хороо булгийн 1,15,Чингэлтэй,1512,12-р хороо,106.903933,47.944794
5276,61-р сургууль,"ЧД 12-р хороо, Дэнжийн мянга гудамж С61",15,Чингэлтэй,1512,12-р хороо,106.904386,47.94502
5001,49-р сургууль,"ЧД 13-р хороо, хайлаастын гудамж",15,Чингэлтэй,1513,13-р хороо,106.903399,47.956903
5051,17-р сургууль,ЧД 13-р хороо,15,Чингэлтэй,1513,13-р хороо,106.912414,47.948133
5273,17-р сургууль,"ЧД 13-р хороо, Чингэлтэй өргөн чөлөө С17",15,Чингэлтэй,1513,13-р хороо,106.911835,47.948582
4999,72-р сургууль,ЧД 15-р хороо Хайлаастын хуучин эцэс,15,Чингэлтэй,1515,15-р хороо,106.898467,47.960567
