он,сар,province_mn,бензин_а80_төг,бензин_аи92_төг,бензин_аи95_төг,дизель_төг
2022,8,Хөвсгөл,2570.0,2590.0,4060.0,3770.0
2022,8,Орхон,2470.0,2490.0,4030.0,3720.0
2022,8,Сэлэнгэ,2480.0,2500.0,4030.0,3730.0
2022,8,Сүхбаатар,2550.0,2570.0,4080.0,3830.0
2022,8,Төв,2420.0,2440.0,3970.0,3740.0
2022,8,Улаанбаатар,2370.0,2390.0,3910.0,3730.0
2022,8,Өмнөговь,2445.0,2545.0,3990.0,3740.0
2022,8,Увс,2850.0,2900.0,,3990.0
2022,8,Өвөрхангай,2420.0,2470.0,4010.0,3720.0
2022,8,Завхан,2870.0,2890.0,4190.0,3710.0
2022,9,Архангай,2480.0,2500.0,4040.0,3590.0
2022,9,Баян-Өлгий,2680.0,2700.0,,3550.0
2022,9,Баянхонгор,2510.0,2530.0,,3720.0
2022,9,Булган,2520.0,2520.0,4020.0,3580.0
2022,9,Дархан-Уул,2450.0,2470.0,3990.0,3570.0
2022,9,Дорнод,2500.0,2530.0,4030.0,3590.0
2022,9,Дорноговь,2470.0,2520.0,4030.0,3640.0
2022,9,Дундговь,2510.0,2530.0,3980.0,3620.0
2022,9,Говь-Алтай,2780.0,2800.0,,3720.0
2022,9,Говьсүмбэр,2460.0,2480.0,4010.0,3610.0
2022,9,Хэнтий,2500.0,2545.0,3970.0,3580.0
2022,9,Ховд,2745.0,2800.0,4190.0,3540.0
2022,9,Хөвсгөл,2570.0,2590.0,4060.0,3610.0
2022,9,Орхон,2470.0,2490.0,4030.0,3570.0
2022,9,Сэлэнгэ,2480.0,2500.0,4030.0,3580.0
2022,9,Сүхбаатар,2550.0,2570.0,4070.0,3680.0
2022,9,Төв,2420.0,2440.0,3970.0,3590.0
2022,9,Улаанбаатар,2370.0,2390.0,3910.0,3580.0
2022,9,Өмнөговь,2530.0,2550.0,3990.0,3590.0
2022,9,Увс,2745.0,2890.0,4190.0,3530.0
2022,9,Өвөрхангай,2450.0,2470.0,4030.0,3580.0
2022,9,Завхан,2870.0,2890.0,4190.0,3560.0
2022,10,Архангай,2480.0,2500.0,4040.0,3820.0
2022,10,Баян-Өлгий,2680.0,2700.0,,3550.0
2022,10,Баянхонгор,2510.0,2530.0,4050.0,3830.0
2022,10,Булган,2470.0,2490.0,4040.0,3760.0
2022,10,Дархан-Уул,2450.0,2470.0,4020.0,3760.0
2022,10,Дорнод,2510.0,2530.0,4030.0,3770.0
