product,region,date,price
Таваарын буудай,Орхон,2021-05,660000.0
Үрийн буудай,Орхон,2021-05,830000.0
Таваарын буудай,Сэлэнгэ,2021-05,600000.0
Үрийн буудай,Сэлэнгэ,2021-05,725000.0
Таваарын буудай,Төв,2021-05,793333.0
Үрийн буудай,Төв,2021-05,935625.0
Үрийн буудай,Увс,2021-05,1000000.0
Үрийн буудай,Өвөрхангай,2021-05,925000.0
Таваарын буудай,Булган,2021-06,680000.0
Үрийн буудай,Булган,2021-06,900000.0
Таваарын буудай,Дорнод,2021-06,600000.0
Үрийн буудай,Дорнод,2021-06,900000.0
Таваарын буудай,Орхон,2021-06,660000.0
Үрийн буудай,Орхон,2021-06,820000.0
Үрийн буудай,Сэлэнгэ,2021-06,800000.0
Таваарын буудай,Төв,2021-06,860000.0
Үрийн буудай,Төв,2021-06,1107142.0
Үрийн буудай,Өвөрхангай,2021-06,1200000.0
Таваарын буудай,Булган,2021-07,680000.0
Үрийн буудай,Булган,2021-07,900000.0
Таваарын буудай,Дорнод,2021-07,600000.0
Үрийн буудай,Дорнод,2021-07,900000.0
Таваарын буудай,Орхон,2021-07,660000.0
Үрийн буудай,Орхон,2021-07,830000.0
Таваарын буудай,Төв,2021-07,793333.0
Үрийн буудай,Төв,2021-07,1100000.0
Таваарын буудай,Булган,2021-08,680000.0
Үрийн буудай,Булган,2021-08,900000.0
Таваарын буудай,Дорнод,2021-08,600000.0
Үрийн буудай,Дорнод,2021-08,900000.0
Таваарын буудай,Орхон,2021-08,680000.0
Үрийн буудай,Орхон,2021-08,850000.0
Таваарын буудай,Сэлэнгэ,2021-08,600000.0
Үрийн буудай,Сэлэнгэ,2021-08,700000.0
Таваарын буудай,Төв,2021-08,870000.0
Үрийн буудай,Төв,2021-08,1120000.0
Таваарын буудай,Архангай,2021-09,700000.0
Таваарын буудай,Булган,2021-09,680000.0
Үрийн буудай,Булган,2021-09,900000.0
Таваарын буудай,Дорнод,2021-09,600000.0
Үрийн буудай,Дорнод,2021-09,900000.0
Таваарын буудай,Орхон,2021-09,680000.0
Үрийн буудай,Орхон,2021-09,850000.0
Таваарын буудай,Сэлэнгэ,2021-09,675000.0
Үрийн буудай,Сэлэнгэ,2021-09,683000.0
Таваарын буудай,Төв,2021-09,843000.0
Үрийн буудай,Төв,2021-09,1233000.0
Таваарын буудай,Архангай,2021-10,700000.0
Үрийн буудай,Архангай,2021-10,700000.0
Таваарын буудай,Булган,2021-10,690000.0
Үрийн буудай,Булган,2021-10,850000.0
Таваарын буудай,Дорнод,2021-10,600000.0
Үрийн буудай,Дорнод,2021-10,900000.0
Таваарын буудай,Орхон,2021-10,680000.0
Үрийн буудай,Орхон,2021-10,850000.0
Таваарын буудай,Сэлэнгэ,2021-10,670000.0
Үрийн буудай,Сэлэнгэ,2021-10,700000.0
Таваарын буудай,Төв,2021-10,718000.0
Үрийн буудай,Төв,2021-10,875000.0
Таваарын буудай,Увс,2021-10,700000.0
Үрийн буудай,Увс,2021-10,800000.0
Үрийн буудай,Завхан,2021-10,600000.0
Таваарын буудай,Архангай,2021-11,650000.0
Таваарын буудай,Булган,2021-11,500000.0
Үрийн буудай,Булган,2021-11,700000.0
Таваарын буудай,Орхон,2021-11,680000.0
Үрийн буудай,Орхон,2021-11,850000.0
Таваарын буудай,Сэлэнгэ,2021-11,657500.0
Үрийн буудай,Сэлэнгэ,2021-11,750000.0
Таваарын буудай,Төв,2021-11,696000.0
Үрийн буудай,Төв,2021-11,792000.0
