month,indicator,temperature
2024-12,Average,-16.7
2024-12,Maximum,-4.3
2024-12,Minimum,-24.2
2025-06,Average,17.7
2025-06,Maximum,34.4
2025-06,Minimum,2.3
2025-07,Average,20.2
2025-07,Maximum,34.5
2025-07,Minimum,8.0
2025-08,Average,16.6
2025-08,Maximum,28.8
2025-08,Minimum,5.3
2025-09,Average,10.7
2025-09,Maximum,25.9
2025-09,Minimum,-1.8
2025-1,Average,-17.4
2025-1,Maximum,-3.3
2025-1,Minimum,-28.0
2025-10,Average,-1.8
2025-10,Maximum,24.4
2025-10,Minimum,-16.3
2025-11,Average,-8.8
2025-11,Maximum,10.0
2025-11,Minimum,-30.0
2025-2,Average,-16.4
2025-2,Maximum,3.7
2025-2,Minimum,-30.8
2025-3,Average,-4.1
2025-3,Maximum,16.9
2025-3,Minimum,-17.1
2025-4,Average,4.7
2025-4,Maximum,24.5
2025-4,Minimum,-10.4
2025-5,Average,10.9
2025-5,Maximum,29.2
2025-5,Minimum,-3.0
