огноо,ангилал,хэрэглээний_үнийн_индекс
2011-12,"Гэр ахуйн тавилга, гэр ахуйн бараа",55.7
2011-12,"Орон сууц, ус, цахилгаан, түлш",53.9
2012-01,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.6
2012-01,"Хүнсний бараа, ундаа, ус",52.6
2012-01,Боловсролын үйлчилгээ,37.4
2012-01,"Эм тариа, эмнэлгийн үйлчилгээ",55.1
2012-01,"Бусад бараа, үйлчилгээ",55.2
2012-01,"Орон сууц, ус, цахилгаан, түлш",54.2
2012-01,Тээвэр,72.8
2012-01,"Гэр ахуйн тавилга, гэр ахуйн бараа",55.9
2012-01,"Хувцас, бөс бараа, гутал",50.5
2012-01,"Согтууруулах ундаа, тамхи",42.7
2012-01,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.3
2012-01,"Зочид буудал, зоогийн газар, дотуур байр",49.2
2012-02,"Бусад бараа, үйлчилгээ",55.9
2012-02,"Хүнсний бараа, ундаа, ус",54.9
2012-02,"Хувцас, бөс бараа, гутал",51.7
2012-02,Тээвэр,76.6
2012-02,"Орон сууц, ус, цахилгаан, түлш",54.0
2012-02,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",106.3
2012-02,"Эм тариа, эмнэлгийн үйлчилгээ",56.0
2012-02,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.1
2012-02,"Согтууруулах ундаа, тамхи",43.0
2012-02,"Гэр ахуйн тавилга, гэр ахуйн бараа",56.9
2012-02,"Зочид буудал, зоогийн газар, дотуур байр",50.4
2012-02,Боловсролын үйлчилгээ,37.4
2012-03,Тээвэр,76.8
2012-03,"Зочид буудал, зоогийн газар, дотуур байр",54.7
2012-03,Боловсролын үйлчилгээ,37.4
2012-03,"Согтууруулах ундаа, тамхи",43.2
2012-03,"Эм тариа, эмнэлгийн үйлчилгээ",56.6
2012-03,"Гэр ахуйн тавилга, гэр ахуйн бараа",57.5
2012-03,"Бусад бараа, үйлчилгээ",56.0
2012-03,"Орон сууц, ус, цахилгаан, түлш",53.5
2012-03,"Хувцас, бөс бараа, гутал",52.1
2012-03,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.5
2012-03,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",106.1
2012-03,"Хүнсний бараа, ундаа, ус",58.8
2012-04,"Бусад бараа, үйлчилгээ",56.5
2012-04,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.2
2012-04,Боловсролын үйлчилгээ,37.4
2012-04,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.0
2012-04,"Согтууруулах ундаа, тамхи",44.2
2012-04,"Эм тариа, эмнэлгийн үйлчилгээ",57.1
2012-04,"Хүнсний бараа, ундаа, ус",62.8
2012-04,"Хувцас, бөс бараа, гутал",52.5
2012-04,Тээвэр,76.8
2012-04,"Зочид буудал, зоогийн газар, дотуур байр",55.4
2012-04,"Орон сууц, ус, цахилгаан, түлш",53.1
2012-04,"Гэр ахуйн тавилга, гэр ахуйн бараа",57.8
2012-05,"Гэр ахуйн тавилга, гэр ахуйн бараа",58.2
2012-05,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.0
2012-05,Тээвэр,75.4
2012-05,"Зочид буудал, зоогийн газар, дотуур байр",56.5
2012-05,"Согтууруулах ундаа, тамхи",44.4
2012-05,"Орон сууц, ус, цахилгаан, түлш",53.4
2012-05,"Бусад бараа, үйлчилгээ",56.7
2012-05,Боловсролын үйлчилгээ,37.4
2012-05,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.6
2012-05,"Хүнсний бараа, ундаа, ус",63.2
2012-05,"Хувцас, бөс бараа, гутал",53.5
2012-05,"Эм тариа, эмнэлгийн үйлчилгээ",57.3
2012-06,"Гэр ахуйн тавилга, гэр ахуйн бараа",58.3
2012-06,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.6
2012-06,"Хүнсний бараа, ундаа, ус",64.0
2012-06,Тээвэр,75.6
2012-06,"Хувцас, бөс бараа, гутал",54.0
2012-06,"Зочид буудал, зоогийн газар, дотуур байр",58.0
2012-06,"Эм тариа, эмнэлгийн үйлчилгээ",57.4
2012-06,"Орон сууц, ус, цахилгаан, түлш",54.7
2012-06,Боловсролын үйлчилгээ,37.4
2012-06,"Согтууруулах ундаа, тамхи",44.6
2012-06,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.4
2012-06,"Бусад бараа, үйлчилгээ",57.1
2012-07,"Хувцас, бөс бараа, гутал",54.3
2012-07,"Эм тариа, эмнэлгийн үйлчилгээ",57.5
2012-07,"Согтууруулах ундаа, тамхи",44.7
2012-07,"Гэр ахуйн тавилга, гэр ахуйн бараа",58.7
2012-07,Тээвэр,75.6
2012-07,"Орон сууц, ус, цахилгаан, түлш",55.4
2012-07,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.5
2012-07,"Зочид буудал, зоогийн газар, дотуур байр",58.4
2012-07,"Хүнсний бараа, ундаа, ус",64.4
2012-07,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.0
2012-07,Боловсролын үйлчилгээ,37.4
2012-07,"Бусад бараа, үйлчилгээ",57.3
2012-08,"Зочид буудал, зоогийн газар, дотуур байр",58.9
2012-08,"Орон сууц, ус, цахилгаан, түлш",55.1
2012-08,Тээвэр,75.7
2012-08,"Хүнсний бараа, ундаа, ус",65.2
2012-08,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.4
2012-08,Боловсролын үйлчилгээ,37.4
2012-08,"Бусад бараа, үйлчилгээ",57.5
2012-08,"Гэр ахуйн тавилга, гэр ахуйн бараа",59.2
2012-08,"Хувцас, бөс бараа, гутал",54.6
2012-08,"Согтууруулах ундаа, тамхи",45.0
2012-08,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",69.9
2012-08,"Эм тариа, эмнэлгийн үйлчилгээ",57.8
2012-09,"Орон сууц, ус, цахилгаан, түлш",56.6
2012-09,"Согтууруулах ундаа, тамхи",45.1
2012-09,Боловсролын үйлчилгээ,43.1
2012-09,"Зочид буудал, зоогийн газар, дотуур байр",59.7
2012-09,"Хүнсний бараа, ундаа, ус",63.9
2012-09,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.7
2012-09,Тээвэр,76.0
2012-09,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.3
2012-09,"Гэр ахуйн тавилга, гэр ахуйн бараа",59.6
2012-09,"Хувцас, бөс бараа, гутал",55.1
2012-09,"Бусад бараа, үйлчилгээ",58.1
2012-09,"Эм тариа, эмнэлгийн үйлчилгээ",58.6
2012-10,"Орон сууц, ус, цахилгаан, түлш",58.1
2012-10,"Бусад бараа, үйлчилгээ",58.5
2012-10,"Хувцас, бөс бараа, гутал",56.1
2012-10,Боловсролын үйлчилгээ,43.1
2012-10,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.2
2012-10,"Гэр ахуйн тавилга, гэр ахуйн бараа",60.3
2012-10,Тээвэр,76.2
2012-10,"Эм тариа, эмнэлгийн үйлчилгээ",58.9
2012-10,"Хүнсний бараа, ундаа, ус",62.2
2012-10,"Зочид буудал, зоогийн газар, дотуур байр",59.9
2012-10,"Согтууруулах ундаа, тамхи",63.0
2012-10,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",69.9
2012-11,"Эм тариа, эмнэлгийн үйлчилгээ",59.9
2012-11,Тээвэр,76.8
2012-11,"Хувцас, бөс бараа, гутал",57.3
2012-11,"Зочид буудал, зоогийн газар, дотуур байр",60.2
2012-11,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.1
2012-11,"Согтууруулах ундаа, тамхи",65.1
2012-11,"Орон сууц, ус, цахилгаан, түлш",60.8
2012-11,Боловсролын үйлчилгээ,43.1
2012-11,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.2
2012-11,"Хүнсний бараа, ундаа, ус",60.8
2012-11,"Гэр ахуйн тавилга, гэр ахуйн бараа",60.8
2012-11,"Бусад бараа, үйлчилгээ",59.0
2012-12,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.1
2012-12,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.7
2012-12,"Согтууруулах ундаа, тамхи",65.5
2012-12,"Зочид буудал, зоогийн газар, дотуур байр",60.4
2012-12,"Гэр ахуйн тавилга, гэр ахуйн бараа",61.2
2012-12,"Орон сууц, ус, цахилгаан, түлш",60.3
2012-12,"Бусад бараа, үйлчилгээ",59.1
2012-12,"Эм тариа, эмнэлгийн үйлчилгээ",60.0
2012-12,"Хүнсний бараа, ундаа, ус",60.8
2012-12,"Хувцас, бөс бараа, гутал",58.1
2012-12,Боловсролын үйлчилгээ,43.1
2012-12,Тээвэр,76.6
2013-01,"Зочид буудал, зоогийн газар, дотуур байр",60.5
2013-01,"Согтууруулах ундаа, тамхи",65.9
2013-01,"Орон сууц, ус, цахилгаан, түлш",60.1
2013-01,"Эм тариа, эмнэлгийн үйлчилгээ",60.1
2013-01,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.7
2013-01,"Гэр ахуйн тавилга, гэр ахуйн бараа",61.6
2013-01,"Хүнсний бараа, ундаа, ус",61.8
2013-01,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.1
2013-01,"Хувцас, бөс бараа, гутал",58.7
2013-01,"Бусад бараа, үйлчилгээ",59.2
2013-01,Тээвэр,77.5
2013-01,Боловсролын үйлчилгээ,43.1
2013-02,Боловсролын үйлчилгээ,43.1
2013-02,"Бусад бараа, үйлчилгээ",59.4
2013-02,"Орон сууц, ус, цахилгаан, түлш",59.8
2013-02,"Хувцас, бөс бараа, гутал",59.0
2013-02,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",70.9
2013-02,"Эм тариа, эмнэлгийн үйлчилгээ",60.5
2013-02,Тээвэр,78.9
2013-02,"Гэр ахуйн тавилга, гэр ахуйн бараа",62.4
2013-02,"Зочид буудал, зоогийн газар, дотуур байр",62.6
2013-02,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",102.1
2013-02,"Согтууруулах ундаа, тамхи",66.0
2013-02,"Хүнсний бараа, ундаа, ус",64.5
