сар,үзүүлэлт,утга
2021-12,БҮГД | Жилийн төлөвлөгөө,265400.0
2021-12,БҮГД | Өссөн дүнгийн гүйцэтгэл,268696.5
2021-12,Газрын тосны экспорт | Биелэлт (%),92.9
2021-12,Газрын тосны экспорт | Жилийн төлөвлөгөө,213200.0
2021-12,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,198145.3
2021-12,Газрын тосны үйлчилгээний орлого | Биелэлт (%),228.6
2021-12,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-12,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1997.9
2021-12,Сонгон шалгаруулалт | Биелэлт (%),185.1
2021-12,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-12,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,29623.1
2021-12,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),176.4
2021-12,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-12,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,4409.0
2022-01,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),9.0
2022-01,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31400.0
2022-01,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,2812.0
2022-01,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),22.1
2022-01,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,910.0
2022-01,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,200.8
2022-01,БҮГД | Биелэлт (%),1.6
2022-01,БҮГД | Жилийн төлөвлөгөө,354050.0
2022-01,БҮГД | Өссөн дүнгийн гүйцэтгэл,5564.8
2022-01,Газрын тосны экспорт | Жилийн төлөвлөгөө,277500.0
2022-01,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,1740.0
2022-01,Сонгон шалгаруулалт | Биелэлт (%),9.9
