month,commodity,price
2023-08,Fluorspar ore FK-85 (USD/tonne),365.0
2023-08,Gold (USD/troy oz),1920.1
2023-08,"Iron concentrate, 60% (USD/tonne)",97.4
2023-08,"Iron ore, 56% (USD/tonne)",79.7
2023-08,Lead (USD/tonne),2151.1
2023-08,"Manganese, 36% (USD/tonne)",151.2
2023-08,Molybdenum (USD/tonne),54574.4
2023-08,Silver (USD/troy oz),23.4
2023-08,Tin (USD/tonne),25974.7
2023-08,"Tungsten, 65% (USD/tonne)",16557.9
2023-08,"Tungsten, 99% (USD/tonne)",38800.0
2023-08,Uranium (USD/kg),123.7
2023-08,Zinc (USD/tonne),2400.5
2023-09,Copper (USD/tonne),8270.2
2023-09,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-09,Fluorspar ore FK-85 (USD/tonne),365.0
2023-09,Gold (USD/troy oz),1917.0
2023-09,"Iron concentrate, 60% (USD/tonne)",97.4
2023-09,"Iron ore, 56% (USD/tonne)",79.7
2023-09,Lead (USD/tonne),2151.1
2023-09,"Manganese, 36% (USD/tonne)",151.2
2023-09,Molybdenum (USD/tonne),54574.4
2023-09,Silver (USD/troy oz),23.2
2023-09,Tin (USD/tonne),25974.7
2023-09,"Tungsten, 65% (USD/tonne)",16557.9
2023-09,"Tungsten, 99% (USD/tonne)",38800.0
2023-09,Uranium (USD/kg),157.8
2023-09,Zinc (USD/tonne),2487.8
2023-10,Copper (USD/tonne),7939.2
2023-10,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-10,Fluorspar ore FK-85 (USD/tonne),365.0
2023-10,Gold (USD/troy oz),1913.0
2023-10,"Iron concentrate, 60% (USD/tonne)",105.0
2023-10,"Iron ore, 56% (USD/tonne)",91.5
2023-10,Lead (USD/tonne),2135.8
2023-10,"Manganese, 36% (USD/tonne)",152.0
2023-10,Molybdenum (USD/tonne),45232.8
2023-10,Silver (USD/troy oz),22.3
2023-10,Tin (USD/tonne),24597.1
2023-10,"Tungsten, 65% (USD/tonne)",16366.9
2023-10,"Tungsten, 99% (USD/tonne)",38500.0
2023-10,Uranium (USD/kg),164.0
2023-10,Zinc (USD/tonne),2448.8
2023-11,Copper (USD/tonne),8173.5
2023-11,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-11,Fluorspar ore FK-85 (USD/tonne),365.0
2023-11,Gold (USD/troy oz),1985.3
2023-11,"Iron concentrate, 60% (USD/tonne)",117.7
2023-11,"Iron ore, 56% (USD/tonne)",103.7
2023-11,Lead (USD/tonne),2184.6
2023-11,"Manganese, 36% (USD/tonne)",152.6
2023-11,Molybdenum (USD/tonne),38310.3
2023-11,Silver (USD/troy oz),23.4
2023-11,Tin (USD/tonne),24203.6
2023-11,"Tungsten, 65% (USD/tonne)",16491.1
2023-11,"Tungsten, 99% (USD/tonne)",38481.8
2023-11,Uranium (USD/kg),179.1
2023-11,Zinc (USD/tonne),2543.3
2023-12,Copper (USD/tonne),8393.6
2023-12,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-12,Fluorspar ore FK-85 (USD/tonne),365.0
2023-12,Gold (USD/troy oz),2029.3
2023-12,"Iron concentrate, 60% (USD/tonne)",119.4
2023-12,"Iron ore, 56% (USD/tonne)",104.4
2023-12,Lead (USD/tonne),2035.8
2023-12,"Manganese, 36% (USD/tonne)",152.1
2023-12,Molybdenum (USD/tonne),40337.6
2023-12,Silver (USD/troy oz),24.0
2023-12,Tin (USD/tonne),24592.0
2023-12,"Tungsten, 65% (USD/tonne)",16974.9
2023-12,"Tungsten, 99% (USD/tonne)",39014.3
2023-12,Uranium (USD/kg),200.6
2023-12,Zinc (USD/tonne),2501.3
2024-01,Copper (USD/tonne),8343.5
2024-01,Fluorspar concentrate FF-97 (USD/tonne),415.0
2024-01,Fluorspar ore FK-85 (USD/tonne),365.0
2024-01,Gold (USD/troy oz),2034.0
2024-01,"Iron concentrate, 60% (USD/tonne)",121.6
2024-01,"Iron ore, 56% (USD/tonne)",106.6
2024-01,Lead (USD/tonne),2086.9
2024-01,"Manganese, 36% (USD/tonne)",156.4
2024-01,Molybdenum (USD/tonne),43744.7
2024-01,Silver (USD/troy oz),23.0
2024-01,Tin (USD/tonne),25186.6
2024-01,"Tungsten, 65% (USD/tonne)",16992.9
2024-01,"Tungsten, 99% (USD/tonne)",39354.6
2024-01,Uranium (USD/kg),221.0
2024-01,Zinc (USD/tonne),2520.9
2024-02,Copper (USD/tonne),8310.1
2024-02,Fluorspar concentrate FF-97 (USD/tonne),415.0
2024-02,Fluorspar ore FK-85 (USD/tonne),365.0
2024-02,Gold (USD/troy oz),2023.2
2024-02,"Iron concentrate, 60% (USD/tonne)",113.8
2024-02,"Iron ore, 56% (USD/tonne)",99.5
2024-02,Lead (USD/tonne),2083.6
2024-02,"Manganese, 36% (USD/tonne)",160.8
2024-02,Molybdenum (USD/tonne),43781.7
2024-02,Silver (USD/troy oz),22.7
2024-02,Tin (USD/tonne),26140.5
2024-02,"Tungsten, 65% (USD/tonne)",17154.6
2024-02,"Tungsten, 99% (USD/tonne)",39633.3
2024-02,Uranium (USD/kg),209.4
