сар,бараа,үнэ
2022-07,Зэс (ам.долл/тн),9032.0
2022-07,"Манган, 36% (ам.долл/тн)",211.1
2022-07,Молибдени (ам.долл/тн),38286.5
2022-07,Мөнгө (ам.долл/унци),21.5
2022-07,"Төмөр, 56% хүдэр (ам.долл/тн)",85.5
2022-07,"Төмөр, 60% баяжмал (ам.долл/тн)",114.2
2022-07,Уран (ам.долл/кг),109.7
2022-07,Хар тугалга (ам.долл/тн),2066.7
2022-07,Цагаан тугалга (ам.долл/тн),31749.9
2022-07,Цайр (ам.долл/тн),3643.3
2022-08,Алт (ам.долл/унци),1737.6
2022-08,"Гянтболд, 65% (ам.долл/тн)",16298.7
2022-08,"Гянтболд, 99% (ам.долл/тн)",42450.0
2022-08,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",355.0
2022-08,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2022-08,Зэс (ам.долл/тн),7529.8
2022-08,"Манган, 36% (ам.долл/тн)",210.5
2022-08,Молибдени (ам.долл/тн),31239.5
2022-08,Мөнгө (ам.долл/унци),19.1
2022-08,"Төмөр, 56% хүдэр (ам.долл/тн)",76.5
2022-08,"Төмөр, 60% баяжмал (ам.долл/тн)",95.8
2022-08,Хар тугалга (ам.долл/тн),1976.3
2022-08,Цагаан тугалга (ам.долл/тн),25173.1
2022-08,Цайр (ам.долл/тн),3097.2
2022-09,Алт (ам.долл/унци),1765.7
2022-09,"Гянтболд, 65% (ам.долл/тн)",17154.7
2022-09,"Гянтболд, 99% (ам.долл/тн)",41960.0
2022-09,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",362.4
2022-09,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2022-09,Зэс (ам.долл/тн),7960.3
2022-09,"Манган, 36% (ам.долл/тн)",192.7
2022-09,Молибдени (ам.долл/тн),32529.2
2022-09,Мөнгө (ам.долл/унци),19.8
2022-09,"Төмөр, 56% хүдэр (ам.долл/тн)",74.7
2022-09,"Төмөр, 60% баяжмал (ам.долл/тн)",96.0
2022-09,Хар тугалга (ам.долл/тн),2077.9
2022-09,Цагаан тугалга (ам.долл/тн),24494.6
2022-09,Цайр (ам.долл/тн),3572.9
2022-10,Алт (ам.долл/унци),1648.2
2022-10,"Гянтболд, 65% (ам.долл/тн)",16542.0
2022-10,"Гянтболд, 99% (ам.долл/тн)",41880.0
2022-10,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",362.4
2022-10,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2022-10,Зэс (ам.долл/тн),7734.7
2022-10,"Манган, 36% (ам.долл/тн)",172.1
2022-10,Молибдени (ам.долл/тн),37699.1
2022-10,Мөнгө (ам.долл/унци),18.9
2022-10,"Төмөр, 56% хүдэр (ам.долл/тн)",69.5
2022-10,"Төмөр, 60% баяжмал (ам.долл/тн)",88.8
2022-10,Хар тугалга (ам.долл/тн),1874.5
2022-10,Цагаан тугалга (ам.долл/тн),21258.0
2022-10,Цайр (ам.долл/тн),3136.4
2022-11,Алт (ам.долл/унци),1746.1
2022-11,"Гянтболд, 65% (ам.долл/тн)",15155.3
2022-11,"Гянтболд, 99% (ам.долл/тн)",39470.0
2022-11,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",362.4
2022-11,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2022-11,Зэс (ам.долл/тн),7621.2
2022-11,"Манган, 36% (ам.долл/тн)",172.3
2022-11,Молибдени (ам.долл/тн),41667.4
2022-11,Мөнгө (ам.долл/унци),18.3
2022-11,"Төмөр, 56% хүдэр (ам.долл/тн)",69.4
2022-11,"Төмөр, 60% баяжмал (ам.долл/тн)",83.7
2022-11,Хар тугалга (ам.долл/тн),1989.2
2022-11,Цагаан тугалга (ам.долл/тн),19406.2
2022-11,Цайр (ам.долл/тн),2959.8
2022-12,Алт (ам.долл/унци),1803.7
2022-12,"Гянтболд, 65% (ам.долл/тн)",15084.8
2022-12,"Гянтболд, 99% (ам.долл/тн)",39000.0
2022-12,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",362.4
2022-12,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2022-12,Зэс (ам.долл/тн),8057.2
2022-12,"Манган, 36% (ам.долл/тн)",170.8
2022-12,Молибдени (ам.долл/тн),42527.2
2022-12,Мөнгө (ам.долл/унци),19.9
2022-12,"Төмөр, 56% хүдэр (ам.долл/тн)",69.1
2022-12,"Төмөр, 60% баяжмал (ам.долл/тн)",83.1
2022-12,Хар тугалга (ам.долл/тн),2099.8
2022-12,Цагаан тугалга (ам.долл/тн),21136.4
2022-12,Цайр (ам.долл/тн),2923.5
2023-01,Алт (ам.долл/унци),1705.7
2023-01,"Гянтболд, 65% (ам.долл/тн)",16137.0
2023-01,"Гянтболд, 99% (ам.долл/тн)",39360.0
2023-01,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",364.0
2023-01,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.5
2023-01,Зэс (ам.долл/тн),8367.2
2023-01,"Манган, 36% (ам.долл/тн)",177.8
2023-01,Молибдени (ам.долл/тн),54784.9
2023-01,Мөнгө (ам.долл/унци),20.9
2023-01,"Төмөр, 56% хүдэр (ам.долл/тн)",79.7
2023-01,"Төмөр, 60% баяжмал (ам.долл/тн)",100.6
2023-01,Хар тугалга (ам.долл/тн),2212.5
2023-01,Цагаан тугалга (ам.долл/тн),24099.0
2023-01,Цайр (ам.долл/тн),3128.2
2023-02,Алт (ам.долл/унци),1898.2
2023-02,"Гянтболд, 65% (ам.долл/тн)",17183.9
2023-02,"Гянтболд, 99% (ам.долл/тн)",40000.0
2023-02,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-02,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2023-02,Зэс (ам.долл/тн),8999.3
2023-02,"Манган, 36% (ам.долл/тн)",186.4
2023-02,Молибдени (ам.долл/тн),69578.0
2023-02,Мөнгө (ам.долл/унци),23.8
2023-02,"Төмөр, 56% хүдэр (ам.долл/тн)",90.8
2023-02,"Төмөр, 60% баяжмал (ам.долл/тн)",114.7
2023-02,Уран (ам.долл/кг),111.6
2023-02,Хар тугалга (ам.долл/тн),2208.2
2023-02,Цагаан тугалга (ам.долл/тн),28080.7
2023-02,Цайр (ам.долл/тн),3289.4
2023-03,Алт (ам.долл/унци),1912.7
2023-03,"Гянтболд, 65% (ам.долл/тн)",17002.3
2023-03,"Гянтболд, 99% (ам.долл/тн)",41640.0
2023-03,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-03,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2023-03,Зэс (ам.долл/тн),8834.7
2023-03,"Манган, 36% (ам.долл/тн)",189.8
2023-03,Молибдени (ам.долл/тн),68574.2
2023-03,Мөнгө (ам.долл/унци),21.9
2023-03,"Төмөр, 56% хүдэр (ам.долл/тн)",96.4
2023-03,"Төмөр, 60% баяжмал (ам.долл/тн)",114.6
2023-03,Уран (ам.долл/кг),111.3
2023-03,Хар тугалга (ам.долл/тн),2114.1
2023-03,Цагаан тугалга (ам.долл/тн),23997.4
2023-03,Цайр (ам.долл/тн),2955.6
2023-04,Алт (ам.долл/унци),2000.4
2023-04,"Гянтболд, 65% (ам.долл/тн)",16976.2
2023-04,"Гянтболд, 99% (ам.долл/тн)",41075.0
2023-04,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-04,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
2023-04,Зэс (ам.долл/тн),8813.4
2023-04,"Манган, 36% (ам.долл/тн)",175.9
2023-04,Молибдени (ам.долл/тн),45608.7
2023-04,Мөнгө (ам.долл/унци),25.0
2023-04,"Төмөр, 56% хүдэр (ам.долл/тн)",87.8
2023-04,"Төмөр, 60% баяжмал (ам.долл/тн)",104.7
2023-04,Уран (ам.долл/кг),116.7
2023-04,Хар тугалга (ам.долл/тн),2148.3
2023-04,Цагаан тугалга (ам.долл/тн),25865.6
2023-04,Цайр (ам.долл/тн),2772.1
2023-05,Алт (ам.долл/унци),1988.7
2023-05,"Гянтболд, 65% (ам.долл/тн)",17237.0
2023-05,"Гянтболд, 99% (ам.долл/тн)",41661.9
2023-05,"Жонш, баяжмал ФФ-97 (ам.долл/тн)",415.0
2023-05,"Жонш, хүдэр ФК-85 (ам.долл/тн)",355.0
