сар,үзүүлэлт,утга
2021-08,Өмнөговь | Дизель,2550.0
2021-08,Өмнөговь | Дизель Евро-5,1850.0
2021-09,Архангай | АИ-92,2100.0
2021-09,Архангай | Дизель,2690.0
2021-09,Архангай | Дизель Евро-5,2500.0
2021-09,Баян-Өлгий | АИ-92,2200.0
2021-09,Баян-Өлгий | Дизель Евро-5,2250.0
2021-09,Баянхонгор | АИ-92,2130.0
2021-09,Баянхонгор | Дизель Евро-5,2450.0
2021-09,Булган | АИ-92,2060.0
2021-09,Булган | Дизель,2640.0
2021-09,Булган | Дизель Евро-5,2460.0
2021-09,Говь-Алтай | АИ-92,2200.0
2021-09,Говь-Алтай | Дизель Евро-5,2470.0
2021-09,Говьсүмбэр | АИ-92,2080.0
2021-09,Говьсүмбэр | Дизель,2600.0
2021-09,Говьсүмбэр | Дизель Евро-5,2490.0
2021-09,Дорноговь | АИ-92,2120.0
2021-09,Дорноговь | Дизель,2600.0
2021-09,Дорноговь | Дизель Евро-5,2500.0
2021-09,Дорнод | АИ-92,2150.0
2021-09,Дорнод | Дизель,2650.0
2021-09,Дорнод | Дизель Евро-5,2400.0
2021-09,Дундговь | АИ-92,2130.0
2021-09,Дундговь | Дизель,2610.0
2021-09,Дундговь | Дизель Евро-5,2530.0
2021-09,Завхан | АИ-92,2290.0
2021-09,Завхан | Дизель Евро-5,2450.0
2021-09,Орхон | АИ-92,2040.0
2021-09,Орхон | Дизель,2640.0
2021-09,Орхон | Дизель Евро-5,2460.0
2021-09,Сэлэнгэ | АИ-92,2040.0
2021-09,Сэлэнгэ | Дизель,2580.0
2021-09,Сэлэнгэ | Дизель Евро-5,2490.0
2021-09,Сүхбаатар | АИ-92,2170.0
2021-09,Сүхбаатар | Дизель,2600.0
2021-09,Сүхбаатар | Дизель Евро-5,2620.0
2021-09,Төв | АИ-92,2040.0
2021-09,Төв | Дизель,2570.0
2021-09,Төв | Дизель Евро-5,2390.0
2021-09,Увс | АИ-92,2200.0
2021-09,Увс | Дизель Евро-5,2400.0
2021-09,Улаанбаатар | Дизель,2550.0
2021-09,Улаанбаатар | Дизель Евро-5,2490.0
2021-09,Ховд | АИ-92,2220.0
2021-09,Ховд | Дизель Евро-5,2400.0
2021-09,Хэнтий | АИ-92,2120.0
2021-09,Хэнтий | Дизель,2600.0
2021-09,Хэнтий | Дизель Евро-5,2400.0
2021-09,Хөвсгөл | АИ-92,2130.0
2021-09,Хөвсгөл | Дизель,2650.0
2021-09,Хөвсгөл | Дизель Евро-5,2450.0
2021-09,Өвөрхангай | АИ-92,2070.0
2021-09,Өвөрхангай | Дизель,2690.0
2021-09,Өвөрхангай | Дизель Евро-5,2400.0
2021-09,Өмнөговь | АИ-92,2150.0
2021-09,Өмнөговь | Дизель,2650.0
2021-09,Өмнөговь | Дизель Евро-5,2500.0
2021-10,Архангай | АИ-92,2100.0
2021-10,Архангай | АИ-92 Евро-5,2130.0
2021-10,Баян-Өлгий | АИ-92,2400.0
2021-10,Баян-Өлгий | АИ-92 Евро-5,2330.0
2021-10,Баянхонгор | АИ-92,2130.0
2021-10,Баянхонгор | АИ-92 Евро-5,2160.0
2021-10,Булган | АИ-92,2060.0
2021-10,Булган | АИ-92 Евро-5,2090.0
2021-10,Говь-Алтай | АИ-92,2300.0
2021-10,Говь-Алтай | АИ-92 Евро-5,2230.0
2021-10,Говьсүмбэр | АИ-92,2080.0
2021-10,Говьсүмбэр | АИ-92 Евро-5,2110.0
2021-10,Дорноговь | АИ-92,2150.0
2021-10,Дорноговь | АИ-92 Евро-5,2150.0
2021-10,Дорнод | АИ-92,2150.0
2021-10,Дорнод | АИ-92 Евро-5,2160.0
2021-10,Дундговь | АИ-92,2130.0
2021-10,Дундговь | АИ-92 Евро-5,2160.0
2021-10,Завхан | АИ-92,2490.0
2021-10,Завхан | АИ-92 Евро-5,2420.0
2021-10,Орхон | АИ-92,2040.0
2021-10,Орхон | АИ-92 Евро-5,2090.0
2021-10,Сэлэнгэ | АИ-92,2040.0
2021-10,Сэлэнгэ | АИ-92 Евро-5,2070.0
2021-10,Сүхбаатар | АИ-92,2170.0
2021-10,Сүхбаатар | АИ-92 Евро-5,2200.0
2021-10,Төв | АИ-92,2040.0
2021-10,Төв | АИ-92 Евро-5,2100.0
2021-10,Увс | АИ-92,2400.0
2021-10,Увс | АИ-92 Евро-5,2330.0
2021-10,Улаанбаатар | АИ-92 Евро-5,2070.0
2021-10,Ховд | АИ-92,2420.0
2021-10,Ховд | АИ-92 Евро-5,2350.0
2021-10,Хэнтий | АИ-92,2120.0
2021-10,Хэнтий | АИ-92 Евро-5,2150.0
2021-10,Хөвсгөл | АИ-92,2130.0
