Region,Month,value
 Uvs,2018-12,0.0
 Uvs,2019-01,16.0
 Uvs,2019-02,13.0
 Uvs,2019-03,12.0
 Uvs,2019-04,22.0
 Uvs,2019-05,14.0
 Uvs,2019-06,8.0
 Uvs,2019-07,9.0
 Uvs,2019-08,13.0
 Uvs,2019-09,18.0
 Uvs,2019-10,7.0
 Uvs,2019-11,6.0
 Uvs,2019-12,23.0
 Uvs,2020-01,12.0
 Uvs,2020-02,12.0
 Uvs,2020-03,12.0
 Uvs,2020-04,7.0
 Uvs,2020-05,0.0
 Uvs,2020-06,0.0
 Uvs,2020-07,15.0
 Uvs,2020-08,12.0
 Uvs,2020-09,0.0
 Uvs,2020-10,18.0
 Uvs,2020-11,11.0
 Uvs,2020-12,7.0
 Uvs,2021-01,27.0
 Uvs,2021-02,17.0
 Uvs,2021-03,0.0
 Uvs,2021-04,6.0
 Uvs,2021-05,31.0
 Uvs,2021-06,28.0
 Uvs,2021-07,13.0
 Uvs,2021-08,16.0
 Uvs,2021-09,19.0
 Uvs,2021-10,15.0
 Uvs,2021-11,35.0
 Uvs,2021-12,6.0
 Uvs,2022-01,6.0
 Uvs,2022-02,16.0
 Uvs,2022-03,6.0
 Uvs,2022-04,6.0
 Uvs,2022-05,0.0
 Uvs,2022-06,19.0
 Uvs,2022-07,22.0
 Uvs,2022-08,6.0
 Uvs,2022-09,19.0
 Uvs,2022-10,28.0
 Uvs,2022-11,6.0
 Uvs,2022-12,6.0
 Uvs,2023-01,5.0
 Uvs,2023-02,17.0
 Uvs,2023-03,19.0
 Uvs,2023-04,16.0
 Uvs,2023-05,19.0
 Uvs,2023-06,13.0
 Uvs,2023-07,20.0
 Uvs,2023-08,12.0
 Uvs,2023-09,12.0
 Uvs,2023-10,21.0
 Uvs,2023-11,26.0
 Uvs,2023-12,24.0
 Uvs,2024-01,24.0
 Uvs,2024-02,22.0
 Uvs,2024-03,16.0
 Uvs,2024-04,23.0
 Uvs,2024-05,21.0
 Uvs,2024-06,20.0
 Uvs,2024-07,0.0
 Uvs,2024-08,17.0
 Uvs,2024-09,50.0
 Uvs,2024-10,33.0
 Uvs,2024-11,0.0
 Uvs,2024-12,11.0
 Uvs,2025-01,13.0
 Uvs,2025-02,11.0
 Uvs,2025-03,11.0
 Uvs,2025-04,23.0
 Uvs,2025-05,14.0
 Uvs,2025-06,41.0
 Uvs,2025-07,34.0
 Khovd,2026-07,8.0
 Khovd,2026-06,16.0
 Khovd,2026-05,19.0
 Khovd,2026-04,0.0
 Khovd,2026-03,17.0
 Khovd,2026-02,18.0
 Khovd,2026-01,0.0
 Khovd,2025-12,7.0
 Khovd,2025-11,16.0
 Khovd,2025-10,14.0
 Khovd,2025-09,18.0
 Khovd,2025-08,21.0
 Khovd,2016-01,20.0
 Khovd,2016-02,0.0
 Khovd,2016-03,0.0
 Khovd,2016-04,0.0
 Khovd,2016-05,24.0
 Khovd,2016-06,6.0
 Khovd,2016-07,0.0
 Khovd,2016-08,14.0
 Khovd,2016-09,0.0
 Khovd,2016-10,0.0
 Khovd,2016-11,8.0
 Khovd,2016-12,20.0
 Khovd,2017-01,21.0
 Khovd,2017-02,0.0
 Khovd,2017-03,7.0
 Khovd,2017-04,0.0
 Khovd,2017-05,0.0
 Khovd,2017-06,7.0
 Khovd,2017-07,0.0
 Khovd,2017-08,13.0
 Khovd,2017-09,6.0
 Khovd,2017-10,22.0
 Khovd,2017-11,16.0
 Khovd,2017-12,0.0
 Khovd,2018-01,13.0
 Khovd,2018-02,13.0
 Khovd,2018-03,13.0
 Khovd,2018-04,6.0
 Khovd,2018-05,11.0
 Khovd,2018-06,12.0
 Khovd,2018-07,25.0
 Khovd,2018-08,0.0
 Khovd,2018-09,32.0
 Khovd,2018-10,0.0
 Khovd,2018-11,25.0
 Khovd,2018-12,6.0
 Khovd,2019-01,18.0
 Khovd,2019-02,13.0
 Khovd,2019-03,29.0
 Khovd,2019-04,25.0
 Khovd,2019-05,12.0
 Khovd,2019-06,7.0
 Khovd,2019-07,16.0
