Indicator,Station location,Month,value
Average air temperature, Ulgii,2007-12,-15.2
Average air temperature, Ulgii,2007-11,-7.2
Average air temperature, Ulgii,2007-10,0.0
Average air temperature, Ulgii,2007-09,11.0
Average air temperature, Ulgii,2007-08,16.3
Average air temperature, Ulgii,2007-07,20.0
Average air temperature, Ulgii,2007-06,16.7
Average air temperature, Ulgii,2007-05,11.1
Average air temperature, Ulgii,2007-04,5.1
Average air temperature, Ulgii,2007-03,-5.7
Average air temperature, Ulgii,2007-02,-7.4
Average air temperature, Ulgii,2007-01,-14.9
Average air temperature, Ulgii,2006-12,-11.5
Average air temperature, Ulgii,2006-11,-5.4
Average air temperature, Ulgii,2006-10,3.1
Average air temperature, Ulgii,2006-09,9.9
Average air temperature, Ulgii,2006-08,15.5
Average air temperature, Ulgii,2006-07,17.6
Average air temperature, Ulgii,2006-06,15.8
Average air temperature, Ulgii,2006-05,8.1
Average air temperature, Ulgii,2006-04,3.5
Average air temperature, Ulgii,2006-03,-3.8
Average air temperature, Ulgii,2006-02,-10.6
Average air temperature, Ulgii,2006-01,-15.7
Average air temperature, Ulgii,2005-12,-18.1
Average air temperature, Ulgii,2005-11,-7.2
Average air temperature, Ulgii,2005-10,2.6
Average air temperature, Ulgii,2005-09,10.1
Average air temperature, Ulgii,2005-08,15.9
Average air temperature, Ulgii,2005-07,19.0
Average air temperature, Ulgii,2005-06,15.3
Average air temperature, Ulgii,2005-05,9.1
Average air temperature, Ulgii,2005-04,4.2
Average air temperature, Ulgii,2005-03,-6.4
Average air temperature, Ulgii,2005-02,-24.3
Average air temperature, Ulgii,2005-01,-23.4
Average air temperature, Ulaangom,2025-11,-7.7
Average air temperature, Ulaangom,2025-10,-0.5
Average air temperature, Ulaangom,2025-09,11.7
Average air temperature, Ulaangom,2025-08,18.5
Average air temperature, Ulaangom,2025-07,22.0
Average air temperature, Ulaangom,2025-06,21.5
Average air temperature, Ulaangom,2025-5,12.7
Average air temperature, Ulaangom,2025-4,4.5
Average air temperature, Ulaangom,2025-3,-16.5
Average air temperature, Ulaangom,2025-2,-25.4
Average air temperature, Ulaangom,2025-1,-29.0
Average air temperature, Ulaangom,2024-12,-21.6
Average air temperature, Ulaangom,2024-11,-5.7
Average air temperature, Ulaangom,2024-10,4.0
Average air temperature, Ulaangom,2024-09,10.4
Average air temperature, Ulaangom,2024-08,21.0
Average air temperature, Ulaangom,2024-07,22.4
Average air temperature, Ulaangom,2024-06,19.8
Average air temperature, Ulaangom,2024-05,15.1
Average air temperature, Ulaangom,2024-04,1.6
Average air temperature, Ulaangom,2024-03,-17.1
Average air temperature, Ulaangom,2024-02,-29.1
Average air temperature, Ulaangom,2024-01,-30.0
Average air temperature, Ulaangom,2023-12,-25.9
Average air temperature, Ulaangom,2023-11,-7.6
Average air temperature, Ulaangom,2023-10,5.0
Average air temperature, Ulaangom,2023-09,11.9
Average air temperature, Ulaangom,2023-08,20.1
Average air temperature, Ulaangom,2023-07,21.5
Average air temperature, Ulaangom,2023-06,19.7
Average air temperature, Ulaangom,2023-05,9.1
Average air temperature, Ulaangom,2023-04,-0.8
Average air temperature, Ulaangom,2023-03,-11.4
Average air temperature, Ulaangom,2023-02,-26.3
Average air temperature, Ulaangom,2023-01,-27.7
Average air temperature, Ulaangom,2022-12,-23.4
Average air temperature, Ulaangom,2022-11,-9.0
Average air temperature, Ulaangom,2022-10,0.5
Average air temperature, Ulaangom,2022-09,12.9
Average air temperature, Ulaangom,2022-08,17.0
Average air temperature, Ulaangom,2022-07,19.3
Average air temperature, Ulaangom,2022-06,19.6
Average air temperature, Ulaangom,2022-05,15.3
Average air temperature, Ulaangom,2022-04,3.2
Average air temperature, Ulaangom,2022-03,-14.6
Average air temperature, Ulaangom,2022-02,-30.9
Average air temperature, Ulaangom,2022-01,-28.8
Average air temperature, Ulaangom,2021-12,-19.9
Average air temperature, Ulaangom,2021-11,-8.6
Average air temperature, Ulaangom,2021-10,1.4
Average air temperature, Ulaangom,2021-09,11.1
Average air temperature, Ulaangom,2021-08,17.4
Average air temperature, Ulaangom,2021-07,21.6
Average air temperature, Ulaangom,2021-06,16.9
Average air temperature, Ulaangom,2021-05,12.2
Average air temperature, Ulaangom,2021-04,4.5
Average air temperature, Ulaangom,2021-03,-12.2
Average air temperature, Ulaangom,2021-02,-22.4
Average air temperature, Ulaangom,2021-01,-30.7
Average air temperature, Ulaangom,2020-12,-22.3
Average air temperature, Ulaangom,2020-11,-6.5
Average air temperature, Ulaangom,2020-10,0.4
Average air temperature, Ulaangom,2020-09,10.8
Average air temperature, Ulaangom,2020-08,16.8
Average air temperature, Ulaangom,2020-07,20.2
Average air temperature, Ulaangom,2020-06,17.8
Average air temperature, Ulaangom,2020-05,15.3
Average air temperature, Ulaangom,2020-04,1.8
Average air temperature, Ulaangom,2020-03,-16.0
Average air temperature, Ulaangom,2020-02,-24.7
Average air temperature, Ulaangom,2020-01,-30.3
Average air temperature, Ulaangom,2019-12,-20.9
Average air temperature, Ulaangom,2019-11,-9.3
Average air temperature, Ulaangom,2019-10,1.6
Average air temperature, Ulaangom,2019-09,13.2
Average air temperature, Ulaangom,2019-08,18.2
Average air temperature, Ulaangom,2019-07,19.1
Average air temperature, Ulaangom,2019-06,19.0
Average air temperature, Ulaangom,2019-05,10.7
Average air temperature, Ulaangom,2019-04,5.8
Average air temperature, Ulaangom,2019-03,-13.8
Average air temperature, Ulaangom,2019-02,-30.7
Average air temperature, Ulaangom,2019-01,-32.8
Average air temperature, Ulaangom,2018-12,-27.2
Average air temperature, Ulaangom,2018-11,-10.8
Average air temperature, Ulaangom,2018-10,3.6
Average air temperature, Ulaangom,2018-09,10.3
Average air temperature, Ulaangom,2018-08,19.1
Average air temperature, Ulaangom,2018-07,19.2
Average air temperature, Ulaangom,2018-06,21.3
Average air temperature, Ulaangom,2018-05,11.6
Average air temperature, Ulaangom,2018-04,4.9
Average air temperature, Ulaangom,2018-03,-12.5
Average air temperature, Ulaangom,2018-02,-29.2
Average air temperature, Ulaangom,2018-01,-34.6
Average air temperature, Ulaangom,2017-12,-23.2
Average air temperature, Ulaangom,2017-11,-9.7
Average air temperature, Ulaangom,2017-10,-0.7
Average air temperature, Ulaangom,2017-09,10.5
Average air temperature, Ulaangom,2017-08,18.1
Average air temperature, Ulaangom,2017-07,21.2
Average air temperature, Ulaangom,2017-06,21.1
Average air temperature, Ulaangom,2017-05,13.8
Average air temperature, Ulaangom,2017-04,6.3
Average air temperature, Ulaangom,2017-03,-13.7
Average air temperature, Ulaangom,2017-02,-27.2
Average air temperature, Ulaangom,2017-01,-29.1
Average air temperature, Ulaangom,2016-12,-24.1
Average air temperature, Ulaangom,2016-11,-13.7
Average air temperature, Ulaangom,2016-10,-0.4
Average air temperature, Ulaangom,2016-09,13.3
Average air temperature, Ulaangom,2016-08,17.0
Average air temperature, Ulaangom,2016-07,22.9
Average air temperature, Ulaangom,2016-06,20.0
Average air temperature, Ulaangom,2016-05,10.5
Average air temperature, Ulaangom,2016-04,3.1
Average air temperature, Ulaangom,2016-03,-14.1
Average air temperature, Ulaangom,2016-02,-29.7
Average air temperature, Ulaangom,2016-01,-32.4
Average air temperature, Ulaangom,2015-12,-20.0
Average air temperature, Ulaangom,2015-11,-9.8
Average air temperature, Ulaangom,2015-10,2.6
Average air temperature, Ulaangom,2015-09,10.3
Average air temperature, Ulaangom,2015-08,19.6
Average air temperature, Ulaangom,2015-07,21.6
Average air temperature, Ulaangom,2015-06,19.3
Average air temperature, Ulaangom,2015-05,12.3
Average air temperature, Ulaangom,2015-04,0.6
Average air temperature, Ulaangom,2015-03,-12.8
Average air temperature, Ulaangom,2015-02,-25.6
Average air temperature, Ulaangom,2015-01,-28.5
Average air temperature, Ulaangom,2014-12,-24.1
Average air temperature, Ulaangom,2014-11,-7.3
Average air temperature, Ulaangom,2014-10,3.3
Average air temperature, Ulaangom,2014-09,9.8
Average air temperature, Ulaangom,2014-08,18.7
Average air temperature, Ulaangom,2014-07,21.4
Average air temperature, Ulaangom,2014-06,17.4
Average air temperature, Ulaangom,2014-05,11.2
Average air temperature, Ulaangom,2014-04,2.9
Average air temperature, Ulaangom,2014-03,-16.0
Average air temperature, Ulaangom,2014-02,-30.4
Average air temperature, Ulaangom,2014-01,-29.7
Average air temperature, Ulaangom,2013-12,-17.5
Average air temperature, Ulaangom,2013-11,-5.9
Average air temperature, Ulaangom,2013-10,0.8
Average air temperature, Ulaangom,2013-09,8.8
Average air temperature, Ulaangom,2013-08,18.1
Average air temperature, Ulaangom,2013-07,20.3
Average air temperature, Ulaangom,2013-06,16.8
Average air temperature, Ulaangom,2013-05,7.2
Average air temperature, Ulaangom,2013-04,5.0
Average air temperature, Ulaangom,2013-03,-9.4
Average air temperature, Ulaangom,2013-02,-27.5
Average air temperature, Ulaangom,2013-01,-30.8
Average air temperature, Ulaangom,2012-12,-27.7
Average air temperature, Ulaangom,2012-11,-11.0
Average air temperature, Ulaangom,2012-10,1.9
Average air temperature, Ulaangom,2012-09,12.0
Average air temperature, Ulaangom,2012-08,17.0
Average air temperature, Ulaangom,2012-07,21.2
Average air temperature, Ulaangom,2012-06,20.6
Average air temperature, Ulaangom,2012-05,11.5
Average air temperature, Ulaangom,2012-04,4.0
Average air temperature, Ulaangom,2012-03,-20.1
Average air temperature, Ulaangom,2012-02,-32.2
Average air temperature, Ulaangom,2012-01,-34.2
Average air temperature, Ulaangom,2011-12,-23.5
Average air temperature, Ulaangom,2011-11,-9.0
Average air temperature, Ulaangom,2011-10,3.3
Average air temperature, Ulaangom,2011-09,9.6
Average air temperature, Ulaangom,2011-08,18.5
Average air temperature, Ulaangom,2011-07,19.2
Average air temperature, Ulaangom,2011-06,19.9
Average air temperature, Ulaangom,2011-05,11.1
Average air temperature, Ulaangom,2011-04,3.7
Average air temperature, Ulaangom,2011-03,-19.1
Average air temperature, Ulaangom,2011-02,-27.0
Average air temperature, Ulaangom,2011-01,-36.6
Average air temperature, Ulaangom,2010-12,-24.0
Average air temperature, Ulaangom,2010-11,-6.0
Average air temperature, Ulaangom,2010-10,2.8
Average air temperature, Ulaangom,2010-09,11.2
Average air temperature, Ulaangom,2010-08,18.3
Average air temperature, Ulaangom,2010-07,20.6
Average air temperature, Ulaangom,2010-06,19.3
Average air temperature, Ulaangom,2010-05,10.2
Average air temperature, Ulaangom,2010-04,-2.1
Average air temperature, Ulaangom,2010-03,-19.2
Average air temperature, Ulaangom,2010-02,-33.9
Average air temperature, Ulaangom,2010-01,-35.1
Average air temperature, Ulaangom,2009-12,-28.3
Average air temperature, Ulaangom,2009-11,-13.1
Average air temperature, Ulaangom,2009-10,2.7
Average air temperature, Ulaangom,2009-09,9.5
Average air temperature, Ulaangom,2009-08,17.5
Average air temperature, Ulaangom,2009-07,20.3
Average air temperature, Ulaangom,2009-06,16.0
Average air temperature, Ulaangom,2009-05,13.2
Average air temperature, Ulaangom,2009-04,2.4
Average air temperature, Ulaangom,2009-03,-19.0
Average air temperature, Ulaangom,2009-02,-28.3
Average air temperature, Ulaangom,2009-01,-32.9
Average air temperature, Ulaangom,2008-12,-23.5
Average air temperature, Ulaangom,2008-11,-4.9
Average air temperature, Ulaangom,2008-10,2.7
Average air temperature, Ulaangom,2008-09,10.4
Average air temperature, Ulaangom,2008-08,18.3
Average air temperature, Ulaangom,2008-07,20.9
Average air temperature, Ulaangom,2008-06,19.6
Average air temperature, Ulaangom,2008-05,12.4
Average air temperature, Ulaangom,2008-04,4.6
Average air temperature, Ulaangom,2008-03,-11.7
Average air temperature, Ulaangom,2008-02,-31.4
Average air temperature, Ulaangom,2008-01,-35.6
Average air temperature, Ulaangom,2007-12,-23.8
Average air temperature, Ulaangom,2007-11,-8.1
Average air temperature, Ulaangom,2007-10,0.6
Average air temperature, Ulaangom,2007-09,12.3
Average air temperature, Ulaangom,2007-08,18.8
Average air temperature, Ulaangom,2007-07,23.0
Average air temperature, Ulaangom,2007-06,18.1
Average air temperature, Ulaangom,2007-05,13.7
Average air temperature, Ulaangom,2007-04,6.6
Average air temperature, Ulaangom,2007-03,-15.0
Average air temperature, Ulaangom,2007-02,-23.6
Average air temperature, Ulaangom,2007-01,-27.9
Average air temperature, Ulaangom,2006-12,-18.5
Average air temperature, Ulaangom,2006-11,-4.8
Average air temperature, Ulaangom,2006-10,1.8
Average air temperature, Ulaangom,2006-09,10.4
Average air temperature, Ulaangom,2006-08,16.5
Average air temperature, Ulaangom,2006-07,19.5
Average air temperature, Ulaangom,2006-06,18.4
Average air temperature, Ulaangom,2006-05,10.1
Average air temperature, Ulaangom,2006-04,1.7
Average air temperature, Ulaangom,2006-03,-15.4
Average air temperature, Ulaangom,2006-02,-25.1
Average air temperature, Ulaangom,2006-01,-31.7
Average air temperature, Ulaangom,2005-12,-27.5
Average air temperature, Ulaangom,2005-11,-7.4
Average air temperature, Ulaangom,2005-10,3.1
Average air temperature, Ulaangom,2005-09,10.5
Average air temperature, Ulaangom,2005-08,17.8
Average air temperature, Ulaangom,2005-07,21.8
Average air temperature, Ulaangom,2005-06,18.5
