Statistical indicator,Division,Year,value
"GDP, at current prices", Accommodation and food service activities,2021,383080.13
"GDP, at current prices", Accommodation and food service activities,2020,321437.6
"GDP, at current prices", Accommodation and food service activities,2019,399649.85
"GDP, at current prices", Accommodation and food service activities,2018,344523.29
"GDP, at current prices", Accommodation and food service activities,2017,277562.35
"GDP, at current prices", Accommodation and food service activities,2016,262722.28
"GDP, at current prices", Accommodation and food service activities,2015,220586.27
"GDP, at current prices", Accommodation and food service activities,2014,196564.8
"GDP, at current prices", Accommodation and food service activities,2013,205536.5
"GDP, at current prices", Accommodation and food service activities,2012,186231.84
"GDP, at current prices", Accommodation and food service activities,2011,94304.58
"GDP, at current prices", Accommodation and food service activities,2010,52631.01
"GDP, at current prices", Accommodation and food service activities,2009,43680.76
"GDP, at current prices", Accommodation and food service activities,2008,38971.38
"GDP, at current prices", Accommodation and food service activities,2007,28806.45
"GDP, at current prices", Accommodation and food service activities,2006,22994.25
"GDP, at current prices", Accommodation and food service activities,2005,19341.73
"GDP, at current prices", Accommodation and food service activities,2004,15024.03
"GDP, at current prices", Accommodation and food service activities,2003,12633.13
"GDP, at current prices", Accommodation and food service activities,2002,12085.5
"GDP, at current prices", Accommodation and food service activities,2001,11275.07
"GDP, at current prices", Accommodation and food service activities,2000,10766.78
"GDP, at current prices", Accommodation and food service activities,1999,12702.3
"GDP, at current prices", Accommodation and food service activities,1998,9879.45
"GDP, at current prices", Accommodation and food service activities,1997,9039.3
"GDP, at current prices", Accommodation and food service activities,1996,6024.88
"GDP, at current prices", Accommodation and food service activities,1995,3997.63
"GDP, at current prices", Accommodation and food service activities,1994,2019.6
"GDP, at current prices", Accommodation and food service activities,1993,1067.02
"GDP, at current prices", Accommodation and food service activities,1992,386.36
"GDP, at current prices", Accommodation and food service activities,1991,182.89
"GDP, at current prices", Accommodation and food service activities,1990,66.38
"GDP, at current prices", Information and communication,2025,1826150.14
"GDP, at current prices", Information and communication,2024,1645120.23
"GDP, at current prices", Information and communication,2023,1354597.73
"GDP, at current prices", Information and communication,2022,1064948.82
"GDP, at current prices", Information and communication,2021,915445.17
"GDP, at current prices", Information and communication,2020,716561.2
"GDP, at current prices", Information and communication,2019,666048.03
"GDP, at current prices", Information and communication,2018,571713.89
"GDP, at current prices", Information and communication,2017,505351.9
"GDP, at current prices", Information and communication,2016,505614.26
"GDP, at current prices", Information and communication,2015,476929.48
"GDP, at current prices", Information and communication,2014,492124.3
"GDP, at current prices", Information and communication,2013,413946.4
"GDP, at current prices", Information and communication,2012,379560.92
"GDP, at current prices", Information and communication,2011,290259.87
"GDP, at current prices", Information and communication,2010,255691.23
"GDP, at current prices", Information and communication,2009,215504.03
"GDP, at current prices", Information and communication,2008,221338.95
"GDP, at current prices", Information and communication,2007,166189.04
"GDP, at current prices", Information and communication,2006,100501.96
"GDP, at current prices", Information and communication,2005,96261.09
"GDP, at current prices", Information and communication,2004,75269.91
"GDP, at current prices", Information and communication,2003,62869.21
"GDP, at current prices", Information and communication,2002,56627.69
"GDP, at current prices", Information and communication,2001,44550.03
"GDP, at current prices", Information and communication,2000,34563.93
"GDP, at current prices", Information and communication,1999,26790.68
"GDP, at current prices", Information and communication,1998,24198.94
"GDP, at current prices", Information and communication,1997,20394.54
"GDP, at current prices", Information and communication,1996,15080.68
"GDP, at current prices", Information and communication,1995,11366.29
"GDP, at current prices", Information and communication,1994,8929.74
"GDP, at current prices", Information and communication,1993,4232.02
"GDP, at current prices", Information and communication,1992,811.0
"GDP, at current prices", Information and communication,1991,397.53
"GDP, at current prices", Information and communication,1990,381.7
"GDP, at current prices", Financial and insurance activities,2025,5174552.61
"GDP, at current prices", Financial and insurance activities,2024,4246731.93
"GDP, at current prices", Financial and insurance activities,2023,3258459.17
"GDP, at current prices", Financial and insurance activities,2022,2556872.94
"GDP, at current prices", Financial and insurance activities,2021,2059826.24
"GDP, at current prices", Financial and insurance activities,2020,1690125.0
"GDP, at current prices", Financial and insurance activities,2019,1561497.33
"GDP, at current prices", Financial and insurance activities,2018,1274357.68
"GDP, at current prices", Financial and insurance activities,2017,1103919.61
"GDP, at current prices", Financial and insurance activities,2016,904982.42
"GDP, at current prices", Financial and insurance activities,2015,823238.19
"GDP, at current prices", Financial and insurance activities,2014,1041781.8
"GDP, at current prices", Financial and insurance activities,2013,782311.6
"GDP, at current prices", Financial and insurance activities,2012,583528.62
"GDP, at current prices", Financial and insurance activities,2011,381098.01
"GDP, at current prices", Financial and insurance activities,2010,239607.2
"GDP, at current prices", Financial and insurance activities,2009,212723.99
"GDP, at current prices", Financial and insurance activities,2008,236327.42
"GDP, at current prices", Financial and insurance activities,2007,155198.13
"GDP, at current prices", Financial and insurance activities,2006,116016.01
"GDP, at current prices", Financial and insurance activities,2005,112278.77
"GDP, at current prices", Financial and insurance activities,2004,97562.45
"GDP, at current prices", Financial and insurance activities,2003,74166.01
"GDP, at current prices", Financial and insurance activities,2002,49892.1
"GDP, at current prices", Financial and insurance activities,2001,42534.68
"GDP, at current prices", Financial and insurance activities,2000,30754.37
"GDP, at current prices", Financial and insurance activities,1999,26252.03
"GDP, at current prices", Financial and insurance activities,1998,17020.33
"GDP, at current prices", Financial and insurance activities,1997,17163.96
"GDP, at current prices", Financial and insurance activities,1996,14234.4
"GDP, at current prices", Financial and insurance activities,1995,8559.62
"GDP, at current prices", Financial and insurance activities,1994,4324.3
"GDP, at current prices", Financial and insurance activities,1993,2284.67
"GDP, at current prices", Financial and insurance activities,1992,827.26
"GDP, at current prices", Financial and insurance activities,1991,391.6
"GDP, at current prices", Financial and insurance activities,1990,142.13
"GDP, at current prices", Real estate activities,2025,4230720.83
"GDP, at current prices", Real estate activities,2024,3584145.8
"GDP, at current prices", Real estate activities,2023,3068580.0
"GDP, at current prices", Real estate activities,2022,2452027.05
"GDP, at current prices", Real estate activities,2021,2075068.95
"GDP, at current prices", Real estate activities,2020,1997001.6
"GDP, at current prices", Real estate activities,2019,1948334.21
"GDP, at current prices", Real estate activities,2018,1859795.67
"GDP, at current prices", Real estate activities,2017,1751760.25
"GDP, at current prices", Real estate activities,2016,1636439.04
"GDP, at current prices", Real estate activities,2015,1602187.02
"GDP, at current prices", Real estate activities,2014,1495080.1
"GDP, at current prices", Real estate activities,2013,1162261.2
"GDP, at current prices", Real estate activities,2012,957312.59
"GDP, at current prices", Real estate activities,2011,884158.24
"GDP, at current prices", Real estate activities,2010,687697.57
"GDP, at current prices", Real estate activities,2009,479635.26
"GDP, at current prices", Real estate activities,2008,345984.18
"GDP, at current prices", Real estate activities,2007,186823.55
"GDP, at current prices", Real estate activities,2006,173845.98
"GDP, at current prices", Real estate activities,2005,160522.68
"GDP, at current prices", Real estate activities,2004,137681.23
"GDP, at current prices", Real estate activities,2003,125910.88
"GDP, at current prices", Real estate activities,2002,113957.48
"GDP, at current prices", Real estate activities,2001,83370.28
"GDP, at current prices", Real estate activities,2000,48907.1
"GDP, at current prices", Real estate activities,1999,35839.0
"GDP, at current prices", Real estate activities,1998,23253.96
"GDP, at current prices", Real estate activities,1997,19573.66
"GDP, at current prices", Real estate activities,1996,15848.19
"GDP, at current prices", Real estate activities,1995,13151.79
