id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Нэр
4654,,,Point,106.826389,47.91359,Хувийн цэцэрлэг,"СХД 29-р хороо Москва хороолол, 137 байрны 4",Хүслийн дагина
4655,,,Point,106.801699,47.972912,Хувийн цэцэрлэг,СХД 24-р хороо Зээлийн 28,Цахирмаа
4656,,,Point,106.784853,48.01757,Хувийн цэцэрлэг,"СХД 24-р хороо, Баруун салаа Нумтын ам",Дөрвөн бэрх
4657,,,Point,106.591562,47.889521,Хувийн цэцэрлэг,"СХД 32-р хороо, 384-ийн гарам 19-4",Мэргэн хүү
4658,,,Point,106.72019,47.995978,Хувийн цэцэрлэг,"СХД 1-р хороо, 79-101",Чимэг
4659,,,Point,106.810263,47.924238,Хувийн цэцэрлэг,СХД 27-р хороо Орчлон хороолол 45-р байр,Анаанда
4660,,,Point,106.838751,47.912681,Хувийн цэцэрлэг,СХД 15-р хороо 19-р байр,Ирмүүн ертөнц
4661,,,Point,106.902815,47.923427,Хувийн цэцэрлэг,ЧД 5-р хороо 6-р байр,Бяцхан ертөнц
4662,,,Point,106.901359,47.916595,Хувийн цэцэрлэг,ЧД 3-р хороо 29-р байр 31тоот,Бөндөөлхөн
4663,,,Point,106.909338,47.903924,Хувийн цэцэрлэг,ХУД 1-р хороо 24-р байр,Оргил
4664,,,Point,106.897247,47.890122,Хувийн цэцэрлэг,"ХУД 15-р хороо, Цэлмэг хотхон 87-р байр",Миний гэр
4665,,,Point,106.908031,47.900328,Хувийн цэцэрлэг,ХУД 1-р хороо Jetro supermarket-ийн чанх хойно,Миний найз
4666,,,Point,106.912567,47.894431,Хувийн цэцэрлэг,ХУД 11-р хороо Цэцэг хотхон 46C байр,Тором
4667,,,Point,106.912079,47.882332,Хувийн цэцэрлэг,"ХУД 11-р хороо, Гэрэлт хотхон 23/2 байр",Гурван хөгжил зайсан
4668,,,Point,106.759283,47.856377,Хувийн цэцэрлэг,"ХУД 16-р хороо, Буянт-ухаа 2-72тоот",Тугалхан
4669,,,Point,106.899115,47.900553,Хувийн цэцэрлэг,ХУД 2-р хороо 18-51 тоот,Бэбэгийн найзууд
4670,,,Point,106.9058,47.887762,Хувийн цэцэрлэг,ХУД 11-р хороо хатан туул хотхон 30-р байр,Гурван хөгжил зайсан
4671,,,Point,106.906879,47.891144,Хувийн цэцэрлэг,ХУД 15-р хороо 49-1101 тоот,Мандухай
4672,,,Point,106.917447,47.899722,Хувийн цэцэрлэг,ХУД 15-р хороо Рапид хотхон 23-50 тоот,Жаргалтай ирээдүй
4673,,,Point,106.919212,47.893572,Хувийн цэцэрлэг,"ХУД 11-р хороо Зайсангийн гудамж,Алтай Хаус хотхон",Сараанцэцэг
4674,,,Point,106.908633,47.911052,Хувийн цэцэрлэг,СБД 3-р хороо 12/1-р байр,Том жаал
4675,,,Point,106.901898,47.892392,Хувийн цэцэрлэг,"ХУД 15-р хороо,115 дугаар дунд сургуулийн зүүн талд 10:00-21:00",Талст - 21
4676,,,Point,106.901069,47.917075,Хувийн цэцэрлэг,"ЧД 3-р хороо, Энхтайвны өргөн чөлөө 31",Закира-Од
4677,,,Point,106.920181,47.978895,Хувийн цэцэрлэг,"ЧД 19-р хороо, Тахилт 4-157 тоот",Цэцэнхүү
4678,,,Point,106.90448,47.920053,Хувийн цэцэрлэг,"ЧД 3-р хороо, 39-р байр",Соронз цэцэрлэг
4679,,,Point,106.902658,47.957368,Хувийн цэцэрлэг,ЧД 13-р хороо,Хишиг ундрам
4680,,,Point,106.90255,47.964015,Хувийн цэцэрлэг,ЧД 15-р хороо 56-847 тоот,Бөндөөлхөн1
4681,,,Point,106.903503,47.937306,Хувийн цэцэрлэг,"ЧД 10-р хороо, 3-р гудамж 63 тоот",Сэргэлэн божуухай
4682,,,Point,106.896225,47.961997,Хувийн цэцэрлэг,ЧД 15-р хороо Жаргалантын 11-р гудамж 0312 тоот,Шүрэн дэгд
4683,,,Point,106.917895,47.974433,Хувийн цэцэрлэг,"ЧД 18-р хороо, Яргайтын 41-681",Хундан цагаан хурга
4684,,,Point,106.91052,47.950964,Хувийн цэцэрлэг,ЧД 13-р хороо сургуулийн 35-706 тоот,Ягаан Зулзаахай
4685,,,Point,106.88812,47.932783,Хувийн цэцэрлэг,ЧД 7-р хороо Хувьсгалчдын В 353 тоот,Мөнхбуянт
4686,,,Point,106.877667,47.970707,Хувийн цэцэрлэг,"ЧД 16-р хороо, согоотын 59, 618В",Ачлал цэцэрлэг
4687,,,Point,106.9121,47.951094,Хувийн цэцэрлэг,"ЧД 14-р хороо, Хайлааст 3-11",Далай багачууд
4688,,,Point,106.924264,47.995249,Хувийн цэцэрлэг,"ЧД 19-р хороо, 23-р байр",Элбэрэлт эрдэнэ
4689,,,Point,106.88416,47.968035,Хувийн цэцэрлэг,"ЧД 16-р хороо, Согоот 5-583",Мандах наран цэцэрлэг
4690,,,Point,106.900133,47.923099,Хувийн цэцэрлэг,"ЧД 5-р хороо, Түвдэнпэлжээлин хийдийн 1 давхарт",Зээмаа цэцэрлэг
4691,,,Point,106.906403,47.926822,Хувийн цэцэрлэг,"ЧД 6-р хороо, 28-р байр",Нандин гурван эрдэнэ
4692,,,Point,106.883652,47.938202,Хувийн цэцэрлэг,"ЧД 7-р хороо, Хувьсгалчдын 618",Даргиатын жаалууд цэцэрлэг
4693,,,Point,106.911957,47.94917,Хувийн цэцэрлэг,"ЧД 13-р хороо, Хайлааст 21",Ордын жаалууд
4694,,,Point,106.908579,47.917776,Хувийн цэцэрлэг,"ЧД 1-р хороо, 1-р 40-н мянгат, 24-р байр",Алунгоо Ашид
4695,,,Point,107.25501,47.781106,Хувийн цэцэрлэг,"НД 1-р хороо, Уурхайчдын 9-Б-478",Хос Ирээдүй
4696,,,Point,107.238222,47.774393,Хувийн цэцэрлэг,"НД 7-р хороо, Шинэ налайх 10-р байр 103, 104 тоот",Шинэ Хүслэн цэцэрлэг
4697,,,Point,107.250637,47.768434,Хувийн цэцэрлэг,"НД 2-р хороо, Дамдины 87/А",Билэг төгс
4698,,,Point,107.393251,47.782914,Хувийн цэцэрлэг,"НД 5-р хороо, 77-33 тоот",Тэнүүн төгөл
4699,,,Point,106.927824,47.926263,Хувийн цэцэрлэг,"СБД 7-р хороо, 11-р хороолол 10-р байр",Бөмбөлөг
4700,,,Point,106.922473,47.926618,Хувийн цэцэрлэг,"СБД 8-р хороо, Ж. Батмөнхийн гудамж, Чингис хаан дээд сургууль",Гүүр
4701,,,Point,106.924463,47.925525,Хувийн цэцэрлэг,"СБД 8-р хороо, 11-р хороолол, Батмөнхийн гудамж, 42А",Жүржхэн
4702,,,Point,106.9301,47.923736,Хувийн цэцэрлэг,"СБД 7-р хороо, 11-р хороолол Бээжингийн гудамж 42",Орчлон
4703,,,Point,106.905951,47.91135,Хувийн цэцэрлэг,СБД 3-р хороо 12-1-1 тоот,Том Жаал
4704,,,Point,106.922637,47.927908,Хувийн цэцэрлэг,"СБД 7-р хороо, 11-р хороолол Содномын гудамж",Үрэл хотхон
