id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,"Барилга, байгууламжийн нэр"
5925,,,Point,106.828893,47.910231,Төрийн байгууллага,Фужи Алтай
5926,,,Point,106.914203,47.925054,Төрийн байгууллага,Peace building
5927,,,Point,106.914897,47.917336,Төрийн байгууллага,Експресс цамхаг
5928,,,Point,106.914889,47.917463,Төрийн байгууллага,Експресс цамхаг
5929,,,Point,106.908347,47.913563,Төрийн байгууллага,Д.Нацагдоржийн нэрэмжит номын сан
5930,,,Point,106.932431,47.918635,Төрийн байгууллага,Засгийн газрын IX байр
5931,,,Point,106.932336,47.919026,Төрийн байгууллага,Засгийн газрын IXа байр
5932,,,Point,106.906899,47.922493,Төрийн байгууллага,Засгийн газрын XI байр
5933,,,Point,106.913593,47.923714,Төрийн байгууллага,Засгийн газрын II байр
5934,,,Point,106.887616,47.896737,Төрийн байгууллага,Хөдөлмөрийн төв бирж
5935,,,Point,106.915529,47.918857,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарди ордон 9 давхар"
5936,,,Point,106.915458,47.918862,Төрийн байгууллага,"Засаг захиргааны 2 байр, Хангарди ордон"
5937,,,Point,106.928021,47.909187,Төрийн байгууллага,Замын цагдаагийн газар
5938,,,Point,106.923989,47.920286,Төрийн байгууллага,Спортын төв ордон
5939,,,Point,106.939687,47.982173,Төрийн байгууллага,Цагдаагийн 2-р хэлтэс
5940,,,Point,106.809944,47.92489,Төрийн байгууллага,Сонгинохайрхан дүүрэг цагдаагийн 1-р хэлтэс
5941,,,Point,106.913135,47.949004,Төрийн байгууллага,Цагдаагийн 2-р хэлтэс
5942,,,Point,106.810971,47.866456,Төрийн байгууллага,Цагдаагийн 2-р хэлтсийн байр
5943,,,Point,106.894923,47.897662,Төрийн байгууллага,ХУД-ийн татварын хэлтсийн байр
5944,,,Point,106.892781,47.897502,Төрийн байгууллага,ХУД-ийн замын цагдаагийн тасгийн байр
5945,,,Point,106.928324,47.909179,Төрийн байгууллага,Tээврийн цагдаагийн алба
5946,,,Point,106.887835,47.928444,Төрийн байгууллага,Улаанбаатар телевиз
5947,,,Point,106.93003,47.92912,Төрийн байгууллага,Улсын бүртгэлийн ерөнхий газар
