id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур орон зайн бүс,Нэр
77382,,,Polygon,106.790357,47.909556,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77383,,,Polygon,106.790335,47.909557,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77385,,,Polygon,106.79032,47.909558,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77387,,,Polygon,106.793493,47.909397,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77388,,,Polygon,106.790305,47.909559,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77390,,,Polygon,106.79029,47.90956,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77392,,,Polygon,106.789317,47.909496,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77394,,,Polygon,106.723513,47.843626,Ногоон байгууламж,Ногоон байгууламж,
77395,,,Polygon,106.828917,47.872519,Ногоон байгууламж,Ногоон байгууламж,
77397,,,Polygon,106.79012,47.909596,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77399,,,Polygon,106.787451,47.909728,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77400,,,Polygon,106.792453,47.909532,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77402,,,Polygon,106.787846,47.909757,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77404,,,Polygon,106.788217,47.909781,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77405,,,Polygon,106.904212,47.907675,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77407,,,Polygon,106.792569,47.909662,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77409,,,Polygon,106.788712,47.909805,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77410,,,Polygon,106.78757,47.909518,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77412,,,MultiPolygon,106.842894,47.908937,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77414,,,Polygon,106.79146,47.90978,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77415,,,Polygon,106.788693,47.909529,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77417,,,Polygon,106.928387,47.907373,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77419,,,Polygon,106.94766,47.907119,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77420,,,Polygon,106.975362,47.905964,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77422,,,Polygon,106.903463,47.908193,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77424,,,Polygon,106.927593,47.907892,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
