id,object_no,object_name,geom_type,lon,lat
1052590,,,MultiPolygon,106.909998,47.87682
1052591,,,MultiPolygon,106.914661,47.880432
1052593,,,MultiPolygon,106.9183,47.879615
1052594,,,MultiPolygon,106.930489,47.893081
1052596,,,MultiPolygon,106.930152,47.924298
1052597,,,MultiPolygon,106.928721,47.905289
1052599,,,MultiPolygon,106.938087,47.906063
1052602,,,MultiPolygon,106.939553,47.906009
1052603,,,MultiPolygon,106.94092,47.906004
1052605,,,MultiPolygon,106.933273,47.910277
1052606,,,MultiPolygon,106.945555,47.912383
1052608,,,MultiPolygon,106.930582,47.903877
1052609,,,MultiPolygon,106.94025,47.913866
1052612,,,MultiPolygon,106.935446,47.91534
1052613,,,MultiPolygon,106.932778,47.914783
1052615,,,MultiPolygon,106.939009,47.917012
1052616,,,MultiPolygon,106.932889,47.926226
1052618,,,MultiPolygon,106.933885,47.924
1052620,,,MultiPolygon,106.932684,47.908806
1052621,,,MultiPolygon,106.936806,47.888815
1052624,,,MultiPolygon,106.92706,47.905414
1052625,,,MultiPolygon,106.895456,47.914223
1052627,,,MultiPolygon,106.94662,47.920218
1052628,,,MultiPolygon,106.904403,47.891423
1052629,,,MultiPolygon,106.971405,47.918879
1052631,,,MultiPolygon,106.975211,47.912895
1052632,,,MultiPolygon,106.976001,47.914521
1052635,,,MultiPolygon,106.814434,47.942829
1052636,,,MultiPolygon,106.93065,47.889778
1052638,,,MultiPolygon,106.922445,47.882555
1052639,,,MultiPolygon,106.91957,47.878322
1052641,,,MultiPolygon,106.908667,47.875832
1052642,,,MultiPolygon,106.904432,47.87078
1052644,,,MultiPolygon,106.912136,47.88318
1052646,,,MultiPolygon,106.897044,47.883685
1052648,,,MultiPolygon,106.898207,47.890147
1052649,,,MultiPolygon,106.90043,47.891493
1052650,,,MultiPolygon,106.913107,47.888048
1052652,,,MultiPolygon,106.930812,47.901278
1052653,,,MultiPolygon,106.886545,47.903437
1052655,,,MultiPolygon,106.887552,47.902632
1052656,,,MultiPolygon,106.886784,47.902088
1052659,,,MultiPolygon,106.909902,47.920887
1052660,,,MultiPolygon,106.915865,47.928197
1052662,,,MultiPolygon,106.889129,47.922671
1052663,,,MultiPolygon,106.910522,47.89199
1052665,,,MultiPolygon,106.919494,47.893257
1052666,,,MultiPolygon,106.912717,47.894479
1052668,,,MultiPolygon,106.90925,47.898185
1052669,,,MultiPolygon,106.888957,47.918966
1052672,,,MultiPolygon,106.844574,47.91122
1052673,,,MultiPolygon,106.82862,47.909998
1052675,,,MultiPolygon,106.919034,47.903453
1052676,,,MultiPolygon,106.942121,47.909608
1052678,,,MultiPolygon,106.978375,47.923371
1052679,,,MultiPolygon,106.971019,47.924789
1052681,,,MultiPolygon,106.951551,47.926065
1052683,,,MultiPolygon,106.95509,47.920939
1052685,,,MultiPolygon,106.98045,47.915539
