id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
2112,,,Point,106.937523,47.91484,Эмийн сан,Барагшун,BZD-18
2113,,,Point,106.960195,47.920888,Эмийн сан,Шинэ од,BZD-5
2114,,,Point,106.958725,47.920066,Эмийн сан,Аж богд,BZD-5
2115,,,Point,106.958553,47.917764,Эмийн сан,Болор хишиг,BZD-5
2116,,,Point,106.965672,47.927748,Эмийн сан,Зууны дэвшил,BZD-5
2117,,,Point,106.960522,47.917191,Эмийн сан,Тун-энх,BZD-5
2118,,,Point,106.948276,47.921007,Эмийн сан,Цагаан үрэл,BZD-4
2119,,,Point,106.943757,47.908961,Эмийн сан,Алтайн увидас,BZD-6
2120,,,Point,106.946448,47.915059,Эмийн сан,Yes,BZD-6
2121,,,Point,106.942939,47.921899,Эмийн сан,Ачит тун,BZD-7
2122,,,Point,106.943094,47.92101,Эмийн сан,Монос сансар,BZD-7
2123,,,Point,106.943671,47.923395,Эмийн сан,Сансар,BZD-7
2124,,,Point,107.001636,47.912243,Эмийн сан,Сайхан сүмбэр,BZD-8
2125,,,Point,106.993444,47.923884,Эмийн сан,Амин-эрдэнэ,BZD-8
2126,,,Point,106.976645,47.91477,Эмийн сан,Ягаан мугз,BZD-8
2127,,,Point,106.974697,47.915792,Эмийн сан,Даш,BZD-8
2128,,,Point,106.999669,47.916215,Эмийн сан,Монос цагаан суврага,BZD-8
2129,,,Point,106.994885,47.923757,Эмийн сан,Евро фарм Эрдэнэтолгой,BZD-8
2130,,,Point,107.005065,47.934627,Эмийн сан,Батбямба,BZD-9
2131,,,Point,107.005904,47.9349,Эмийн сан,Даш-2,BZD-9
2132,,,Point,107.005048,47.934427,Эмийн сан,Баянцагаан гоёо,BZD-9
2133,,,Point,106.974298,47.920292,Эмийн сан,Гурван сайхан,BZD-16
2134,,,Point,106.984375,47.922772,Эмийн сан,Нахиа,BZD-16
2135,,,Point,106.974272,47.921002,Эмийн сан,МЭИКонцерний фарм,BZD-16
2136,,,Point,106.983069,47.920814,Эмийн сан,Лэ Шату,BZD-16
2137,,,Point,106.985082,47.921596,Эмийн сан,Жамьяанмядаг туул,BZD-16
2138,,,Point,106.936075,47.916074,Эмийн сан,Нахиа эрдэнэ,BZD-18
2139,,,Point,106.94264,47.912438,Эмийн сан,Бодизур,BZD-18
2140,,,Point,106.94803,47.91291,Эмийн сан,Календула,BZD-18
2141,,,Point,106.943506,47.914415,Эмийн сан,Зууннаст,BZD-18
2142,,,Point,107.133266,47.919335,Эмийн сан,Элбрус фарм,BZD-20
2143,,,Point,106.957452,47.908794,Эмийн сан,Тулга батт.ХХК,BZD-14
2144,,,Point,106.947304,47.908946,Эмийн сан,Юуникс таун.ХХК - Тулга Батт ХХК,BZD-14
2145,,,Point,106.955259,47.916778,Эмийн сан,Эдванс Хелд,BZD-14
2146,,,Point,106.951243,47.91791,Эмийн сан,Ганга тагшин,BZD-4
2147,,,Point,106.965715,47.908409,Эмийн сан,Өлзийдөл,BZD-13
2148,,,Point,106.972569,47.925607,Эмийн сан,Гануур хатан,BZD-22
2149,,,Point,106.973959,47.924332,Эмийн сан,Алтан могой,BZD-22
2150,,,Point,107.003798,47.929222,Эмийн сан,Хонгор алтай,BZD-17
2151,,,Point,106.93402,47.904793,Эмийн сан,Нахиа энх намуун,BZD-26
2152,,,Point,106.934573,47.904992,Эмийн сан,Гашуун булаг фарм,BZD-26
2153,,,Point,106.980596,47.911621,Эмийн сан,Ошин-Эрдэнэ,BZD-12
2154,,,Point,107.211061,47.791367,Эмийн сан,ПД.ХХК,BZD-11
2155,,,Point,107.00295,47.911248,Эмийн сан,Хангай ханы Хангарьд,BZD-13
2156,,,Point,106.970082,47.919921,Эмийн сан,Мөнгөн тооройт,BZD-22
2157,,,Point,107.000818,47.912328,Эмийн сан,МЭИКонцерний фарм-2,BZD-12
2158,,,Point,106.811097,47.92442,Эмийн сан,Лхам ундрам,SHD-27
2159,,,Point,106.779204,47.910795,Эмийн сан,ИСЦЗ,SHD-20
2160,,,Point,106.786035,47.91111,Эмийн сан,"Соцона ХХК,Гурван-Эрдэнэ",SHD-20
2161,,,Point,106.781508,47.918776,Эмийн сан,Булган оюу,SHD-2
2162,,,Point,106.813341,47.921732,Эмийн сан,Цээний үндэс,SHD-27
2163,,,Point,106.838632,47.95922,Эмийн сан,Манабэлдмэл,SHD-9
2164,,,Point,106.85307,47.913171,Эмийн сан,Рашаант баян үүл,SHD-12
2165,,,Point,106.839277,47.960048,Эмийн сан,Бөх магнай,SHD-10
2166,,,Point,106.867842,47.946296,Эмийн сан,Гүүн усны төл,SHD-11
2167,,,Point,106.813019,47.913035,Эмийн сан,Их шүүдэргэнэ,SHD-18
2168,,,Point,106.815605,47.91151,Эмийн сан,Хан-Өндөр,SHD-18
2169,,,Point,106.827815,47.912911,Эмийн сан,Хос Өлзийт мөрөн,SHD-29
2170,,,Point,106.813926,47.910257,Эмийн сан,Нинжнаваг,SHD-18
2171,,,Point,106.826442,47.912444,Эмийн сан,Бүднө,SHD-29
2172,,,Point,106.813589,47.919875,Эмийн сан,Тэгш хан оюут,SHD-19
2173,,,Point,106.814548,47.915197,Эмийн сан,Евро фарм снит,SHD-19
2174,,,Point,106.812754,47.918804,Эмийн сан,Зутай булган,SHD-19
