id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он,Хичээлийн байрны дугаар,Нэр,Барилгын дугаар,Цэцэрлэгийн ангилал
4426,,,Point,107.391641,47.780445,Цэцэрлэг,2014,2,153-р цэцэрлэг Б байр,Ц153,Ахлах
4427,,,Point,107.490395,47.352573,Цэцэрлэг,2004,2,44-р цэцэрлэг,Ц44,Ахлах
4428,,,Point,106.918314,47.957018,Цэцэрлэг,2012,1,150-р цэцэрлэг,Ц150,Ахлах
4429,,,Point,106.921391,47.934969,Цэцэрлэг,2015,1,216-р цэцэрлэг,Ц216,Ахлах
4430,,,Point,106.990872,48.016884,Цэцэрлэг,2015,1,217-р цэцэрлэг,Ц217,Ахлах
4431,,,Point,106.953309,47.988494,Цэцэрлэг,2015,1,225-р цэцэрлэг,Ц225,Ахлах
4432,,,Point,106.922496,47.932334,Цэцэрлэг,2015,1,234-р цэцэрлэг,Ц234,Ахлах
4433,,,Point,106.920333,47.953937,Цэцэрлэг,2017,1,248-р цэцэрлэг,Ц248,Ахлах
4434,,,Point,106.632069,47.90974,Цэцэрлэг,2014,1,195-р цэцэрлэг,Ц195,Ахлах
4435,,,Point,106.557782,47.995468,Цэцэрлэг,2014,1,196-р цэцэрлэг,Ц196,Ахлах
4436,,,Point,106.824881,47.945611,Цэцэрлэг,2015,1,227-р цэцэрлэг,Ц227,Ахлах
4437,,,Point,106.80153,47.923398,Цэцэрлэг,2016,1,226-р цэцэрлэг,Ц226,Ахлах
4438,,,Point,106.738196,47.911864,Цэцэрлэг,2017,1,244-р цэцэрлэг,Ц244,Ахлах
4439,,,Point,106.763073,47.856296,Цэцэрлэг,2015,1,223-р цэцэрлэг,Ц223,Ахлах
4440,,,Point,106.760516,47.858047,Цэцэрлэг,2015,1,230-р цэцэрлэг,Ц230,Ахлах
4441,,,Point,106.77633,47.857469,Цэцэрлэг,2016,1,243-р цэцэрлэг,Ц243,Ахлах
4442,,,Point,106.788251,47.845733,Цэцэрлэг,2018,1,250-р цэцэрлэг,Ц250,Ахлах
4443,,,Point,106.888299,47.920671,Цэцэрлэг,2016,1,242-р цэцэрлэг,Ц242,Ахлах
4444,,,Point,106.98276,47.94376,Цэцэрлэг,2016,1,210-р цэцэрлэг,Ц210,Ахлах
4445,,,Point,107.03619,47.918796,Цэцэрлэг,2017,1,211-р цэцэрлэг,Ц211,Ахлах
4446,,,Point,106.941477,47.946746,Цэцэрлэг,2016,1,212-р цэцэрлэг,Ц212,Ахлах
4447,,,Point,106.970047,47.941988,Цэцэрлэг,2016,1,213-р цэцэрлэг,Ц213,Ахлах
4448,,,Point,106.957905,47.919268,Цэцэрлэг,,1,146-р цэцэрлэг,Ц146,Ахлах
4449,,,Point,106.793319,47.937684,Цэцэрлэг,2018,1,253-р цэцэрлэг,Ц253,Ахлах
4450,,,Point,106.836863,47.919286,Цэцэрлэг,2018,2,125б-р цэцэрлэг,Ц125б,Ахлах
4451,,,Point,106.845291,47.924599,Цэцэрлэг,2018,1,282-р цэцэрлэг,Ц282,Ахлах
4452,,,Point,106.99981,47.915149,Цэцэрлэг,1984,1,177-р цэцэрлэг,Ц177,Ахлах
4453,,,Point,107.230965,48.026077,Цэцэрлэг,1987,2,63/2-р цэцэрлэг,Ц63/2,Ахлах
