огноо,валютын_код,валютын_нэр,ханш_төгрөг
2026-03-01,RUB,Оросын рубль,44.2739
2026-03-01,USD,Америк доллар,3566.5984
2026-04-01,CNY,Хятад юань,522.422
2026-04-01,EUR,Евро,4175.4867
2026-04-01,JPY,Японы иен,22.4263
2026-04-01,KRW,Солонгосын вон,2.4043
2026-04-01,RUB,Оросын рубль,46.5207
2026-04-01,USD,Америк доллар,3573.5427
2026-05-01,CNY,Хятад юань,525.9168
2026-05-01,EUR,Евро,4175.0023
2026-05-01,JPY,Японы иен,22.6213
2026-05-01,KRW,Солонгосын вон,2.3987
2026-05-01,RUB,Оросын рубль,48.9439
2026-05-01,USD,Америк доллар,3576.0874
2026-06-01,CNY,Хятад юань,527.876
2026-06-01,EUR,Евро,4118.6083
2026-06-01,JPY,Японы иен,22.2557
2026-06-01,KRW,Солонгосын вон,2.336
2026-06-01,RUB,Оросын рубль,48.476
2026-06-01,USD,Америк доллар,3576.686
2026-07-01,CNY,Хятад юань,528.6558
2026-07-01,EUR,Евро,4097.3174
2026-07-01,JPY,Японы иен,22.0748
2026-07-01,KRW,Солонгосын вон,2.3942
2026-07-01,RUB,Оросын рубль,46.3065
2026-07-01,USD,Америк доллар,3585.7745
2026-08-01,CNY,Хятад юань,533.5858
2026-08-01,EUR,Евро,4165.4719
2026-08-01,JPY,Японы иен,22.6113
2026-08-01,KRW,Солонгосын вон,2.561
2026-08-01,RUB,Оросын рубль,43.1887
2026-08-01,USD,Америк доллар,3594.3355
