Indicators,Region,Annual,value
 Regional diagnostic and treatment center, Khuvsgul,2018,0.0
 Regional diagnostic and treatment center, Khuvsgul,2017,0.0
 Regional diagnostic and treatment center, Khuvsgul,2016,0.0
 Regional diagnostic and treatment center, Khuvsgul,2015,0.0
 Regional diagnostic and treatment center, Central region,2024,1.0
 Regional diagnostic and treatment center, Central region,2023,1.0
 Regional diagnostic and treatment center, Central region,2022,1.0
 Regional diagnostic and treatment center, Central region,2021,1.0
 Regional diagnostic and treatment center, Central region,2020,1.0
 Regional diagnostic and treatment center, Central region,2019,1.0
 Regional diagnostic and treatment center, Central region,2018,1.0
 Regional diagnostic and treatment center, Central region,2017,1.0
 Regional diagnostic and treatment center, Central region,2016,1.0
 Regional diagnostic and treatment center, Central region,2015,1.0
 Regional diagnostic and treatment center, Govisumber,2024,0.0
 Regional diagnostic and treatment center, Govisumber,2023,0.0
 Regional diagnostic and treatment center, Govisumber,2022,0.0
 Regional diagnostic and treatment center, Govisumber,2021,0.0
 Regional diagnostic and treatment center, Govisumber,2020,0.0
 Regional diagnostic and treatment center, Govisumber,2019,0.0
 Regional diagnostic and treatment center, Govisumber,2018,0.0
 Regional diagnostic and treatment center, Govisumber,2017,0.0
 Regional diagnostic and treatment center, Govisumber,2016,0.0
 Regional diagnostic and treatment center, Govisumber,2015,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2024,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2023,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2022,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2021,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2020,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2019,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2018,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2017,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2016,0.0
 Regional diagnostic and treatment center, Darkhan-Uul,2015,0.0
 Regional diagnostic and treatment center, Dornogovi,2024,0.0
 Regional diagnostic and treatment center, Dornogovi,2023,0.0
 Regional diagnostic and treatment center, Dornogovi,2022,0.0
 Regional diagnostic and treatment center, Dornogovi,2021,0.0
 Regional diagnostic and treatment center, Dornogovi,2020,0.0
 Regional diagnostic and treatment center, Dornogovi,2019,0.0
 Regional diagnostic and treatment center, Dornogovi,2018,0.0
 Regional diagnostic and treatment center, Dornogovi,2017,0.0
 Regional diagnostic and treatment center, Dornogovi,2016,0.0
 Regional diagnostic and treatment center, Dornogovi,2015,0.0
 Regional diagnostic and treatment center, Dundgovi,2024,0.0
 Regional diagnostic and treatment center, Dundgovi,2023,0.0
 Regional diagnostic and treatment center, Dundgovi,2022,0.0
 Regional diagnostic and treatment center, Dundgovi,2021,0.0
 Regional diagnostic and treatment center, Dundgovi,2020,0.0
 Regional diagnostic and treatment center, Dundgovi,2019,0.0
 Regional diagnostic and treatment center, Dundgovi,2018,0.0
 Regional diagnostic and treatment center, Dundgovi,2017,0.0
 Regional diagnostic and treatment center, Dundgovi,2016,0.0
 Regional diagnostic and treatment center, Dundgovi,2015,0.0
 Regional diagnostic and treatment center, Umnugovi,2024,1.0
 Regional diagnostic and treatment center, Umnugovi,2023,1.0
 Regional diagnostic and treatment center, Umnugovi,2022,1.0
 Regional diagnostic and treatment center, Umnugovi,2021,1.0
 Regional diagnostic and treatment center, Umnugovi,2020,1.0
 Regional diagnostic and treatment center, Umnugovi,2019,1.0
 Regional diagnostic and treatment center, Umnugovi,2018,1.0
 Regional diagnostic and treatment center, Umnugovi,2017,1.0
 Regional diagnostic and treatment center, Umnugovi,2016,1.0
 Regional diagnostic and treatment center, Umnugovi,2015,1.0
 Regional diagnostic and treatment center, Selenge,2024,0.0
 Regional diagnostic and treatment center, Selenge,2023,0.0
 Regional diagnostic and treatment center, Selenge,2022,0.0
 Regional diagnostic and treatment center, Selenge,2021,0.0
 Regional diagnostic and treatment center, Selenge,2020,0.0
 Regional diagnostic and treatment center, Selenge,2019,0.0
 Regional diagnostic and treatment center, Selenge,2018,0.0
 Regional diagnostic and treatment center, Selenge,2017,0.0
 Regional diagnostic and treatment center, Selenge,2016,0.0
 Regional diagnostic and treatment center, Selenge,2015,0.0
 Regional diagnostic and treatment center, Tuv,2024,0.0
 Regional diagnostic and treatment center, Tuv,2023,0.0
 Regional diagnostic and treatment center, Tuv,2022,0.0
 Regional diagnostic and treatment center, Tuv,2021,0.0
 Regional diagnostic and treatment center, Tuv,2020,0.0
 Regional diagnostic and treatment center, Tuv,2019,0.0
 Regional diagnostic and treatment center, Tuv,2018,0.0
 Regional diagnostic and treatment center, Tuv,2017,0.0
 Regional diagnostic and treatment center, Tuv,2016,0.0
 Regional diagnostic and treatment center, Tuv,2015,0.0
 Regional diagnostic and treatment center, Eastern region,2024,1.0
 Regional diagnostic and treatment center, Eastern region,2023,1.0
 Regional diagnostic and treatment center, Eastern region,2022,1.0
 Regional diagnostic and treatment center, Eastern region,2021,1.0
 Regional diagnostic and treatment center, Eastern region,2020,1.0
 Regional diagnostic and treatment center, Eastern region,2019,1.0
 Regional diagnostic and treatment center, Eastern region,2018,1.0
 Regional diagnostic and treatment center, Eastern region,2017,1.0
 Regional diagnostic and treatment center, Eastern region,2016,1.0
 Regional diagnostic and treatment center, Eastern region,2015,1.0
 Regional diagnostic and treatment center, Dornod,2024,1.0
 Regional diagnostic and treatment center, Dornod,2023,1.0
 Regional diagnostic and treatment center, Dornod,2022,1.0
 Regional diagnostic and treatment center, Dornod,2021,1.0
 Regional diagnostic and treatment center, Dornod,2020,1.0
 Regional diagnostic and treatment center, Dornod,2019,1.0
 Regional diagnostic and treatment center, Dornod,2018,1.0
 Regional diagnostic and treatment center, Dornod,2017,1.0
 Regional diagnostic and treatment center, Dornod,2016,1.0
 Regional diagnostic and treatment center, Dornod,2015,1.0
 Regional diagnostic and treatment center, Sukhbaatar,2024,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2023,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2022,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2021,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2020,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2019,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2018,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2017,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2016,0.0
 Regional diagnostic and treatment center, Sukhbaatar,2015,0.0
 Regional diagnostic and treatment center, Khentii,2024,0.0
 Regional diagnostic and treatment center, Khentii,2023,0.0
 Regional diagnostic and treatment center, Khentii,2022,0.0
 Regional diagnostic and treatment center, Khentii,2021,0.0
 Regional diagnostic and treatment center, Khentii,2020,0.0
 Regional diagnostic and treatment center, Khentii,2019,0.0
 Regional diagnostic and treatment center, Khentii,2018,0.0
 Regional diagnostic and treatment center, Khentii,2017,0.0
 Regional diagnostic and treatment center, Khentii,2016,0.0
 Regional diagnostic and treatment center, Khentii,2015,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2024,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2023,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2022,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2021,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2020,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2019,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2018,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2017,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2016,0.0
 Regional diagnostic and treatment center, Ulaanbaatar,2015,0.0
 Regional diagnostic and treatment center,   Ulaanbaatar,2024,
 Regional diagnostic and treatment center,   Ulaanbaatar,2023,
 Regional diagnostic and treatment center,   Ulaanbaatar,2022,
 Regional diagnostic and treatment center,   Ulaanbaatar,2021,
 Regional diagnostic and treatment center,   Ulaanbaatar,2020,
 Regional diagnostic and treatment center,   Ulaanbaatar,2019,
 Regional diagnostic and treatment center,   Ulaanbaatar,2018,
 Regional diagnostic and treatment center,   Ulaanbaatar,2017,
 Regional diagnostic and treatment center,   Ulaanbaatar,2016,
 Regional diagnostic and treatment center,   Ulaanbaatar,2015,
 Central and specialised hospital,Total,2024,17.0
 Central and specialised hospital,Total,2023,17.0
 Central and specialised hospital,Total,2022,17.0
 Central and specialised hospital,Total,2021,16.0
 Central and specialised hospital,Total,2020,26.0
 Central and specialised hospital,Total,2019,24.0
 Central and specialised hospital,Total,2018,13.0
 Central and specialised hospital,Total,2017,13.0
 Central and specialised hospital,Total,2016,13.0
 Central and specialised hospital,Total,2015,13.0
 Central and specialised hospital, Western region,2024,0.0
 Central and specialised hospital, Western region,2023,0.0
 Central and specialised hospital, Western region,2022,0.0
 Central and specialised hospital, Western region,2021,0.0
 Central and specialised hospital, Western region,2020,4.0
 Central and specialised hospital, Western region,2019,4.0
 Central and specialised hospital, Western region,2018,0.0
 Central and specialised hospital, Western region,2017,0.0
 Central and specialised hospital, Western region,2016,0.0
 Central and specialised hospital, Western region,2015,0.0
 Central and specialised hospital, Bayan-Ulgii,2024,0.0
 Central and specialised hospital, Bayan-Ulgii,2023,0.0
 Central and specialised hospital, Bayan-Ulgii,2022,0.0
 Central and specialised hospital, Bayan-Ulgii,2021,0.0
 Central and specialised hospital, Bayan-Ulgii,2020,0.0
 Central and specialised hospital, Bayan-Ulgii,2019,0.0
 Central and specialised hospital, Bayan-Ulgii,2018,0.0
 Central and specialised hospital, Bayan-Ulgii,2017,0.0
 Central and specialised hospital, Bayan-Ulgii,2016,0.0
 Central and specialised hospital, Bayan-Ulgii,2015,0.0
 Central and specialised hospital, Govi-Altai,2024,0.0
 Central and specialised hospital, Govi-Altai,2023,0.0
 Central and specialised hospital, Govi-Altai,2022,0.0
 Central and specialised hospital, Govi-Altai,2021,0.0
 Central and specialised hospital, Govi-Altai,2020,1.0
 Central and specialised hospital, Govi-Altai,2019,1.0
 Central and specialised hospital, Govi-Altai,2018,0.0
 Central and specialised hospital, Govi-Altai,2017,0.0
 Central and specialised hospital, Govi-Altai,2016,0.0
 Central and specialised hospital, Govi-Altai,2015,0.0
 Central and specialised hospital, Zavkhan,2024,0.0
 Central and specialised hospital, Zavkhan,2023,0.0
 Central and specialised hospital, Zavkhan,2022,0.0
 Central and specialised hospital, Zavkhan,2021,0.0
 Central and specialised hospital, Zavkhan,2020,1.0
 Central and specialised hospital, Zavkhan,2019,1.0
 Central and specialised hospital, Zavkhan,2018,0.0
 Central and specialised hospital, Zavkhan,2017,0.0
 Central and specialised hospital, Zavkhan,2016,0.0
 Central and specialised hospital, Zavkhan,2015,0.0
 Central and specialised hospital, Uvs,2024,0.0
 Central and specialised hospital, Uvs,2023,0.0
 Central and specialised hospital, Uvs,2022,0.0
 Central and specialised hospital, Uvs,2021,0.0
 Central and specialised hospital, Uvs,2020,1.0
 Central and specialised hospital, Uvs,2019,1.0
 Central and specialised hospital, Uvs,2018,0.0
 Central and specialised hospital, Uvs,2017,0.0
 Central and specialised hospital, Uvs,2016,0.0
 Central and specialised hospital, Uvs,2015,0.0
 Central and specialised hospital, Khovd,2024,0.0
 Central and specialised hospital, Khovd,2023,0.0
 Central and specialised hospital, Khovd,2022,0.0
 Central and specialised hospital, Khovd,2021,0.0
 Central and specialised hospital, Khovd,2020,1.0
 Central and specialised hospital, Khovd,2019,1.0
 Central and specialised hospital, Khovd,2018,0.0
 Central and specialised hospital, Khovd,2017,0.0
 Central and specialised hospital, Khovd,2016,0.0
 Central and specialised hospital, Khovd,2015,0.0
 Central and specialised hospital, Khangai region,2024,1.0
 Central and specialised hospital, Khangai region,2023,1.0
 Central and specialised hospital, Khangai region,2022,1.0
 Central and specialised hospital, Khangai region,2021,0.0
 Central and specialised hospital, Khangai region,2020,3.0
 Central and specialised hospital, Khangai region,2019,3.0
 Central and specialised hospital, Khangai region,2018,0.0
 Central and specialised hospital, Khangai region,2017,0.0
 Central and specialised hospital, Khangai region,2016,0.0
 Central and specialised hospital, Khangai region,2015,0.0
 Central and specialised hospital, Arkhangai,2024,0.0
 Central and specialised hospital, Arkhangai,2023,0.0
 Central and specialised hospital, Arkhangai,2022,0.0
 Central and specialised hospital, Arkhangai,2021,0.0
 Central and specialised hospital, Arkhangai,2020,0.0
 Central and specialised hospital, Arkhangai,2019,0.0
 Central and specialised hospital, Arkhangai,2018,0.0
 Central and specialised hospital, Arkhangai,2017,0.0
 Central and specialised hospital, Arkhangai,2016,0.0
 Central and specialised hospital, Arkhangai,2015,0.0
 Central and specialised hospital, Bayankhongor,2024,0.0
 Central and specialised hospital, Bayankhongor,2023,0.0
 Central and specialised hospital, Bayankhongor,2022,0.0
 Central and specialised hospital, Bayankhongor,2021,0.0
 Central and specialised hospital, Bayankhongor,2020,1.0
 Central and specialised hospital, Bayankhongor,2019,1.0
 Central and specialised hospital, Bayankhongor,2018,0.0
 Central and specialised hospital, Bayankhongor,2017,0.0
 Central and specialised hospital, Bayankhongor,2016,0.0
 Central and specialised hospital, Bayankhongor,2015,0.0
 Central and specialised hospital, Bulgan,2024,0.0
 Central and specialised hospital, Bulgan,2023,0.0
 Central and specialised hospital, Bulgan,2022,0.0
 Central and specialised hospital, Bulgan,2021,0.0
 Central and specialised hospital, Bulgan,2020,0.0
 Central and specialised hospital, Bulgan,2019,0.0
 Central and specialised hospital, Bulgan,2018,0.0
 Central and specialised hospital, Bulgan,2017,0.0
 Central and specialised hospital, Bulgan,2016,0.0
 Central and specialised hospital, Bulgan,2015,0.0
 Central and specialised hospital, Orkhon,2024,1.0
 Central and specialised hospital, Orkhon,2023,1.0
 Central and specialised hospital, Orkhon,2022,1.0
 Central and specialised hospital, Orkhon,2021,0.0
 Central and specialised hospital, Orkhon,2020,0.0
 Central and specialised hospital, Orkhon,2019,0.0
 Central and specialised hospital, Orkhon,2018,0.0
 Central and specialised hospital, Orkhon,2017,0.0
 Central and specialised hospital, Orkhon,2016,0.0
 Central and specialised hospital, Orkhon,2015,0.0
 Central and specialised hospital, Uvurkhangai,2024,0.0
 Central and specialised hospital, Uvurkhangai,2023,0.0
 Central and specialised hospital, Uvurkhangai,2022,0.0
 Central and specialised hospital, Uvurkhangai,2021,0.0
 Central and specialised hospital, Uvurkhangai,2020,1.0
 Central and specialised hospital, Uvurkhangai,2019,1.0
 Central and specialised hospital, Uvurkhangai,2018,0.0
 Central and specialised hospital, Uvurkhangai,2017,0.0
 Central and specialised hospital, Uvurkhangai,2016,0.0
 Central and specialised hospital, Uvurkhangai,2015,0.0
 Central and specialised hospital, Khuvsgul,2024,0.0
 Central and specialised hospital, Khuvsgul,2023,0.0
 Central and specialised hospital, Khuvsgul,2022,0.0
 Central and specialised hospital, Khuvsgul,2021,0.0
 Central and specialised hospital, Khuvsgul,2020,1.0
 Central and specialised hospital, Khuvsgul,2019,1.0
 Central and specialised hospital, Khuvsgul,2018,0.0
 Central and specialised hospital, Khuvsgul,2017,0.0
 Central and specialised hospital, Khuvsgul,2016,0.0
 Central and specialised hospital, Khuvsgul,2015,0.0
 Central and specialised hospital, Central region,2024,0.0
 Central and specialised hospital, Central region,2023,0.0
 Central and specialised hospital, Central region,2022,0.0
 Central and specialised hospital, Central region,2021,0.0
 Central and specialised hospital, Central region,2020,3.0
 Central and specialised hospital, Central region,2019,2.0
 Central and specialised hospital, Central region,2018,0.0
 Central and specialised hospital, Central region,2017,0.0
 Central and specialised hospital, Central region,2016,0.0
 Central and specialised hospital, Central region,2015,0.0
 Central and specialised hospital, Govisumber,2024,0.0
 Central and specialised hospital, Govisumber,2023,0.0
 Central and specialised hospital, Govisumber,2022,0.0
 Central and specialised hospital, Govisumber,2021,0.0
 Central and specialised hospital, Govisumber,2020,0.0
 Central and specialised hospital, Govisumber,2019,0.0
 Central and specialised hospital, Govisumber,2018,0.0
 Central and specialised hospital, Govisumber,2017,0.0
 Central and specialised hospital, Govisumber,2016,0.0
 Central and specialised hospital, Govisumber,2015,0.0
 Central and specialised hospital, Darkhan-Uul,2024,0.0
 Central and specialised hospital, Darkhan-Uul,2023,0.0
 Central and specialised hospital, Darkhan-Uul,2022,0.0
 Central and specialised hospital, Darkhan-Uul,2021,0.0
 Central and specialised hospital, Darkhan-Uul,2020,0.0
 Central and specialised hospital, Darkhan-Uul,2019,0.0
 Central and specialised hospital, Darkhan-Uul,2018,0.0
 Central and specialised hospital, Darkhan-Uul,2017,0.0
 Central and specialised hospital, Darkhan-Uul,2016,0.0
 Central and specialised hospital, Darkhan-Uul,2015,0.0
 Central and specialised hospital, Dornogovi,2024,0.0
 Central and specialised hospital, Dornogovi,2023,0.0
 Central and specialised hospital, Dornogovi,2022,0.0
 Central and specialised hospital, Dornogovi,2021,0.0
 Central and specialised hospital, Dornogovi,2020,0.0
 Central and specialised hospital, Dornogovi,2019,0.0
 Central and specialised hospital, Dornogovi,2018,0.0
 Central and specialised hospital, Dornogovi,2017,0.0
 Central and specialised hospital, Dornogovi,2016,0.0
 Central and specialised hospital, Dornogovi,2015,0.0
 Central and specialised hospital, Dundgovi,2024,0.0
 Central and specialised hospital, Dundgovi,2023,0.0
 Central and specialised hospital, Dundgovi,2022,0.0
 Central and specialised hospital, Dundgovi,2021,0.0
 Central and specialised hospital, Dundgovi,2020,1.0
 Central and specialised hospital, Dundgovi,2019,0.0
 Central and specialised hospital, Dundgovi,2018,0.0
 Central and specialised hospital, Dundgovi,2017,0.0
 Central and specialised hospital, Dundgovi,2016,0.0
 Central and specialised hospital, Dundgovi,2015,0.0
 Central and specialised hospital, Umnugovi,2024,0.0
 Central and specialised hospital, Umnugovi,2023,0.0
 Central and specialised hospital, Umnugovi,2022,0.0
 Central and specialised hospital, Umnugovi,2021,0.0
 Central and specialised hospital, Umnugovi,2020,1.0
 Central and specialised hospital, Umnugovi,2019,1.0
 Central and specialised hospital, Umnugovi,2018,0.0
 Central and specialised hospital, Umnugovi,2017,0.0
 Central and specialised hospital, Umnugovi,2016,0.0
 Central and specialised hospital, Umnugovi,2015,0.0
 Central and specialised hospital, Selenge,2024,0.0
 Central and specialised hospital, Selenge,2023,0.0
 Central and specialised hospital, Selenge,2022,0.0
 Central and specialised hospital, Selenge,2021,0.0
 Central and specialised hospital, Selenge,2020,1.0
 Central and specialised hospital, Selenge,2019,1.0
 Central and specialised hospital, Selenge,2018,0.0
 Central and specialised hospital, Selenge,2017,0.0
 Central and specialised hospital, Selenge,2016,0.0
 Central and specialised hospital, Selenge,2015,0.0
 Central and specialised hospital, Tuv,2024,0.0
 Central and specialised hospital, Tuv,2023,0.0
 Central and specialised hospital, Tuv,2022,0.0
 Central and specialised hospital, Tuv,2021,0.0
 Central and specialised hospital, Tuv,2020,0.0
 Central and specialised hospital, Tuv,2019,0.0
 Central and specialised hospital, Tuv,2018,0.0
 Central and specialised hospital, Tuv,2017,0.0
 Central and specialised hospital, Tuv,2016,0.0
 Central and specialised hospital, Tuv,2015,0.0
 Central and specialised hospital, Eastern region,2024,0.0
 Central and specialised hospital, Eastern region,2023,0.0
 Central and specialised hospital, Eastern region,2022,0.0
 Central and specialised hospital, Eastern region,2021,0.0
 Central and specialised hospital, Eastern region,2020,1.0
 Central and specialised hospital, Eastern region,2019,0.0
 Central and specialised hospital, Eastern region,2018,0.0
 Central and specialised hospital, Eastern region,2017,0.0
 Central and specialised hospital, Eastern region,2016,0.0
 Central and specialised hospital, Eastern region,2015,0.0
 Central and specialised hospital, Dornod,2024,0.0
 Central and specialised hospital, Dornod,2023,0.0
 Central and specialised hospital, Dornod,2022,0.0
 Central and specialised hospital, Dornod,2021,0.0
 Central and specialised hospital, Dornod,2020,0.0
 Central and specialised hospital, Dornod,2019,0.0
 Central and specialised hospital, Dornod,2018,0.0
 Central and specialised hospital, Dornod,2017,0.0
 Central and specialised hospital, Dornod,2016,0.0
 Central and specialised hospital, Dornod,2015,0.0
 Central and specialised hospital, Sukhbaatar,2024,0.0
 Central and specialised hospital, Sukhbaatar,2023,0.0
 Central and specialised hospital, Sukhbaatar,2022,0.0
 Central and specialised hospital, Sukhbaatar,2021,0.0
 Central and specialised hospital, Sukhbaatar,2020,0.0
 Central and specialised hospital, Sukhbaatar,2019,0.0
 Central and specialised hospital, Sukhbaatar,2018,0.0
 Central and specialised hospital, Sukhbaatar,2017,0.0
 Central and specialised hospital, Sukhbaatar,2016,0.0
 Central and specialised hospital, Sukhbaatar,2015,0.0
 Central and specialised hospital, Khentii,2024,0.0
 Central and specialised hospital, Khentii,2023,0.0
 Central and specialised hospital, Khentii,2022,0.0
 Central and specialised hospital, Khentii,2021,0.0
 Central and specialised hospital, Khentii,2020,1.0
 Central and specialised hospital, Khentii,2019,0.0
 Central and specialised hospital, Khentii,2018,0.0
 Central and specialised hospital, Khentii,2017,0.0
 Central and specialised hospital, Khentii,2016,0.0
 Central and specialised hospital, Khentii,2015,0.0
 Central and specialised hospital, Ulaanbaatar,2024,16.0
 Central and specialised hospital, Ulaanbaatar,2023,16.0
 Central and specialised hospital, Ulaanbaatar,2022,16.0
 Central and specialised hospital, Ulaanbaatar,2021,16.0
 Central and specialised hospital, Ulaanbaatar,2020,15.0
 Central and specialised hospital, Ulaanbaatar,2019,15.0
 Central and specialised hospital, Ulaanbaatar,2018,13.0
 Central and specialised hospital, Ulaanbaatar,2017,13.0
 Central and specialised hospital, Ulaanbaatar,2016,13.0
 Central and specialised hospital, Ulaanbaatar,2015,13.0
 Central and specialised hospital,   Ulaanbaatar,2024,
 Central and specialised hospital,   Ulaanbaatar,2023,
 Central and specialised hospital,   Ulaanbaatar,2022,
 Central and specialised hospital,   Ulaanbaatar,2021,
 Central and specialised hospital,   Ulaanbaatar,2020,
 Central and specialised hospital,   Ulaanbaatar,2019,
 Central and specialised hospital,   Ulaanbaatar,2018,
 Central and specialised hospital,   Ulaanbaatar,2017,
 Central and specialised hospital,   Ulaanbaatar,2016,
 Central and specialised hospital,   Ulaanbaatar,2015,
 Maternity hospital,Total,2024,3.0
 Maternity hospital,Total,2023,3.0
 Maternity hospital,Total,2022,3.0
 Maternity hospital,Total,2021,3.0
 Maternity hospital,Total,2020,3.0
 Maternity hospital,Total,2019,3.0
 Maternity hospital,Total,2018,3.0
 Maternity hospital,Total,2017,3.0
 Maternity hospital,Total,2016,3.0
 Maternity hospital,Total,2015,3.0
 Maternity hospital, Western region,2024,0.0
 Maternity hospital, Western region,2023,0.0
 Maternity hospital, Western region,2022,0.0
 Maternity hospital, Western region,2021,0.0
 Maternity hospital, Western region,2020,0.0
 Maternity hospital, Western region,2019,0.0
 Maternity hospital, Western region,2018,0.0
 Maternity hospital, Western region,2017,0.0
 Maternity hospital, Western region,2016,0.0
 Maternity hospital, Western region,2015,0.0
 Maternity hospital, Bayan-Ulgii,2024,0.0
 Maternity hospital, Bayan-Ulgii,2023,0.0
 Maternity hospital, Bayan-Ulgii,2022,0.0
 Maternity hospital, Bayan-Ulgii,2021,0.0
 Maternity hospital, Bayan-Ulgii,2020,0.0
 Maternity hospital, Bayan-Ulgii,2019,0.0
 Maternity hospital, Bayan-Ulgii,2018,0.0
 Maternity hospital, Bayan-Ulgii,2017,0.0
 Maternity hospital, Bayan-Ulgii,2016,0.0
 Maternity hospital, Bayan-Ulgii,2015,0.0
 Maternity hospital, Govi-Altai,2024,0.0
 Maternity hospital, Govi-Altai,2023,0.0
 Maternity hospital, Govi-Altai,2022,0.0
 Maternity hospital, Govi-Altai,2021,0.0
 Maternity hospital, Govi-Altai,2020,0.0
 Maternity hospital, Govi-Altai,2019,0.0
 Maternity hospital, Govi-Altai,2018,0.0
 Maternity hospital, Govi-Altai,2017,0.0
 Maternity hospital, Govi-Altai,2016,0.0
 Maternity hospital, Govi-Altai,2015,0.0
 Maternity hospital, Zavkhan,2024,0.0
 Maternity hospital, Zavkhan,2023,0.0
 Maternity hospital, Zavkhan,2022,0.0
 Maternity hospital, Zavkhan,2021,0.0
 Maternity hospital, Zavkhan,2020,0.0
 Maternity hospital, Zavkhan,2019,0.0
 Maternity hospital, Zavkhan,2018,0.0
 Maternity hospital, Zavkhan,2017,0.0
 Maternity hospital, Zavkhan,2016,0.0
 Maternity hospital, Zavkhan,2015,0.0
 Maternity hospital, Uvs,2024,0.0
 Maternity hospital, Uvs,2023,0.0
 Maternity hospital, Uvs,2022,0.0
 Maternity hospital, Uvs,2021,0.0
 Maternity hospital, Uvs,2020,0.0
 Maternity hospital, Uvs,2019,0.0
 Maternity hospital, Uvs,2018,0.0
 Maternity hospital, Uvs,2017,0.0
 Maternity hospital, Uvs,2016,0.0
 Maternity hospital, Uvs,2015,0.0
 Maternity hospital, Khovd,2024,0.0
 Maternity hospital, Khovd,2023,0.0
 Maternity hospital, Khovd,2022,0.0
 Maternity hospital, Khovd,2021,0.0
 Maternity hospital, Khovd,2020,0.0
 Maternity hospital, Khovd,2019,0.0
 Maternity hospital, Khovd,2018,0.0
 Maternity hospital, Khovd,2017,0.0
 Maternity hospital, Khovd,2016,0.0
 Maternity hospital, Khovd,2015,0.0
 Maternity hospital, Khangai region,2024,0.0
 Maternity hospital, Khangai region,2023,0.0
 Maternity hospital, Khangai region,2022,0.0
 Maternity hospital, Khangai region,2021,0.0
 Maternity hospital, Khangai region,2020,0.0
 Maternity hospital, Khangai region,2019,0.0
 Maternity hospital, Khangai region,2018,0.0
 Maternity hospital, Khangai region,2017,0.0
 Maternity hospital, Khangai region,2016,0.0
 Maternity hospital, Khangai region,2015,0.0
 Maternity hospital, Arkhangai,2024,0.0
 Maternity hospital, Arkhangai,2023,0.0
 Maternity hospital, Arkhangai,2022,0.0
 Maternity hospital, Arkhangai,2021,0.0
 Maternity hospital, Arkhangai,2020,0.0
 Maternity hospital, Arkhangai,2019,0.0
 Maternity hospital, Arkhangai,2018,0.0
 Maternity hospital, Arkhangai,2017,0.0
 Maternity hospital, Arkhangai,2016,0.0
 Maternity hospital, Arkhangai,2015,0.0
 Maternity hospital, Bayankhongor,2024,0.0
 Maternity hospital, Bayankhongor,2023,0.0
 Maternity hospital, Bayankhongor,2022,0.0
 Maternity hospital, Bayankhongor,2021,0.0
 Maternity hospital, Bayankhongor,2020,0.0
 Maternity hospital, Bayankhongor,2019,0.0
 Maternity hospital, Bayankhongor,2018,0.0
 Maternity hospital, Bayankhongor,2017,0.0
 Maternity hospital, Bayankhongor,2016,0.0
 Maternity hospital, Bayankhongor,2015,0.0
 Maternity hospital, Bulgan,2024,0.0
 Maternity hospital, Bulgan,2023,0.0
 Maternity hospital, Bulgan,2022,0.0
 Maternity hospital, Bulgan,2021,0.0
 Maternity hospital, Bulgan,2020,0.0
 Maternity hospital, Bulgan,2019,0.0
 Maternity hospital, Bulgan,2018,0.0
 Maternity hospital, Bulgan,2017,0.0
 Maternity hospital, Bulgan,2016,0.0
 Maternity hospital, Bulgan,2015,0.0
 Maternity hospital, Orkhon,2024,0.0
 Maternity hospital, Orkhon,2023,0.0
 Maternity hospital, Orkhon,2022,0.0
 Maternity hospital, Orkhon,2021,0.0
 Maternity hospital, Orkhon,2020,0.0
 Maternity hospital, Orkhon,2019,0.0
 Maternity hospital, Orkhon,2018,0.0
 Maternity hospital, Orkhon,2017,0.0
 Maternity hospital, Orkhon,2016,0.0
 Maternity hospital, Orkhon,2015,0.0
 Maternity hospital, Uvurkhangai,2024,0.0
 Maternity hospital, Uvurkhangai,2023,0.0
 Maternity hospital, Uvurkhangai,2022,0.0
 Maternity hospital, Uvurkhangai,2021,0.0
 Maternity hospital, Uvurkhangai,2020,0.0
 Maternity hospital, Uvurkhangai,2019,0.0
 Maternity hospital, Uvurkhangai,2018,0.0
 Maternity hospital, Uvurkhangai,2017,0.0
 Maternity hospital, Uvurkhangai,2016,0.0
 Maternity hospital, Uvurkhangai,2015,0.0
