Үзүүлэлт,Огноо,Дүн (тэрбум төг)
М1,2021-08,5718.09
Бусад хадгаламж,2021-08,21693.26
М2,2021-09,27257.52
М1,2021-09,5620.72
Бусад хадгаламж,2021-09,21636.8
М2,2021-10,27071.45
М1,2021-10,5687.67
Бусад хадгаламж,2021-10,21383.78
М2,2021-11,27251.27
М1,2021-11,5888.1
Бусад хадгаламж,2021-11,21363.18
М2,2021-12,27863.48
М1,2021-12,6507.21
Бусад хадгаламж,2021-12,21356.27
М2,2022-01,26807.33
М1,2022-01,5840.56
Бусад хадгаламж,2022-01,20966.77
М2,2022-02,26261.14
М1,2022-02,5485.08
Бусад хадгаламж,2022-02,20776.06
М2,2022-03,26483.15
М1,2022-03,5723.52
Бусад хадгаламж,2022-03,20759.63
М2,2022-04,27435.26
М1,2022-04,5768.18
Бусад хадгаламж,2022-04,21667.07
М2,2022-05,27502.19
М1,2022-05,5781.95
Бусад хадгаламж,2022-05,21720.24
М2,2022-06,27614.19
М1,2022-06,6067.1
Бусад хадгаламж,2022-06,21547.09
М2,2022-07,27032.28
М1,2022-07,5919.79
Бусад хадгаламж,2022-07,21112.49
М2,2022-08,26944.13
М1,2022-08,6028.26
Бусад хадгаламж,2022-08,20915.88
М2,2022-09,27463.07
М1,2022-09,6174.87
Бусад хадгаламж,2022-09,21288.21
М2,2022-10,27282.95
М1,2022-10,6043.76
Бусад хадгаламж,2022-10,21239.18
М2,2022-11,27342.16
М1,2022-11,5920.01
Бусад хадгаламж,2022-11,21422.15
М2,2022-12,29664.81
М1,2022-12,7201.33
Бусад хадгаламж,2022-12,22463.48
М2,2023-01,29716.84
М1,2023-01,6636.65
Бусад хадгаламж,2023-01,23080.19
М2,2023-02,30242.67
М1,2023-02,6535.72
Бусад хадгаламж,2023-02,23706.95
М2,2023-03,30901.47
М1,2023-03,6792.18
Бусад хадгаламж,2023-03,24109.29
М2,2023-04,30165.25
М1,2023-04,7261.71
Бусад хадгаламж,2023-04,22903.54
М2,2023-05,30476.82
М1,2023-05,7830.51
Бусад хадгаламж,2023-05,22646.31
М2,2023-06,31392.6
М1,2023-06,8282.0
Бусад хадгаламж,2023-06,23110.6
М2,2023-07,31961.03
М1,2023-07,8039.06
Бусад хадгаламж,2023-07,23921.97
М2,2023-08,32531.82
М1,2023-08,7986.52
Бусад хадгаламж,2023-08,24545.3
М2,2023-09,32856.35
М1,2023-09,8189.82
Бусад хадгаламж,2023-09,24666.53
М2,2023-10,33310.81
М1,2023-10,8250.97
Бусад хадгаламж,2023-10,25059.83
М2,2023-11,34910.2
М1,2023-11,8054.64
Бусад хадгаламж,2023-11,26855.56
М2,2023-12,36831.92
М1,2023-12,9853.14
Бусад хадгаламж,2023-12,26978.78
М2,2024-01,36583.74
М1,2024-01,8684.65
Бусад хадгаламж,2024-01,27899.1
М2,2024-02,36746.3
М1,2024-02,9470.09
Бусад хадгаламж,2024-02,27276.2
М2,2024-03,36590.41
М1,2024-03,9789.46
Бусад хадгаламж,2024-03,26800.95
М2,2024-04,37084.4
М1,2024-04,9639.7
Бусад хадгаламж,2024-04,27444.7
М2,2024-05,37975.37
М1,2024-05,9777.12
Бусад хадгаламж,2024-05,28198.25
М2,2024-06,40515.29
М1,2024-06,11807.41
Бусад хадгаламж,2024-06,28707.88
М2,2024-07,40753.95
М1,2024-07,12092.81
Бусад хадгаламж,2024-07,28661.14
М2,2024-08,40649.42
М1,2024-08,11953.9
Бусад хадгаламж,2024-08,28695.52
М2,2024-09,40890.27
М1,2024-09,12067.14
Бусад хадгаламж,2024-09,28823.14
М2,2024-10,41120.05
М1,2024-10,10985.49
Бусад хадгаламж,2024-10,30134.56
М2,2024-11,40498.78
М1,2024-11,10750.75
Бусад хадгаламж,2024-11,29748.03
М2,2024-12,42551.31
М1,2024-12,11687.35
Бусад хадгаламж,2024-12,30863.96
М2,2025-01,41051.24
