publication_date,title_mn,article_url,archive_page
2019-04-25,Улсын Их Хурлын гишүүдийн 2019 оны 04 дүгээр сарын 25-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/5435/,22
2019-04-26,Улсын Их Хурлын гишүүдийн 2019 оны 04 дүгээр сарын 26-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/5440/,22
2019-04-29,Улсын Их Хурлын гишүүдийн 2019 оны 04 дүгээр сарын 29-ний өдөр /Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/5309/,22
2019-05-02,Улсын Их Хурлын гишүүдийн 2019 оны 05 дугаар сарын 02-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/5485/,22
2019-05-03,Улсын Их Хурлын гишүүдийн 2019 оны 05 дугаар сарын 03-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/5483/,22
2019-05-06,Улсын Их Хурлын гишүүдийн 2019 оны хаврын ээлжит чуулганы 4-р сарын ирцийн мэдээ,https://www.parliament.mn/nn/5268/,22
2019-05-09,Улсын Их Хурлын гишүүдийн 2019 оны 05 дугаар сарын 09-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/5343/,22
2019-05-10,Улсын Их Хурлын гишүүдийн 2019 оны 05 дугаар сарын 10-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/5347/,21
2019-05-13,Улсын Их Хурлын гишүүдийн 2019 оны 05 дугаар сарын 13-ны өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/5323/,21
2019-05-16,Улсын Их Хурлын гишүүдийн 2019 оны 05 дугаар сарын 16-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/5414/,21
2019-06-05,БАЙНГЫН ХОРООНЫ ХУРАЛДААНД ОРОЛЦСОН УЛСЫН ИХ ХУРЛЫН ГИШҮҮДИЙН ИРЦИЙН МЭДЭЭ (2018.05.01-05.31),https://www.parliament.mn/nn/6425/,21
2019-06-07,Улсын Их Хурлын гишүүдийн 2019 оны хаврын ээлжит чуулганы 5-р сарын ирцийн мэдээ,https://www.parliament.mn/nn/6986/,21
2019-07-03,БАЙНГЫН ХОРООНЫ ХУРАЛДААНД ОРОЛЦСОН УЛСЫН ИХ ХУРЛЫН ГИШҮҮДИЙН ИРЦИЙН МЭДЭЭ 2019.06.01-2019.06.30,https://www.parliament.mn/nn/7772/,21
2019-09-17,Байнгын хорооны хуралдаанд оролцсон Улсын Их Хурлын гишүүдийн ирцийн мэдээ 2019.08.01-2019.08.31,https://www.parliament.mn/nn/9187/,21
2019-10-08,Байнгын хорооны хуралдаанд оролцсон УИХ-ын гишүүдийн ирцийн мэдээ (2019.09 дүгээр сар),https://www.parliament.mn/nn/9338/,21
